"GEN.40.1", "Na ɔbaa dɛ iyinom ekyir no, Egypthen ne nsahyɛfo nye ne paanootofo no foom hɔn wura Egypthen no.", ""
"GEN.40.2", "Na Farao no bo fuuw n’asomfo beenu no, nsahyɛfo panyin no, nye paanootofo panyin no.", ""
"GEN.40.3", "Na ɔdze hɔn koguu efiadze wɔ abrafohen no ne fie, wɔ efiadze beebi mbrɛ Josef da no no mu.", ""
"GEN.40.4", "Na abrafohen no dze hɔn hyɛɛ Josef ne nsa, na ɔsoom hɔn: na wɔkyɛɛr efiadze hɔ mber kakra.", ""
"GEN.40.5", "Na hɔn beenu nyina sosoo daa, anafua da kor a ɔsor obiara ne daa, nye ne nkyerɛasee.", ""
"GEN.40.6", "Na Josef baa hɔn nkyɛn anapa no, obohun hɔn dɛ wɔabombɔm.", ""
"GEN.40.7", "Na obisaa Farao n’asomfo a wɔnye no gu efiadze hɔ no dɛ, ɔyɛ dɛn na ndɛ hom abombɔm dɛm yi?", ""
"GEN.40.8", "Na wɔsee no dɛ, Yɛasoso daa, naaso yennya obi ma ɔnnkyerɛ hɛn ase. Na Josef see hɔn dɛ, Ana nnyɛ Nyankopɔn na ɔma nkyerɛase bi a? Meserɛ hom, hom nka nkyerɛ me.", ""
"GEN.40.9", "Na nsahyɛfo panyin no kaa n’adaaso kyerɛɛ Josef, na ɔsee no dɛ, M’adaaso mu, hwɛ, wenyindua si m’enyim;", ""
"GEN.40.10", "na nkorbata ebiasa wɔ wenyindua no ho: na ɔyɛ dɛ ɔafefɛw, na ɔabɔ nhyiren; na no do nsiansiaw asow wenyinamba a ɔaber:", ""
"GEN.40.11", "na Farao no kɔɔpow kitsa me nsamu, na metsetseew wenyinamba no, na mikyii guu Farao no kɔɔpow mu, na medze kɔɔpow no hyɛɛ Farao ne nsa.", ""
"GEN.40.12", "Na Josef see no dɛ, Ne nkyerɛase nye yi; nkorbata ebiasa no ɔyɛ ndaansa.", ""
"GEN.40.13", "Aka ndaansa ma Farao eyi wo efi ha na ɔama ekedzi wo dzibew bio: na edze Farao no kɔɔpow bɛhyɛ ne nsa, dɛ nkyɛ kan no a eyɛ ne nsahyɛfo no.", ""
"GEN.40.14", "Na sɛ inya beebi si a, ɔno kaa me, na yɛ me ayamuyie, meserɛ wo, na bɔ me dzin kyerɛ Farao, na beyi me fi dan yi mu:", ""
"GEN.40.15", "na owia na wowiaa me wɔ Hebriwfo asaase do: na ha so mennyɛɛ biribiara a ɔsɛ dɛ wɔdze me to efiadze.", ""
"GEN.40.16", "Na aber a paanootofo panyin no hun dɛ nkyerɛase no ye no, ɔsee Josef dɛ, Mo so m’adaaso mu no, muhun dɛ paanoo fufuw nkɛntsɛn ebiasa sisi m’etsifi:", ""
"GEN.40.17", "na kɛntsɛn a odzi sor no adɔkɔdɔkɔdze a wɔto ma Farao nyinara bi wɔ mu; na nnoma ridzi no kɛntsɛn no mu wɔ m’etsifi.", ""
"GEN.40.18", "Na Josef buae na ɔsee dɛ, Ne nkyerɛase nye yi: nkɛntsɛn ebiasa no yɛ ndaansa:", ""
"GEN.40.19", "na aka ndaansa ma Farao eyi wo tsir wɔ wo do, na wɔasɛn wo wɔ dua do ma nnoma edzi wo nam efi wo ho.", ""
"GEN.40.20", "Na ɔbaa dɛ ne ndaansa no a ɔyɛ Farao n’awoda no, ɔtoo pon maa no nkowaa nyinara: na oyii nsahyɛfo panyin no nye paanootofo panyin no fii efiadze dze hɔn baa no nkowaa no enyim.", ""
"GEN.40.21", "Na ɔmaa nsahyɛfo panyin no sanee yɛɛ ne nsahyɛdwuma no bio; na ɔdze kɔɔpow no hyɛɛ Farao ne nsa:", ""
"GEN.40.22", "na paanootofo panyin no dze, ɔsɛɛn no: dɛ mbrɛ Josef kyerɛɛ hɔn ase no ara.", ""
"GEN.40.23", "Naaso nsahyɛfo panyin no annkaa Josef, na no werɛ fiir no.", ""
