"GEN.41.1", "Na ɔbaa dɛ mfe ebien ekyir no, Farao soo daa: na ohun dɛ nna ogyina esutsen Nael no ho.", ""
"GEN.41.2", "Na ohun dɛ anantwiber esuon a hɔn ho yɛ fɛw na wɔadɔ seradze, fi esutsen no mu puei; na wobedzidzii wɔ sar no do.", ""
"GEN.41.3", "Na hwɛ, anantwiber esuon afofor so fi esutsen no mu dzi hɔn ekyir puei a hɔn ho yɛ tantan na wɔafomfɔn; na wobegyinaa anantwiber esuon no nkyɛn wɔ esutsen no no kɔn do.", ""
"GEN.41.4", "Na anantwiber esuon a hɔn ho yɛ tantan na wɔafomfɔn no, memeen anantwiber esuon a hɔn ho yɛ fɛw na wɔadodɔ seradze no. Nna Farao nyanee.", ""
"GEN.41.5", "Na ɔdae na ɔsoo daa bio: na ohun dɛ, eburow mbɛtsem esuon efifir eburonan kor do, amaama na oye.", ""
"GEN.41.6", "Na hwɛ, mbɛtsem esuon a ɔyɛ nkɔkɔr na boka mframa enyinyam no fifirii dzii hɔn ekyir.", ""
"GEN.41.7", "Na mbɛtsem nkɔkɔr no memeen mbɛtsem esuon a eburow wɔ mu na ɔyɛ amaama no. Na Farao nyanee, na, hwɛ, adaaso a.", ""
"GEN.41.8", "Na ɔbaa dɛ anapa no, n’ahom annka noho; na ɔsomae ma wɔkɛfrɛfrɛɛ Egypt nkongyaayifo nyinara, nye enyansafo a wɔwɔ hɔ nyinara ma wɔbae: na Farao kaa n’adaaso no kyerɛɛ hɔn; naaso obiara enntum annkyerɛ ase annkyerɛ no.", "#Dan 2.2"
"GEN.41.9", "Nna nsahyɛfo panyin no kaa kyerɛɛ Farao dɛ, Mekaa mo mfom ndɛ:", ""
"GEN.41.10", "Farao no bo fuuw no nkowaa, emi nye paanootofo panyin no: na ɔdze hɛn koguu efiadze wɔ abrafohen no ne fie,", ""
"GEN.41.11", "na yɛsosoo daa anafua da kor, emi nye paanotonyi no; a ɔsor obiara ne daa nye mbrɛ ne nkyerɛase tse.", ""
"GEN.41.12", "Na yɛkaa kyerɛɛ Hebriwnyi aberantsɛ bi, abrafohen no n’akowaa a nna ɔnye hɛn wɔ hɔ no, na ɔkyerɛɛ hɛn daa no ase; dɛ mbrɛ ɔbaako ne daa tse no ara na ɔkyerɛɛ no ase.", ""
"GEN.41.13", "Na ɔbaa dɛ ɔyɛɛ hɔ dɛ mbrɛ ɔkyerɛɛ hɛn ase no ara; emi emaa mikedzii me dzibew, na ɔno esɛɛn no.", ""
"GEN.41.14", "Na Farao somae ma wɔkɛfrɛɛ Josef, na wɔyɛɛ ntsɛm dze no fii efiadze no mu hɔ puei: na osusuae, na ɔsesaa n’atar, na ɔbaa Farao hɔ.", ""
"GEN.41.15", "Na Farao see Josef dɛ, Maso daa, na obiara nnyi hɔ a otum kyerɛ ase: na ɔwo na matse wo nka dɛ, etse daa a, ekyerɛ ase.", ""
"GEN.41.16", "Na Josef buaa Farao dɛ, Onnyi mo mu: Nyankopɔn na ɔbɛma Farao asomdwee mbuae.", ""
"GEN.41.17", "Na Farao kaa kyerɛɛ Josef dɛ, M’adaaso mu no, hwɛ, nna migyina esutsen Nael no kɔn do:", ""
"GEN.41.18", "na muhun dɛ anantwiber esuon a wɔadɔ seradze na hɔn ho yɛ fɛw fi nsu no mu bae; na wobedzidzii sar no do:", ""
"GEN.41.19", "na hwɛ, anantwiber esuon afofor so dzi hɔn ekyir bae a wɔyɛ mbɔbɔr na hɔn ho tantanntan nkamfenkamfe, a munnhun hɔn ho ne tantan ne saso wɔ Egypt asaase nyinara do da:", ""
