"GEN.43.1", "Na ɔkɔm no mu yɛɛ dzen wɔ asaase no do.", ""
"GEN.43.2", "Na ɔbaa dɛ, aber a wowiee eburow a wɔdze fi Egypt bae no dzi no, hɔn egya see hɔn dɛ, Hom nkɔ bio, hom nkɔtɔ edziban kakra mbrɛ hɛn.", ""
"GEN.43.3", "Na Juda kaa kyerɛɛ no dɛ, banyin no paa mu ara kaa kyerɛɛ hɛn dɛ, Hom runnhu m’enyim, gyedɛ hom nua no ka hom ho.", ""
"GEN.43.4", "Sɛ ebɛma hɛn nua no nye hɛn akɔ a, nna yɛbɔkɔ na yɛakɔtɔ edziban abrɛ wo:", ""
"GEN.43.5", "na sɛ ennkɛma ɔaka hɛn ho dze a, ɔno yɛronnkɔ: osiandɛ banyin no see hɛn dɛ, Mma hom nnsi m’enyim, gyedɛ hom nua no ka hom ho.", ""
"GEN.43.6", "Na Israel see dɛ, ɔyɛ dɛn ntsi na hom nye me dzi no bɔn dɛm, dɛ hom kaa kyerɛɛ banyin no dɛ hom wɔ nua bi so?", ""
"GEN.43.7", "Na wɔsee dɛ, ɔbarimba no bisaa hɛn ntsɛmara wɔ hɛnara hɛnho, nye hɛn ebusuafo ho, dɛ, Ana hom egya da ho tse ase? Hom wɔ nua bi so a? Na mbrɛ nsɛm yi tse no ara na hɛn so yeyii no ano. Ana hɛn so yenyim dɛ ɔreyɛ na ɔase dɛ, Wɔnkɛfa hom nua no mbra?", ""
"GEN.43.8", "Na Juda see n’egya Israel dɛ, Ma abofra no nye me nkɔ, na yɛbɔsoɛr na yɛakɔ; ama yeenya nkwa, na yeennwu, hɛn nye ɔwo nyina, nye hɛn mbofraba so.", ""
"GEN.43.9", "Mibedzi no ho egyinamu; hwehwɛ no me nsamu: sɛ mammfa no ammbrɛ wo, na mammfa no emmbegyina w’enyim a, ɔno wɔmma asodzi no nka mo kɔn mu daa:", ""
"GEN.43.10", "sɛ yennkyinkyim a nkyɛ ebodu sisei, ɔyɛ dɛn ara a yɛakɔ aba mpɛn ebien.", ""
"GEN.43.11", "Na hɔn egya Israel see hɔn dɛ, Sɛ mbrɛ ɔtse nye yi a, ɔno hom nyɛ yi; hom mfa asaase yi do ndzepa a oye no bi ngu hom ndzɛmba mu, dɛ akyɛdze nkɛma banyin no, akyenkyendur kakra, ewo kakra, eduhuam mɛɛr, nkatse, nye eduadzewa almɔnd,", ""
"GEN.43.12", "na hom mfa sika fofor nkitsa; na sika a wɔdze sanee maa hom a wɔdze hyehyɛɛ hom nkotoku ano no, ɔno so hom mfa nkitsa bio; bi a enyi na oduaa do.", ""
"GEN.43.13", "Hom mfa hom nua no so, na wɔnsoɛr nkɔ banyin no hɔ bio:", ""
"GEN.43.14", "na Otumfo Nyankopɔn mma banyin no nhu hom mbɔbɔr, ama oeegyaa hom nua kor no nye Benjamin ama hom. Na emi dze, sɛ me mba fi me nsa a, nna woefi me nsa.", ""
"GEN.43.15", "Nna nkorɔfo no faa akyɛdze no, na wɔfaa sika fofor siaan ho, nye Benjamin so; na wɔsoɛree kɔr Egypt, na wokegyinaa Josef n’enyim.", ""
"GEN.43.16", "Na aber a Josef hun dɛ Benjamin ka hɔn ho no, ɔsee ne fie somfopanyin no dɛ, Fa mbanyin yi kɔ fie, na koku mbowa, na yɛ edziban; na mbanyin yi nye me bedzidzi ewiaber yi.", ""
"GEN.43.17", "Na panyin no yɛɛ dɛ mbrɛ Josef see no ara; na ɔdze nkorɔfo no kɔr Josef fie.", ""
"GEN.43.18", "Na nkorɔfo no hɔn akoma tui, osiandɛ wɔdze hɔn akɔ Josef ne fie ntsi; na wɔsee dɛ, Sika a wɔsanee dze hyehyɛɛ hɛn nkotoku mu asɔpɔn no ntsi na wɔdze hɛn aba fie yi; ama ɔaahwehwɛ biribi egyina do, na oeesuo hɛn mu, na ɔaafa hɛn ayɛ nkowaa, nye hɛn nsoasopɔnkɔ.", ""
"GEN.43.19", "Na wopiin Josef ne fie somfopanyin no nkyɛn wɔ fi no n’abowano,", ""
"GEN.43.20", "na wɔsee dɛ, Ao mo wura, yɛbaa ha bɔtɔɔ edziban asɔpɔn no ampa:", ""
"GEN.43.21", "na ɔbaa dɛ, aber a yedur asoɛe, na yɛsansaan hɛn nkotoku ano no, nna, hwɛ, hɛn nyinara hɛn sika hyehyɛ hɛn nkotoku ano, hɛn sika mbrɛ ɔtow ara pɛ: na yɛdze asan aba.", ""
"GEN.43.22", "Na yɛdze sika fofor so aba a yɛdze robɔtɔ edziban: yennyim nyia ɔdze hɛn sika no hyehyɛɛ hɛn nkotoku mu.", ""
"GEN.43.23", "Na ɔsee dɛ, Asomdwee nka hom, mma hom nnsuro: hom Nyankopɔn, nye hom egya ne Nyankopɔn, na ɔama hom ehutudze wɔ hom nkotoku mu: me nsa kaa hom sika no. Na okeyii Simeon brɛɛ hɔn.", ""
"GEN.43.24", "Na banyin no dze nkorɔfo no kɔr Josef fie, na ɔmaa hɔn nsu, na wɔhohoor hɔn anan ho; na ɔmaa hɔn nsoasopɔnkɔ no edziban.", ""
"GEN.43.25", "Na wɔyɛɛ akyɛdze no krado dze tweɔɔn Josef ne mbae a ɔbaa ewiaber no: osiandɛ wɔtsee dɛ woribedzidzi wɔ hɔ.", ""
"GEN.43.26", "Na Josef baa fie no, wɔdze akyɛdze a okitsa hɔn nsamu no kɔr dan mu kɛmaa no, na wɔkɔbɔɔ hɔn mu adze wɔ famu maa no.", ""
"GEN.43.27", "Na obisaa hɔn honam mu, na ɔsee dɛ, Ana hom egya akɔdaa a hom kaa no ho asɛm no, no ho ye? Ana ɔda ho tse ase?", ""
"GEN.43.28", "Na wɔsee dɛ, W’akowaa hɛn egya no ho ye, ɔda ho tse ase. Na wɔbɔɔ hɔn tsir adze, na wɔkotoow no.", ""
"GEN.43.29", "Na ɔmaa n’enyiwa do, na ohun no nua Benjamin, ne na ba no, na obisaa dɛ, Ana hom nua kuma a hom kaa no ho asɛm kyerɛɛ me no, ɔno nye yi a? Na ɔsee dɛ, Nyankopɔn nhyira wo, me ba.", ""
"GEN.43.30", "Na Josef no ho hiahiaa no; osiandɛ ne yamu hyehyee no wɔ no nua no ho; na ɔhwehwɛɛ beebi a obosuma esu; na ɔkɔr ne pia mu, na okosui wɔ hɔ.", ""
"GEN.43.31", "Na ɔhohoor n’enyim, na opuei; na ɔhyɛɛ noho do, na ɔsee dɛ, Wɔmfa edziban mbesisi hɔ.", ""
"GEN.43.32", "Na wɔdze ɔnoara nedze sii fa, na wɔdze hɔndze sisii fa, na wɔdze Egyptfo a wɔnye no dzidzi no hɔndze sisii fa; osiandɛ Egyptfo nnye Hebriwfo nndzidzi; na ɔyɛ ekyiwadze ma Egyptfo.", ""
"GEN.43.33", "Na wɔtsenatsenaa n’enyim, abakan no dɛ mbrɛ ne panyin tse, nye ekumaba no dɛ mbrɛ n’ekumaba tse: na ɔyɛɛ nkorɔfo no nwanwa wɔ hɔn mu.", ""
"GEN.43.34", "Na oyiyii edziban ma wɔdze fii n’enyim maa hɔn: na Benjamin dze n’edziban no boor hɔn nyinara hɔndze do mpɛn enum. Na wɔnomee, na hɔn nyinara hɔn enyi gyee.", ""
