"HAB.3.1", "Nkɔnhyɛnyi Habakuk ne mpaabɔ, wɔ Shigionoth  do.", "#3.1 SHIGIONOTH:Ne nkyerɛase wɔ Hebriw kasa mu no nnda edzi."
"HAB.3.2", "Ao EWURADZE, matse wo nka, na mesuro: Ao EWURADZE, nyan w'edwuma wɔ hɛn mber yi mu, Dɛm mber yi mu na ma wonhu; W'ebufuw mu kaa mbɔbɔrhu.", ""
"HAB.3.3", "Onyankopɔn fi Teman bae, Na Ɔkrɔnkrɔnnyi no fi Paran bepɔw do. N'enyimnyam kataa sorsor, Na asaase yɛɛ n'ayɛyi ma.", ""
"HAB.3.4", "Na ne hyerɛn tse dɛ ewia; Na nsenamba fi ne nsamu sesae: Na hɔ nye n'ahoɔdzen no nsumae.", ""
"HAB.3.5", "Ɔyardɔm dzi n'enyim, Na atseetsee yarba dzi n'ananadze.", ""
"HAB.3.6", "Ogyinae, na osusuu asaase; Ɔhwɛe, na ɔmaa amanaman wosowee. Na ɔdomankoma mbepɔw hwetsee, Tsetse akoko bɔɔ hɔn mu adze; N'akwan tse dɛ tsetse dze.", ""
"HAB.3.7", "Muhun Kushan asese wɔ ahohia mu: Midian asaase ho ntwamutam no popoe.", ""
"HAB.3.8", "Aso EWURADZE no bo fuuw esutsen no? Aso w'ebufuw dzɛɛw esutsen no do, Anaa po na wo bo huur no do, Ber a etsenaa wo mpɔnkɔ do, krado Wo nkwagye ntseaseanam do no?", ""
"HAB.3.9", "Eyɛɛ w'egyen krado; Na ekaa ntam wɔ w'egyen menaba no ntowee ho. Epaapaa esutsen totoo asaase mu.", ""
"HAB.3.10", "Mbepɔw hun wo, na wosuroi; Nsu n'ehum twaa mu senee: Bun maa ne ndze do, Na ɔmaa ne nsa do wɔ sor.", ""
"HAB.3.11", "Ewia na bosoom gyinagyinaa hɔn tsenabea; Wɔ w'egyen menaba a wɔnenamee ne kan ntsi, Wɔ wo peaa nyinam nyinam ne hyerɛn ntsi.", ""
"HAB.3.12", "Ebufuhyew mu na etsenee faa asaase no do, Abohur mu na eposee amanaman.", ""
"HAB.3.13", "Ɔwo ipuei wɔ wo man no nkwagye ntsi, Wɔ wo nyia wɔasera no no nkwagye ntsi; Ɔwo ipirapiraa mumuyɛnyi no fi n'etsifi, Epaa no ho tam fi n'ananadze kodur n'etsifi mpo.", ""
"HAB.3.14", "Edze nankasa n'apɔtsimbaa hwiraa n'akofo tsir: Wɔbaa dɛ ekyinehyia mframa dɛ wɔrobɔbɔ me apetse: Hɔn ehurusi nye dɛ wɔbɛmemen ɔbɔbɔfo nsumaa mu.", ""
"HAB.3.15", "Ɔwo edze wo mpɔnkɔ etsiatsia po do, Esu akɛse a ahohɔr no do.", ""
"HAB.3.16", "Metsee, na me yafun wosowee, M'anofamfa hiim biribiriw wɔ ndze no ntsi; Ɔprɔw hɛɛn me mbiew mu, na mo ho wosowee wɔ me tsenabea: Naaso mebɛyɛ dzinn matweɔn, Asotwe a ɔreba ɔman a wɔdze dɔm kukuankoma botuaa hɛn no do no.", ""
"HAB.3.17", "Na kaansa adɔmbadua remmpaa nhyiren, Eso wenyindua ronnsow aba a; Na ngodua ne berɛ yɛ gyan, Na nhaban mma edziban; Na nguan tun twa wɔ nguamban mu, Na anantwi bi nnyi anantwiban mu mpo a:", ""
"HAB.3.18", "Emi dze, mibedzi ehurusi wɔ EWURADZE mu, Mo ho bɛsɛpɛw me wɔ mo nkwagye Nyankopɔn mu.", ""
"HAB.3.19", "EWURADZE Nyankopɔn no, nye m'ahoɔdzen, Na ɔma m'anan yɛ dɛ adoa dze, Na ɔbɛma manantsew mo nsorɔnsorɔmbea. Iyi wɔdze kɛmaa Ɔdwontofo Panyin no, wɔ m'ahoma asanku do.", "#2 Sam 22.34; Dwom 18.33"
