"HAG.2.1", "Bosoom a otsia esuon no, bosoom no ne da a otsia eduonu biako no, EWURADZE n’asɛm nam nkɔnhyɛnyi Hagai do baa dɛ,", ""
"HAG.2.2", "Afei kasa kyerɛ Sealtiel ba Zerubabel, Juda ambrado no, na ɔsɔfopanyin Josua, Jehozadak ba no, na ɔman ne nkaa no, dɛ,", ""
"HAG.2.3", "Woana aka wɔ hom mu a ohun dan yi wɔ n’enyimnyam a odzi kan no mu? Na hom hu no dɛn sesei? Aso ɔnnka hwee nnkyerɛ hom?", "#Ezra 3.12"
"HAG.2.4", "Naaso afei, Zerubabel e, hyɛ dzen, EWURADZE na ɔse; na ɔsɔfopanyin Josua, Jehozadak ba e, hyɛ dzen; na hom asaase do nkorɔfo nyina, hom nhyɛ dzen, na hom nyɛ edwuma no, EWURADZE na ɔse: na mowɔ hom nkyɛn, dɔm EWURADZE na ɔse,", ""
"HAG.2.5", "ɔnam ahyɛmu a menye hom dzii wɔ, ber a hom fii Egypt bae no, na mo sunsum a ɔtse hom mu no ntsi: mma hom nnsuro.", "#Eks 29.45-46"
"HAG.2.6", "Na mbrɛ dɔm EWURADZE ka nye yi: Bio, ɔnnkɛkyɛr biara, ma maawosow ɔsorsor, na asaase, na po, na asaasewewew;", "#Heb 12.26"
"HAG.2.7", "na mobɔwosow amanaman nyina, na amanaman nyina akoradze bɛba mo hɔ na medze enyimnyam bɛhyɛ fie yi ma, dɔm EWURADZE na ɔse.", ""
"HAG.2.8", "Sika yɛ medze, na dwetɛ so yɛ medze, dɔm EWURADZE na ɔse.", ""
"HAG.2.9", "Enyimnyam a fie yi benya no ekyir yi no bɔso asen nkan no dze no, dɔm EWURADZE na ɔse: na fie yi mu na mebɛma asomdwee, dɔm EWURADZE na ɔse.", ""
"HAG.2.10", "Bosoom a otsia akron no mu da a otsia eduonu anan wɔ Darius n’afe a otsia ebien no mu no, na EWURADZE n’asɛm nam nkɔnhyɛnyi Hagai do bae, dɛ,", ""
"HAG.2.11", "Mbrɛ dɔm EWURADZE se nye yi: afei bisa asɔfo no wɔ mbra no ho, dɛ,", ""
"HAG.2.12", "Ana sɛ obi dze nam krɔnkrɔn hyɛ n’atar mu, na sɛ ɔdze n’atar no kɛka paanoo, anaa ɔsɛnmu edziban, anaa nsa, anaa ngo, anaa edziban biara a, aso ɔbɛyɛ krɔnkrɔn? Na asɔfo no buae see dɛ, Oho.", ""
"HAG.2.13", "Nna Hagai bisaa dɛ, Sɛ obi a fun ama no ho ekum kɛka iyinom a, no ho kum? Na asɔfo no buae see dɛ, Nyew, no ho ekum.", "#Nka 19.11-22"
"HAG.2.14", "Nna Hagai buae see dɛ, Mbrɛ nkorɔfo yi tse nye no, na mbrɛ ɔman yi tse wɔ m’enyim nye no, mbrɛ hɔn nsaano edwuma nyina tse nye no; na dza wɔdze bɔ afɔr wɔ hɔ no no ho ekum, EWURADZE na ɔse.", ""
"HAG.2.15", "Na afei, meserɛ hom, hom nhwɛ dza ofi ndɛ rokɔ yi ɔbɛba; ber wonnyae mmfaa ɔbo nntoo ɔbo do wɔ EWURADZE asɔrfi mu no owiee hom dɛn?", ""
"HAG.2.16", "Dɛm nda no, sɛ obi baa esusudze ekuw eduonu ho a, nna du pɛ na onyae; sɛ obi baa nsatwer ho rebɛsaw etwadze eduonum a, nna eduonu pɛ.", ""
"HAG.2.17", "Medze ohuw na ɔpo na ɔsorbo mobɔɔ hom wɔ hom nsaano edwuma nyina mu; naaso hom annsan ammba me nkyɛn, EWURADZE na ɔse.", ""
"HAG.2.18+HAG.2.19", "8-19 Hom ndwendwen ho, ao, hom ndwendwen mber a abɛsen kɔ no ho. Aso nna aba bi da ho wɔ ɔsan do? Mekyerɛ wenyindua, adɔmbadua, pɔmegranate ekutu, na ngodua aba. Afei hom nhwɛ ofi ndɛ rokɔ, hom mfa ntoto ofi bosoom a otsia akron no ne da a otsia eduonu anan a wɔtoow EWURADZE asɔrdan no ne fapem wɔ mu no ho. Hom hu no dɛn? Ofitsi dɛm da yi do no na mebɛhyɛ ase ehyira hom.", ""
"HAG.2.20", "Na EWURADZE n’asɛm baa Hagai hɔ ne mpɛn ebien wɔ bosoom no ne da a otsia eduonu anan no mu, dɛ,", ""
"HAG.2.21", "Kasa kyerɛ Zerubabel, Juda ambrado no, dɛ, Mobɔwosow ɔsorsor na asaase:", ""
"HAG.2.22", "na mubobutuw ahenman ahengua, na masɛɛ amanaman ahendzi n’ahoɔdzen; na mubobutuw ntseaseanam, na hɔn a wɔtsetse mu no; na mpɔnkɔ na hɔn do atsefo bɔhwehwe ase, obiara bɔtɔ no nua afona anomu.", ""
"HAG.2.23", "Da no mu no, dɔm EWURADZE na ɔse, mebɛfa ɔwo, ao Zerubabel, m’akowaa, Sealtiel ba, EWURADZE na ɔse, na mayɛ wo dɛ nsɔwanodze: na ɔwo na masan mu meyi wo, dɔm EWURADZE na ɔse.", ""
