"HEB.2.1", "Dɛm ntsi ɔsɛ dɛ yɛhwɛ ndzɛmba a yɛatse no yie papaara, amma da bi yaammfom emmfi ho.", ""
"HEB.2.2", "Na sɛ asɛm a wɔnam abɔfo no do kae no tsimii, na mbrato nye asoɔdzen biara nyaa n’akatua a ɔsɛ a,", ""
"HEB.2.3", "nna hɛn so, sɛ yebu hɛn enyi gu nkwagye kɛse a ɔtse dɛm yi do a, yɛbɛyɛ dɛn efi nsa? Iyi na Ewuradze dzii kan kae, na hɔn a wɔtsee no hyɛɛ no dzen maa hɛn;", ""
"HEB.2.4", "na Nyankopɔn so nam nsɛnkyerɛdze nye anwanwadze nye tum ndwuma horow nye Sunsum Krɔnkrɔn akyɛdze do dɛ mbrɛ ɔnoara ɔpɛ no, hyɛɛ hɔn dasedzi no ma.", ""
"HEB.2.5", "Na nnyɛ abɔfo no ase na ɔdze wiadze a ɔreba a yɛka ho asɛm no ahyɛ.", ""
"HEB.2.6", "Na obi dzii dase wɔ beebi dɛ Ɔdasanyi nye woana, na ekaa no? Anaa nyimpa ba nye woana, a w’enyi wɔ no do yi?", "#Dwom 8.4-6"
"HEB.2.7", "Ama aka kakra ma ɔato abɔfo; Edze enyimnyam nye enyidzi abɔ no abɔtsir, [Na edze no esi wo nsaano edwuma do:]", ""
"HEB.2.8", "Edze adze nyina ahyɛ n’ananadze. Na dɛ ɔdze adze nyina ahyɛ n’ase no, oenngyaa biribiara a wɔammfa annhyɛ n’ase. Na sesei dze yennyae nnhun dɛ wɔdze ndzɛmba nyina ahyɛ n’ase.", ""
"HEB.2.9", "Mbom yehu Jesus, ɔno a ber tsiabaa bi mu wɔbrɛɛ no adze seen abɔfo no, ama ɔnam Nyankopɔn adom do asɔ owu ahwɛ ama nyimpa nyina. Seseiara, osian owu amandzehu ntsi wɔdze enyimnyam nye enyidzi abɔ no abɔtsir.", ""
"HEB.2.10", "Na ɔfataa onyia no a ndzɛmba nyina wɔ hɔ ma no na ndzɛmba nyina nam no do wɔ hɔ no dɛ, ɔdze mba pii ba enyimnyam mu no, ɔmaa hɔn nkwagye dzikamfo no nam amandzehu mu kɔr emudzi mu.", ""
"HEB.2.11", "Na nyia ɔsan ho, nye hɔn a wɔsan hɔnho no nyina fi adze kor, na dɛm ntsi ɔnnyɛ no enyito dɛ ɔbɛfrɛ hɔn enuanom,", ""
"HEB.2.12", "dɛ, Mobɔbɔ wo dzin akyerɛ mo nuanom; Mboanofo finimfin na mobɔtow ayɛyindwom ama wo.", "#Dwom 22.22"
"HEB.2.13", "Na bio, Medze mo werɛ bɔtwer no. Na bio, Hwɛ, emi nye yi, nye mba a Nyankopɔn dze hɔn ama me.", "#Isa 8.17; Isa 8.18"
"HEB.2.14", "Na dɛ mba no wɔ bɔgya nye honam no bi ntsi, dɛmara na no so faa mu bi, ama ɔnam owu do aama onyia no a ɔwɔ owu tum, a ɔno nye abɔnsam no, ayɛ gyan;", ""
"HEB.2.15", "na ɔaagye hɔn a owu ho suro ntsi wɔwɔ nkowaasom mu hɔn nkwaber nyina no.", ""
"HEB.2.16", "Na ampaara nnyɛ abɔfo na osuo hɔn mu gye hɔn, na mbom Abraham asefo na osuo hɔn mu.", "#Isa 41.8, 9"
"HEB.2.17", "Dɛm ntsi okehiaa dɛ ɔsɛ no nuanom wɔ adze nyina mu, ama ɔaayɛ ɔsɔfopanyin mbɔbɔrhufo nye nokwafo wɔ dza ɔfa Nyankopɔn ho no mu, na ɔaayɛ ɔman no hɔn bɔn ho mpatadze.", ""
"HEB.2.18", "Na osiandɛ wɔsɔɔ no hwɛe ma nankasa so hun amandze ntsi, otum boa hɔn a wɔsɔ hɔn hwɛ no.", ""
