"HEB.9.1", "Na ahyɛmu a odzi kan no wɔ nyamesom ho ahyehyɛdze, nye ne wiadze ha krɔnkrɔnbea.", ""
"HEB.9.2", "Na wosii ntamadan bi, dza odzi kan a wɔfrɛ no Krɔnkrɔnbea, mbrɛ kandzeadua no, nye ɔpon no, nye kyerɛpaanoo no wɔ.", "#Eks 26.1-30; Eks 25.31-40; Eks 25.23-30"
"HEB.9.3", "Na ntwamutam a otsia ebien no ekyir na ntamadan a wɔfrɛ no Krɔnkrɔn mu Krɔnkrɔn no wɔ;", "#Eks 26.31-33"
"HEB.9.4", "ɔwɔ sika eduhuamhyew mbukyia, nye ahyɛmudaka no a wɔdze sika edura ho nyina a sika kutu a manna wɔ mu, nye Aaron poma a ɔfefɛwee no, nye ahyɛmu apon no wɔ mu no:", "#Eks 30.1-6; Eks 25.10-16; Eks 16.33; Nka 17.8-10; Eks 25.16; Deut 10.3-5"
"HEB.9.5", "na no do na enyimnyam kerubfo a wɔtserɛw mpatagua no do si; ndzɛmba yi yenntum nnka ho asɛm nkorkor sesei.", "#Eks 25.18-22"
"HEB.9.6", "Na woesiesie ndzɛmba yi dɛm no, asɔfo no kɔ ntamadan a odzi kan no mu daa kɛyɛ ɔsom ho edwuma,", "#Nka 18.2-6"
"HEB.9.7", "na dza otsia ebien no dze, sɔfopanyin no na afe du a, ɔkɔ hɔ prɛko, onngya bɔgya a ɔdze bɔ afɔr wɔ nankasa nye ɔman no hɔn mfom ntsi:", "#Lev 16.2-34"
"HEB.9.8", "Sunsum Krɔnkrɔn dze yi kyerɛ dɛ, ntamadan a odzi kan no da ho si hɔ yi, wonnyae nnyii kwan a wɔdze kɔ krɔnkrɔnbea mu no edzi;", ""
"HEB.9.9", "na ɔyɛ nsɛntoho ma sesei ber a ɔwɔ hɔ yi; dɛ mbrɛ wɔdze ayɛyɛdze nye afɔrbɔdze a onntum mma nyia ɔsom no nndzi mu wɔ tsibowa afamu,", ""
"HEB.9.10", "osiandɛ ɔnye edziban nye anondze nye eguaree horow yɛ honam afamu ahyehyɛdze ara a wɔhyɛ dɛ wɔnyɛ nkodu mber a wɔahyehyɛ ato hɔ no.", ""
"HEB.9.11", "Na Kraest dze, ɔbaa dɛ ndzepa a aba dada no ho sɔfopanyin no, ɔnam ntamadan a ɔso na odzi mu kyɛn a wɔammfa nsa ennsi no do, ɔno nye dɛ ommfi abɔdze yi mu,", ""
"HEB.9.12", "na eso ɔnnam mpɔnkye nye anantwimba bɔgyaa mu, mbom ɔnam nankasa no bɔgyaa do kɛhɛɛn krɔnkrɔnbea no mu prɛko kenyaa onnyiewiei ɔgye no.", ""
"HEB.9.13", "Na sɛ mpɔnkye nye anantwinyin bɔgyaa nye anantwiber nso a wɔdze petse hɔn a hɔn ho egu fi do no tsew hɔn ho kɔ honam ahosan mu a,", ""
"HEB.9.14", "mpɛn ahen ara na Kraest a ɔnam onnyiewiei Sunsum no do dze noho bɔɔ afɔr a nkekaa nnyi ho maa Nyankopɔn no, no bɔgyaa nnkɛtsew hom tsibowa ho efi ndwuma a nkwa nnyi mu ho akɔsom Nyankopɔn tseasefo no?", ""
"HEB.9.15", "Na iyi ntsi ɔyɛ ahyɛmu fofor no ho ntamugyinafo, ama hɔn a wɔafrɛ hɔn no enya onnyiewiei egyapadze no ho anohoba no, osiandɛ owu a owui no, ɔdze gyee hɔn a wɔyɛɛ nkan ahyɛmu no ho mfomdo no.", ""
"HEB.9.16", "Na mbrɛ samansew wɔ no otwar dɛ wɔkyerɛ nyia ɔhyɛe no no wu.", ""
"HEB.9.17", "Na sɛ owu ba a nna samansew wɔ ngyinado; na nyia ɔhyɛe no tse ase a, ɔnnyɛ edwuma.", ""
"HEB.9.18", "Ɔno ntsi na woennkwetsi bɔgya annhyɛ ahyɛmu a odzi kan no so.", ""
"HEB.9.19", "Na Moses kaa ahyɛdze no nyina kyerɛɛ ɔman no nyina, dɛ mbrɛ mbra no tse no, ɔfaa anantwimba no nye mpɔnkye no bɔgyaa, nye nsu, nye kuntu memen, nye odwon hataw na ɔdze petsee nwoma no, nankasa nye ɔman no nyina do,", "#Eks 24.6-8"
"HEB.9.20", "na ɔsee dɛ, Iyi nye ahyɛmu a Nyankopɔn ahyɛ wɔ hom ho no no bɔgyaa.", ""
"HEB.9.21", "Bio so, ntamadan no nye asɔfodwuma no ho ndzɛmba nyina ɔdze bɔgya petsee ho dɛmara.", "#Lev 8.15"
"HEB.9.22", "Nkyɛ mereyɛ maaka dɛ adze nyina, dɛ mbrɛ mbra no tse, wɔdze bɔgya tsew ho, na sɛ bɔgya enngu a, fakyɛ bi nnyi hɔ.", ""
"HEB.9.23", "Dɛm ntsi otwar dɛ sor ndzɛmba no n'esusudo no wɔdze yinom tsew ho; na sor ndzɛmba no nankasa dze, wɔdze afɔr a oye kyɛn yinom tsew ho.", ""
"HEB.9.24", "Na Kraest annhɛn krɔnkrɔnbea a wɔdze nsa yɛe a ɔyɛ nokwar dze no ho ntoho no mu; na mbom ɔhɛɛn ɔsor ankasa dɛ afei worikeyi no edzi wɔ Nyankopɔn enyim ama hɛn;", ""
"HEB.9.25", "na eso nnyɛ dɛ ɔdze noho bɔbɔ afɔr mpɛn pii dɛ mbrɛ sɔfopanyin no dze bɔgya a ɔnnyɛ nankasa nedze hɛn krɔnkrɔnbea afrenhyia afrenhyia no;", ""
"HEB.9.26", "ɔnodze na nkyɛ otwar dɛ ofi wiadze ahyɛse hu amandze mpɛn pii: na afei dze mbersantsen ruwie du yi, woeyi no edzi prɛko dɛ ɔnam noho afɔrbɔ do beyi bɔn akɔ.", ""
"HEB.9.27", "Na dɛ mbrɛ wɔahyɛ ama nyimpa dɛ owu prɛko, na ɔno ekyir atsɛmbu bɛba no,", ""
"HEB.9.28", "dɛmara na Kraest so a wɔdze no bɔɔ afɔr prɛko dɛ ɔnsoa nyimpa pii hɔn bɔn no, obokwetsi bɔn eyi noho edzi ne mpɛn ebien akyerɛ hɔn a wɔtweɔn no no dze hɔn akɔ nkwagye mu.", "#Isa 53.12"
