"HEB.10.1", "Na mbra no wɔ ndzepa a ɔbɛba no no mfonyi na nnyɛ ndzɛmba no suban ankasa ntsi, wonntum mmfa afɔr kor no ara a wɔbɔ no afrenhyia afrenhyia no mma hɔn a wɔba no nndzi mu da.", ""
"HEB.10.2", "Na hɔn a wɔba asɔr no na wɔatsew hɔnho prɛko no, sɛ wonnyi bɔn ho tsibowa bio a nkyɛ woenngyaa afɔr bɔ anaa?", ""
"HEB.10.3", "Na mbom wɔbɔ bɔn ho nkaa wɔ mu afrenhyia biara,", ""
"HEB.10.4", "osiandɛ anantwinyin nye mpɔnkye bɔgyaa runntum nnyi bɔn nnkɔ.", ""
"HEB.10.5", "Dɛm ntsi ɔbaa wiadze no, ɔkaa dɛ, Afɔr nye ayɛyɛdze, ɔwo ammpɛ, Na nyimpadua na esiesie ama me;", "#Dwom 40.6-8"
"HEB.10.6", "Hyew afɔr mu nye bɔn ho dze annsɔ w’enyi:", ""
"HEB.10.7", "Nna mesee dɛ, Hwɛ, maba, dɛ merebɛyɛ wo pɛ, ao, Nyankopɔn dɛ mbrɛ wɔakyerɛw no mo ho wɔ nwoma mbobɔwee no mu.", ""
"HEB.10.8", "Ɔkaa no hɔ dɛ, Afɔr nye ayɛyɛdze nye hyew afɔr nye bɔn afɔr dze ammpɛ, eso w’enyi annsɔ (ɔnye dza wɔnam mbra do dze ma no) no,", ""
"HEB.10.9", "nkyii ɔkaa dɛ, Maba merebɛyɛ wo pɛ. Oyi dza odzi kan no hɔ, na ɔdze dza otsia ebien no eesi hɔ.", ""
"HEB.10.10", "Dɛm pɛ no do na wɔnam Jesus Kraest honam a ɔdze bɔɔ afɔr prɛko maa hɛn no do atsew hɛn ho.", ""
"HEB.10.11", "Na ɔsɔfo biara dze ogyina som daa daa bɔ afɔr kor no ara a onntum nnyi bɔn nnkɔ da no:", "#Eks 29.38"
"HEB.10.12", "na ɔno dze, onyae bɔɔ bɔn ho afɔr kor no, ɔkɛtsenaa Nyankopɔn nyimfa daa;", ""
"HEB.10.13", "hɔ na n’enyi ada kwan dɛ wɔdze n’atamfo bɛyɛ n’ananadzegua.", ""
"HEB.10.14", "Na ɔnam afɔr kor do ama hɔn a wɔatsew hɔn ho no edzi mu daa.", ""
"HEB.10.15", "Na Sunsum Krɔnkrɔn so dzi hɛn dase: na odzi kan ka dɛ,", ""
"HEB.10.16", "Iyi nye ahyɛmu a menye hɔn bedzi Nda no ekyir no, Ewuradze na ɔse: Medze me mbra bɛhyɛ hɔn akoma mu, Na makyerɛw no hɔn adwen mu so;", "#Jer 31.33"
"HEB.10.17", "nna ɔka so dɛ, Na hɔn bɔn nye hɔn mbrato merennkaa bio.", "#Jer 31.34"
"HEB.10.18", "Na mbrɛ yinom ho fakyɛ wɔ no, bɔn ho afɔr bi nnyi hɔ bio.", ""
"HEB.10.19", "Dɛm ntsi, enuanom, yɛnam Jesus bɔgyaa do enya ndam dɛ yɛdze bɛhɛn krɔnkrɔnbea no,", ""
"HEB.10.20", "ɔnam ɔkwan a woesiesie ato hɛn hɔ no mu, kwan fofor a ɔwɔ nkwa a ɔnam ntwamutam a ɔyɛ no honam no do.", ""
"HEB.10.21", "Na dɛ yɛwɔ sɔfo kɛse a odzi Nyankopɔn fie do ntsi,", ""
"HEB.10.22", "hom mma yɛmfa nokwar akoma ntwe mpin wɔ gyedzi amayɛ mu, dɛ wɔapetse hɛn akoma ho efi tsibowa bɔn mu, na woeguar hɛn nyimpadua wɔ nsu krɔnkrɔn mu.", "#Lev 8.30; Eze 36.25"
"HEB.10.23", "Hom mma yensuo hɛn enyidado a yɛpaa mu ka no mu yie, amma oeennhihim, na nyia ɔbɔɔ anohoba no ɔyɛ nokwafo.", ""
"HEB.10.24", "Hom mma yɛndwendwen hɛnho do, nnunu hɛnho nkɔ dɔ nye ndwuma pa mu;", ""
"HEB.10.25", "na mma yenngyaa hɛnho hɛnho ehyiadzi, dɛ mbrɛ binom hɔn ntɔyɛɛ tse, na yentutu hɛnho fo pii wɔ ber a hom nyim dɛ da no rebɛn yi.", ""
"HEB.10.26", "Na yeenya nokwar no ho nyimdzee ekyir yi, sɛ yɛboapa kɛyɛ bɔn a, bɔn ho afɔrbɔ nnyi hɔ bio,", ""
"HEB.10.27", "na mbom atsɛmbu ho akwanhwɛ a ɔyɛ hu bi, nye ogyaframee bi a ɔbɛhyew atamfo no.", "#Isa 26.11"
"HEB.10.28", "Na sɛ nyimpa a ɔpow Moses mbra no, wokwetsi ehumbɔbɔr gyina adasefo beenu anaa baasa anomu asɛm do ku no a:", "#Deut 17.6; 19.15"
"HEB.10.29", "akatua a ɔyɛ dzen bɛn na hom susu dɛ wobobu dɛ ɔsɛ nyia oetsiatsia Nyankopɔn Ba no do, na oebu ahyɛmu bɔgyaa a wɔdze tseew no ho no ehuhudze, na ɔabɔ adom Sunsum no adapaa?", "#Eks 24.8"
"HEB.10.30", "Na yenyim nyia ɔka dɛ, Awerdzi yɛ medze, na mubotua kaw; na bio so, Ewuradze bobua ne man atsɛn.", ""
"HEB.10.31", "Adze a ɔyɛ hu nye dɛ ebɔtɔ Nyankopɔn tseasefo no ne nsamu.", ""
"HEB.10.32", "Na hom nkaa nkan nda a hom nyaa kan ekyir no hom sɔɔw amandzehu ko kɛse no;", ""
"HEB.10.33", "bi nye dɛ hom nam ahorbahyɛ nye ahohia do yɛɛ guasohwɛdze, na bi so nye dɛ hom yɛɛ hɔn a wɔayɛ hɔn dɛm no hɔn anyɛnkofo.", ""
"HEB.10.34", "Na hom nyaa ayamuhyehye wɔ ndaduafo no ho, na hom dze enyigye peen hom ahodze no fom do, osiandɛ hom nyim dɛ homankasa hom wɔ ahodze a oye kyɛn iyi, na eso ɔtsena hɔ daa.", ""
"HEB.10.35", "Dɛm ntsi mma hom nntow hom ndam a ɔwɔ akatua pii no nnkyen.", ""
"HEB.10.36", "Na ohia hom abotar, na sɛ hom wie Nyankopɔn apɛdze yɛ a, hom nsa aaka anohoba no.", ""
"HEB.10.37", "Na aka kakraabi dɛm Na nyia ɔreba no aba, na ɔrennkyɛr.", "#Hab 2.3, 4"
"HEB.10.38", "Na me tseneneenyi no nam gyedzi do benya nkwa, Na sɛ ɔsan ekyir a, me kra enyi ronnsɔ no.", ""
"HEB.10.39", "Na hɛn dze, yɛmmfora hɔn a wɔtwe hɔnho ekyir kɔ ɔsɛɛ mu no, na mbom yɛfora hɔn a wɔgye dzi dze gye hɔn kra nkwa no mu.", ""
