"HEB.13.1", "Hom mma enuadɔ ntsena hɔ daa.", ""
"HEB.13.2", "Mma hom enyi mmpa ahɔhoyɛ do: na ɔno do na binom nam ayɛ abɔfo a woennhu hɔn dɛm no ahɔho.", "#Gye 18.1-8; 19.1-3"
"HEB.13.3", "Hom nkaa hɔn a wɔda efiadze no, dɛ dza hom nye hɔn da hɔ, nye hɔn a wohu amandze biara, dɛ homankasa so da ho wɔ honam mu.", ""
"HEB.13.4", "Hom ndzi awar nyi wɔ adze nyina mu, na mma hom nngu awarmpa ho fi: na ndwaman nye awartofo dze, Nyankopɔn bobu hɔn atsɛn.", ""
"HEB.13.5", "Mma sika enyiber mmba hom abrabɔ mu. Hom mma hom bo ndwe dza hom wɔ no ara ho: na nankasa aka dɛ, Mirinngya wo da, eso meremmpa wo da biara da.", "#Deut 31.6, 8; Jas 1.5"
"HEB.13.6", "Ntsi yɛdze ndam ka dɛ, Ewuradze nye mo boafo; murunnsuro: Nyimpa botum ayɛ me dɛn?", "#Dwom 118.6"
"HEB.13.7", "Hom nkaa hɔn a wɔhwɛɛ hom do a wɔkaa nyamesɛm kyerɛɛ hom no; hom nhwɛ hɔn abrabɔ ewiei, na hom nsua hɔn gyedzi.", ""
"HEB.13.8", "Jesus Kraest tse dɛmara ndeda, nye ndɛ, nye daapem nyina.", ""
"HEB.13.9", "Mma hom mma nkyerɛkyerɛ horow fofor bi mmfa hom nnkyinkyin: na oye dɛ wɔdze adom hyɛ akoma dzen mbom, na nnyɛ edziban a hɔn a wɔnantsew mu ennya mfaso bi no a.", ""
"HEB.13.10", "Yɛwɔ afɔrmbukyia a hɔn a wɔsom ntamadan mu no nnyi kwan dɛ wodzi ho biribi.", ""
"HEB.13.11", "Na mbowa a sɔfopanyin no dze hɔn bɔgyaa kɔ krɔnkrɔnbea mu wɔ bɔn ntsi no, hɔn efun wɔhyew no nseraban no ekyir.", "#Lev 16.27"
"HEB.13.12", "Ntsi na Jesus so, mbrɛ ɔbɛyɛ na ɔdze no bɔgyaa atsew ɔman no ho no, ohun amandze wɔ kuropon no ekyir no.", ""
"HEB.13.13", "Dɛm ntsi hom mma yempue nkɔ ne nkyɛn wɔ nseraban no ekyir, dɛ yɛso n'adapaabɔ no bi.", ""
"HEB.13.14", "Na yennyi kurow a ɔtse hɔ daa wɔ ha, na mbom dza ɔreba no na yɛhwehwɛ n'ekyir kwan.", ""
"HEB.13.15", "Ɔno ntsi hom mma yendua no do mbɔ ayɛyi afɔr mma Nyankopɔn daa, ɔno nye anofamfa aba a ɔpaa mu bɔ no ne dzin.", ""
"HEB.13.16", "Na mma hom werɛ mmfir adɔyɛ nye adzekyɛ, na dɛm afɔrbɔdze yi na ɔsɔ Nyankopɔn enyi.", ""
"HEB.13.17", "Hom ntsie hom akandzifo na hom mbrɛ hom ho adze mma hɔn: osiandɛ hɔn na wɔweɔn hom akra, na wobobu ho nkontaa; ama wɔdze enyigye aayɛ iyi na nnyɛ nkrumsi bi a: annyɛ dɛm a ɔnnkɛyɛ mfaso ama hom.", ""
"HEB.13.18", "Hom nsɔr mma hɛn: na yɛwɔ awerɛhyɛmu dɛ yɛwɔ tsibowa pa, dɛ yɛpɛ dɛ yɛbɔ hɛn bra yie wɔ adze nyina mu.", ""
"HEB.13.19", "Na mutu hom fo papaapa dɛ hom nyɛ iyi, ama woeegyaa me ama hom ntsɛmara.", ""
"HEB.13.20", "Afei asomdwee Nyankopɔn a ɔnam onnyiewiei ahyɛmu no bɔgyaa do dze nguan no hɔn hwɛfo kɛse, mekyerɛ hɛn Ewuradze Jesus Kraest, fi ewufo mu baa bio no,", ""
"HEB.13.21", "ɔmma hom ndzi mu wɔ edwuma pa nyina mu, na hom nyɛ ne pɛ, na ɔmfa Jesus Kraest do nyɛ hɛn mu dza ɔsɔ n'enyi, ɔno na enyimnyam nka no mbersantsen mfesantsen. Amen.", ""
"HEB.13.22", "Na mutu hom fo, enuanom, hom ntsie afotusɛm yi: na makyerɛw nsɛntsia bi amona hom.", ""
"HEB.13.23", "Hom nhu dɛ woegyaa hɛn nua Timoti; na sɛ ɔba ntsɛm a, menye no bɛba ebohu hom.", ""
"HEB.13.24", "Hom nkyiakyia hɔn a wɔhwɛ hom do no nyina, nye ahotseweefo no nyina. Hɔn a wofi Itali no kyiakyia hom.", ""
"HEB.13.25", "Adom nka hom nyina. [Amen.]", ""
