"HOS.1.1", "Iyi nye EWURADZE n’asɛm a ɔbaa Beeri ba Hosea hɔ, wɔ Juda ahemfo Uzia, Jotam, Ahaz, na Hezekia nda mu, na Israelhen Jeroboam a ɔyɛ Joas ne ba no ne nda mu no.", ""
"HOS.1.2", "Ber a EWURADZE nam Hosea do kasaa asɔpɔn no, EWURADZE see Hosea dɛ, Kɔ, kɛfa ɔbaa edwaman na ndwaman mba war: na asaase no efi EWURADZE nkyɛn rogor ndwamangor kɛse.", ""
"HOS.1.3", "Nna ɔkɔree kɛfaa Diblaim ne babaa Gomer; na onyinsenii woo babanyin maa no.", ""
"HOS.1.4", "Na EWURADZE kaa kyerɛɛ no dɛ, To no dzin Jezreel; osiandɛ aka kakra ma meebedzi Jezreel no bɔgyaa ho wer wɔ Jehu fi do, na maama Israel fi ahendzi no abɔ adze.", "#2 Ahe 10.11"
"HOS.1.5", "Na ɔbɛba dɛ da no mubobubu Israel egyen mu wɔ Jezreel bɔnsa mu.", ""
"HOS.1.6", "Na onyinseen bio na ɔwoo babaa. Na EWURADZE see no dɛ, To no dzin Lo-ruhama a ne nkyerɛase nye nyia oennhu no mbɔbɔr: osiandɛ merennda ho nnhu Israel fi mbɔbɔr, na medze akyɛ hɔn bio.", ""
"HOS.1.7", "Na mubohu Juda fi mbɔbɔr na magye hɔn nkwa, wɔ EWURADZE hɔn Nyankopɔn no mu, naaso menndze egyen, anaa afona, anaa akodze, mpɔnkɔ, anaa mpɔnkɔdofo.", ""
"HOS.1.8", "Na otwaa Lo-ruhama enumfo no, onyinsenii, na ɔwoo babanyin.", ""
"HOS.1.9", "Na EWURADZE see dɛ, To no dzin Lo-ammi ase nye dɛ ɔnnyɛ me man: osiandɛ hom nnyɛ me man, na mo so mennyɛ hom Nyankopɔn.", "#1.9 MENNYƐ HOM NYANKOPƆN: Hebriw no kyerɛ mennyɛ homdze."
"HOS.1.10", "Naaso Israelmba hɔn dodow bɛyɛ dɛ mpoano anhwea a wonnsusu eso wɔnnkan; na ɔbɛba dɛ fakor a wɔsee hɔn dɛ, Hom nnyɛ me man no, wɔbɛse hɔn dɛ, Hom yɛ Nyame tseasefo mba.", "#Rom 9.26"
"HOS.1.11", "Na Judamba na Israelmba bɔbɔ mu ehyia na wɔahyɛ otsitsir kor ama hɔnho, na wɔafow efi asaase no do akɔ: na Jezreel da no bɛyɛ da kɛse.", ""
