"HOS.11.1", "Ber a Israel yɛ abofra no, nna modɔɔ no na mefrɛɛ me ba fiir Egypt.", "#Eks 4.22; Mat 2.15"
"HOS.11.2", "Mber dodow a mefrɛɛ hɔn no, mbrɛ wofii me nkyɛn kɔree nye no: wɔbɔɔ okum afɔr maa Baalim, na wɔhyeew eduhuam maa ehonyi a woegu.", ""
"HOS.11.3", "Naaso emi na megyee Efraim taataa: mutuur hɔn me basa do; na bio, woennhu dɛ emi na mesaa hɔn yarba.", ""
"HOS.11.4", "Onyimpa ahoma na medze twee hɔn, ɔdɔ ntampehoma a: na meyɛɛ dɛ hɔn a woyi kɔndua fi adadaw do maa hɔn, na medze edziban sisii hɔn enyim.", ""
"HOS.11.5", "Wɔbɛsan akɔ Egypt asaase do bio; na Asirianyi no bɛyɛ hɔn hen, osiandɛ wɔpoow dɛ wɔbɛsan aba me nkyɛn.", ""
"HOS.11.6", "Na afona bɛba no nkurow do, na ɔasɛɛ ne ndaban, na ɔamen hɔn, osian hɔnankasa hɔn apam ntsi.", ""
"HOS.11.7", "Ekyir ara na me man pɛ dɛ ɔsan fi me nkyɛn kɔ: sɛ wɔfrɛ hɔn ɔsorsornyi no nkyɛn mpo a, obiara nnkasa ho koraa.", ""
"HOS.11.8", "Ao Efraim, mebɛyɛ dɛn eyi wo ama? Israel, mebɛyɛ dɛn eyi wo ama, ao? Mebɛyɛ dɛn mayɛ wo dɛ Adma? Mebɛyɛ dɛn koraa dze wo esi hɔ dɛ Zeboim? Ao, m’akoma adan wɔ mo mu ae, na m’ayamuhyehye abɔ mu redzɛw mo mu.", "#Deut 29.23"
"HOS.11.9", "Minnkedzi m’ebufuw ne hyeehyew no ekyir, merennsan mmbɛsɛɛ Efraim: osiandɛ meyɛ Onyame, na nnyɛ nyimpa; Krɔnkrɔnnyi a ɔwɔ wo finimfin: na merennhɛn kurow no mu.", ""
"HOS.11.10", "Wobedzi EWURADZE ekyir, ɔno a ɔbɔpɔw dɛ gyata; na ɔnodze ɔbɔpɔw, na mbofra no dze ahopopo fi anee aba.", ""
"HOS.11.11", "Wɔdze ahopopo fi Egypt bɛba dɛ anoma, na woefi Asiria asaase do aba dɛ ebubur: na medze hɔn mama woetsim wɔ hɔn efi mu, EWURADZE na ɔse.", ""
"HOS.11.12", "Efraim dze atorsɛm, na Israel fi dze ndaadaa etwa mo ho ehyia: naaso mbom Juda da ho dze Nyame dzi hen, na odzi nokwar ma Krɔnkrɔnnyi no.", ""
