"ISA.2.1", "Asɛm a Amoz ne ba Isaia nyae a ɔfa Juda na Jerusalɛm ho.", ""
"ISA.2.2", "Na ɔbɛba dɛ nda a odzi ekyir no mu no, mbepɔw a EWURADZE fi si do no, bɔbɔ mbepɔw nyina do, na wɔbɛma no do abɔ akoko nyina do, na amanaman bɛpem aba ho.", ""
"ISA.2.3", "Na aman pii bɛba abɛse dɛ, Hom mbra ma yɛnkɔ EWURADZE bepɔw no do, yɛnkɔ Jakob Nyankopɔn no ne fie; ama ɔaakyerɛkyerɛ hɛn n'akwan, ma yɛaanantsew n'atsempɔn mu: na Zion na mbra befi aba, na EWURADZE n'asɛm efi Jerusalɛm.", ""
"ISA.2.4", "Na obobu amanaman ntamu atsɛn, na woesi gyinae ama nkorɔfo pii: na wɔdze hɔn mfona abobɔ nsɔw, na wɔdze hɔn mpeaa abobɔ nsɔsɔw: ɔman bi remma afona do nntsia ɔman fofor, eso worunnsua akodzi bio.", "#Joel 3.10; Mika 4.3"
"ISA.2.5", "Ao Jakob fifo, hom mbra ma yɛnnantsew EWURADZE kan no mu.", ""
"ISA.2.6", "Na ɔwo adan wo man egya, Ao Jakob fi, osiandɛ atɔrmuadze a ofi boka ahyɛ hɔn ma, na wɔayɛ ɔsebramufo dɛ Filistiafo, na wɔnye ananamba futuw mu.", ""
"ISA.2.7", "Hɔn asaase ayɛ dwetɛ na sika ma; na hɔn akoradze so nnyi ewiei; hɔn asaase ayɛ mpɔnkɔ ma, na hɔn ntseaseanam so nnyi ewiei.", ""
"ISA.2.8", "Hɔn asaase so ayɛ abosom ma; wɔsɔr hɔnankasa hɔn nsaano edwuma, dza hɔnankasa hɔn nsatseaba ayɛ no.", ""
"ISA.2.9", "Wɔma dasanyi bɔ famu, na wɔbrɛ nyimpa adze: dɛm ntsi mma mmfa nnkyɛ hɔn.", ""
"ISA.2.10", "Kɛhɛn ɔbotan mu, na huntsa woho wɔ huntuma mu, fi EWURADZE ho hu no enyim, nye no tumdzi enyimnyam no enyim.", "#Nyi 6.15"
"ISA.2.11", "Nyimpa enyiwa a ɔtra no ntɔn no bɛbrɛ adze, na nyimpa n'ahopɔw bɛba famu, na EWURADZE nko ara na wobohuhor no wɔ da no mu.", ""
"ISA.2.12", "Na dɔm EWURADZE ne da bi wɔ hɔ a ɔbɛba nkontompɔfo na ahopɔwfo nyina do, na ahomemadonyi biara do;", ""
"ISA.2.13", "na ɔbɛba Lebanon nkyindur a ɔwowaree na ɔyɛ kusuww no, na Bashan nsudur nyinara do;", ""
"ISA.2.14", "na mbepɔw sorɔnsorɔm nyinara, na akoko a amema do nyinara do;", ""
"ISA.2.15", "na abantsentsen biara, na ɔfasu a wɔaban ho biara do;", ""
"ISA.2.16", "na Tarsis ahɛn nyinara, na ahwɛdze a ɔyɛ fɛw nyinara do.", ""
"ISA.2.17", "Na wɔbɛbrɛ nyimpa n'ekromponsɛm adze, na adasa ahopɔwsɛm bɛba famu; na EWURADZE nko ara na wɔbɔkrɔn no da no mu.", ""
"ISA.2.18", "Na abosom botwa mu akɔ koraa.", ""
"ISA.2.19", "Na wɔbɛhɛn abotan ntokur mu, na famu etu mu, efi EWURADZE no ho hu ho, na no tumdzi enyimnyam enyim, ber a ɔbɔsoɛr abɔwosow asaase dzendzenndzen no.", ""
"ISA.2.20", "Da no mu na nyimpa bɔtow no dwetɛ abosom, na ne sika abosom a wɔyɛe maa no dɛ ɔnsɔr no no akyen, ama nkusi na mpan;", ""
"ISA.2.21", "ama wɔaakɛhɛn abotan ntokur na abo mpaapaae mu, efi EWURADZE ho hu ho, na no tumdzi enyimnyam enyim, ber a ɔbɔsoɛr abɔwosow asaase dzendzenndzen no.", ""
"ISA.2.22", "Hom ngyaa nyimpa a n'ahom wɔ n'ahwentokura mu no ekyir dzi: na ebɛnadze mu ara na wobu no bi?", ""
