"ISA.10.1", "Wondue, hɔn a wɔhyehyɛ mbrakyew, na akyerɛwfo a wɔkyerɛw dza ɔkyea;", ""
"ISA.10.2", "dɛ wɔredan ohianyi efi pɛrpɛryɛ ho, na woeehwim me man abɔbɔfo hɔn ndzinoa, na ekunafo aayɛ hɔn asadze, na wɔdze ngyanka aayɛ hɔn afonam!", ""
"ISA.10.3", "Hom bɛyɛ dɛn wɔ ɔsera da no mu, na ɔsɛɛ a ofi ekyirekyir reba no mu? Woana hɔ na hom boguan akɛgye mboa? Na henfa na hom bɛdan hom enyimnyam egya?", ""
"ISA.10.4", "Adaduafo ase nko ara na wɔbɔbɔ hɔn mu adze, na wɔahwehwe atɔfo ase. Naaso iyi nyina mu n’ebufuw nntɔree, na ne nsa da ho ara wɔ sor.", ""
"ISA.10.5", "Asiria, due, m’ebufuw abaa, wo nsamu poma nye m’ebufuhyew!", "#Isa 14.24-27; Nah 1.1—3.19; Zef 2.13-15"
"ISA.10.6", "Mobɔsoma no ɔman a wonnyim Nyankopɔn mu, m’ebufuw man no ho na mebɛhyɛ no mbra, dɛ ɔnkɔfow asadze, na ɔnkɛfa afonam, na onketsiatsia hɔn do dɛ abrɔn mu dɛtse.", ""
"ISA.10.7", "Naaso ɔnndwen dɛm, eso n’akoma nnsusu dɛm; dza ɔwɔ n’akoma mu nye dɛ ɔbɛsɛɛ, na oetwitwa amanaman a wɔdɔɔ so egu.", ""
"ISA.10.8", "Na ɔka dɛ, Ana m’asafohen nnyɛ ahemfo bi a?", ""
"ISA.10.9", "Aso Kalno nntse dɛ Karkemis bi a? Na Hamat nntse dɛ Arpad? Aso Samaria nntse dɛ Damaskɔs bi a?", ""
"ISA.10.10", "Dɛ mbrɛ me nsa aka abosom ahendzi no a hɔn ehonyi a woegu kyɛn Jerusalɛm na Samaria dze no;", ""
"ISA.10.11", "aso nnyɛ dza medze ayɛ Samaria nye n’abosom no, ara so na medze bɛyɛ Jerusalɛm nye n’abosom bi a?", ""
"ISA.10.12", "Dɛm ntsi ɔbɛba dɛ sɛ EWURADZE wie n’edwuma nyina yɛ wɔ bepɔw Zion nye Jerusalɛm do a, mebɛtsea Asiriahen n’akomadzen no, nye n’ahomemado no.", ""
"ISA.10.13", "Osiandɛ ɔaka dɛ, Me nsamu ahoɔdzen na medze ayɛ na ɔnye me nyansaa so, osiandɛ meyɛ ɔbadwembafo: na matwe aman no hɔn ahe no, na mafom hɔn akoradze, na mesun hɔn a wɔtsetse nhengua do egu dɛ ɔkakaben:", ""
"ISA.10.14", "na me nsa aka amanaman ahonya no dɛ berɛbuw; na dɛ mbrɛ wɔtase nkyirefuwa a wɔadan egya no, dɛmara na matase asaase nyina: na obi nnyi hɔ a ɔbɔɔ atsaban mu, eso ɔhaan anomu, anaaso osuu twɔtwɔw.", ""
"ISA.10.15", "Aso ekuma bɛhyehyɛ noho wɔ nyia ɔdze twa adze no do? Anaa seradaa bɛhyehyɛ noho wɔ nyia ɔtwetwe no do? Dɛ gyama abaa bi him nyia ɔma do no do, anaadɛ poma bɛma nyia ɔnnyɛ dua no no do.", ""
"ISA.10.16", "Dɛm ntsi EWURADZE, dɔm EWURADZE, bɛma ɔfɔn aba n’abran do; na ɔasɔ n’enyimnyam ase ogya a ɔredzɛw.", ""
"ISA.10.17", "Na Israel kan no bɛdan ogya, na ne Krɔnkrɔnnyi no adan gyaframee: na ɔbɛhyew na ɔaamen no nsoɛ nye no nkɔkrɔw nyina da kor.", ""
"ISA.10.18", "Ɔbɛma no kwaa nye no mfuwa enyimnyam asa, ofitsi ɔkra do kesi nyimpadua do: na ɔayɛ dɛ aber a frankaakitsafo rotɔ bitsi.", ""
"ISA.10.19", "No kwaa mu ndua nkaa no bosuar, ma abofra mpo eetum akan.", ""
"ISA.10.20", "Na ɔbɛba da no mu dɛ, Israel nkaa no nye Jakob fi mu hɔn a woefi nsa no nnkɔtwer nyia ɔbobɔɔ hɔn no bio: na wɔbɔtwer EWURADZE, Israel Krɔnkrɔnnyi no nokwar mu.", ""
"ISA.10.21", "Nkaa no bɛsan aba, Jakob nkaa no bɛba Onyame katakyi no nkyɛn.", ""
"ISA.10.22", "Na kaansa wo man Israel tse dɛ mpoano anhwea mpo, a, nkaa ara na wɔbɛsan aba: wɔahyɛ ɔhyew a ɔbɛpram ndzeyɛtsenenee do.", "#Rom 9.27"
"ISA.10.23", "Na ndzɛmba ewiei a wɔahyɛ na EWURADZE, dɔm EWURADZE, dze bɛba asaase nyina mu.", ""
"ISA.10.24", "Dɛm ntsi mbrɛ EWURADZE, dɔm EWURADZE, se nye yi, Ao me man a etse Zion, mma nnsuro Asiria: kaansa abaa na ɔdze bɔhwe wo, na ɔama no poma do wɔ wo do, dɛ Egypt dze no mpo a.", ""
"ISA.10.25", "Na aka kakrabaabi na ebufuhyew no abɔ adze, na n’ebufuw adan ayɛ hɔn sɛɛe.", ""
"ISA.10.26", "Na dɔm EWURADZE behim mpirebi wɔ no do, dɛ Midian ekumii wɔ Oreb botan do no: na n’abaa bɛkyerɛ po no do, ɔama do dɛ Egypt dze no.", ""
"ISA.10.27", "Na ɔbɛba wɔ da no mu dɛ n’adzesoa beyi efi wo batsir do, na kɔndua efi wo kɔn ho, na kɔndua no asɛɛ wɔ seradze no ntsi.", ""
"ISA.10.28", "Ɔaba Aiat, oetwa mu wɔ Migron, ɔdze ne ndzɛmba rugu Mikmas:", ""
"ISA.10.29", "wɔafa akoko ntamu; wɔakɔsoɛ Geba: Rama ho popo; Saul Gibea eguan.", ""
"ISA.10.30", "Galim babaa, ma wo ndze do tsea mu! Laisa e, tsie ɛ! Anathot e, ma mbuae!", ""
"ISA.10.31", "Madmena ayɛ oguamfo; Gebim atsefo aboa hɔn ano ruguan.", ""
"ISA.10.32", "Ndɛ da yi ara wobesianka Nob: ɔbɔwosow ne nsa atsen Zion babaa ne bepɔw no do, Jerusalɛm koko no a.", ""
"ISA.10.33", "Hwɛ, EWURADZE, dɔm EWURADZE, dze hu bɛpempan ndubaa no: na ndupɔn atsentsen no wɔbɔtotow ato famu, na dza wɔwowaree no abrɛ adze.", ""
"ISA.10.34", "Na ɔdze dadze etwitwa kwaa mu adɔtɔ, na Lebanon nam ɔkatakyi nsa do ahwe ase.", ""
