"ISA.11.1", "Na mfɛwee bi befi Jesse dusin no mu afɛw, na odubaa efi no ndwow mu efir asow aba:", "#Nyi 5.5; 22.16"
"ISA.11.2", "na EWURADZE no sunsum bodwir no do, nyansa nye ntseasee sunsum, apam nye ahoɔdzen sunsum, na nyimdzee ɔnye EWURADZE suro sunsum;", ""
"ISA.11.3", "na EWURADZE ho suro mu na ɔbɛfa n’enyika: Na onnkedzi dza n’enyiwa hu no ekyir ebu atsɛn, eso onnkedzi dza n’asowa tse no ekyir aka enyim:", ""
"ISA.11.4", "tsenenee mbom na ɔdze bobu ɔbɔbɔfo atsɛn, na ɔdze atsɛntsenenee aka enyim wɔ asaase no do abrɛfo no ntsi: na ɔdze n’anomu abaa abobɔ asaase no, na ɔdze n’anomu ahom eku omumuyɛnyi.", "#2 Tes 2.8"
"ISA.11.5", "Na ndzeyɛtsenenee bɛyɛ n’asen abɔdo, na nokwardzi ayɛ n’abɔyamu.", "#Efe 6.14"
"ISA.11.6", "Na pataku nye eguambaa bɛtsena, na ɔsebɔ nye apɔnkyeba ada hɔ; na nantwiba a ɔadɔ seradze nye ogyataba atsena fakor; na abɔdomaba ahwɛ hɔn do.", "#Isa 65.25"
"ISA.11.7", "Na ɔnantwiber nye osisi bedzidzi, na hɔn mba abɔ mu ada fakor: na ogyata bɔwe efuw dɛ ɔnantwi.", ""
"ISA.11.8", "Na enumfoanoba bɔgor ehurutsia tu ano, na ɔba a oetwa enumfo dze ne nsa ato ɔkyerben no bɔn mu.", ""
"ISA.11.9", "Wɔnnkɛyɛ bɔn eso wɔnnkɛsɛɛ wɔ me bepɔw krɔnkrɔn nyina do: na EWURADZE ho nyimdzee bɛhyɛ asaase ma, dɛ mbrɛ esu kata po do.", "#Hab 2.14"
"ISA.11.10", "Na ɔbɛba wɔ da no mu dɛ Jesse ndwow no besi hɔ dɛ frankaa ama aman no, n’ekyir kwan na amanaman bɔhwehwɛ; na n’ahomgyebea bɛyɛ enyimnyam.", "#Rom 15.12"
"ISA.11.11", "Na ɔbɛba wɔ da no mu dɛ, EWURADZE dze ne nsa bosuo mu bio ne mprɛnu agye ne man nkaa wɔaka no efi Asiria na Egypt, na Patros, na Kus, na Elam, na Sinar, na Hamat, na po mu nsupruw no mu.", ""
"ISA.11.12", "Obesi frankaa ama amanaman, na ɔapon Israel tokyemfo no aboa ano, na ɔatase Judafo a wɔapetse no efi asaase mfɛndzanan mu aboa ano.", ""
"ISA.11.13", "Efraim n’enyitan so befi hɔ akɔ, na wobotwa hɔn a wohiahia Juda ho no efi hɔ: Efraim n’enyi nnkɛber Juda, na Juda so nnkehiahia Efraim ho.", ""
"ISA.11.14", "Mbom wobotu ekesi Filistiafo kɔn ho wɔ anee; na wɔbɔbɔ mu akɔfom bokamba no. Wɔdze hɔn nsa bɔto Edom nye Moabmba do; na Ammonmba ayɛ setsie ama hɔn.", ""
"ISA.11.15", "Na EWURADZE bɔwew Egypt po mu nsu korakora; na ɔdze ne hyew mframa bɔpopo ne nsa ho egu Esutsen no do, na ɔbɔbɔ no ma ɔadan nsubansuba esuon, ma nkorɔfo dze nsokota eedua mu wesee.", ""
"ISA.11.16", "Na ɔtsempɔn bi bɛda hɔ efi Asiria ama me man nkaa a wɔaka no; dɛ mbrɛ ɔdaa hɔ maa Israel wɔ da a ofii Egypt asaase do bae no.", ""
