"ISA.16.1", "Wɔdze nguambaa fi Sela nam sar do afamu akɛma, asaase no do hwɛdofo no wɔ Zion babaa bepɔw no do.", ""
"ISA.16.2", "Dɛ nnoma a worikyin, ɔnye berɛbuw a wɔahotse mu, dɛm na Moab mbabaa bɛyɛ wɔ Arnon esutwae.", ""
"ISA.16.3", "Ma apam, bua atsɛn; yɛ wo nwinwin dɛ anadwe wɔ ewiaber ketee: fa hɔn a wɔapam hɔn huntsa; mma nnkyerɛ ɔkobɔfo do kwan.", ""
"ISA.16.4", "Ma Moab atokyemfo no ntsena wo nkyɛn; yɛ huntsabea ma hɔn wɔ ɔsɛɛfo no enyim. Sɛ ɔpempensifo no fi hɔ na ɔsɛɛ bɔ adze, na ahyɛdofo sa wɔ asaase no do a,", ""
"ISA.16.5", "nna wobetsim ahengua bi wɔ mbɔbɔrhu mu, na obi atsena do wɔ nokwar mu wɔ David ntamadan mu nyia obu atsɛn, na ɔhwehwɛ atsɛmbu, na ɔpɛ ntsɛm yɛ tsenenee.", ""
"ISA.16.6", "Yɛatse Moab horan a ɔahoran dodow no nka; n'ahopɔw, no nkontompɔ, na n'ebufuw; naaso n'ahohyehyɛ yɛ gyan.", ""
"ISA.16.7", "Dɛm ntsi ma Moab ntwa ewuo, obiara ntwa ewuo mma Moab: Kir-hareset esikyireamba tatar ntsi hom bɛka mmɔn dɛ wɔabobɔ hom pasaa.", ""
"ISA.16.8", "Na Hesbon mfuwa akyenkyen, na Sibma wenyindua no so; amanaman ewuranom no ebubu n'abaw fɛɛfɛw no; ɔtserɛw kodu Jazer mpo, ɔtserɛwee kɔr sar no do, na okotwaa mu wɔ po do.", ""
"ISA.16.9", "Dɛm ntsi medze Jazer osu bosu, Sibma wenyindua: medze me nyinsuwa bogugu wo do nsu, Ao Hesbon, na Eleale: wo nduaba nye wo twaber do na ɔko mu nkekamu no abɔhwe.", ""
"ISA.16.10", "Na woeyi enyigye efi hɔ, na dɛw no efi nhabamber no mu; na adwontow biara nnyi wenyin nture no mu anaa ehurusi dede biara nnkɛba hɔ: na okyifo biara nnkekyi wenyin wɔ nsakyimona mu; mama esikyireambatsew dede abɔ adze.", ""
"ISA.16.11", "Iyi ntsi me kra si nkrum dɛ sanku ndze wɔ Moab ho, na m'akoma so wɔ Kir-heres ho.", ""
"ISA.16.12", "Na ɔbɛba dɛ, sɛ Moab yi noho edzi, sɛ ɔberɛ wɔ sorɔnsorɔmbea hɔ, na ɔba no krɔnkrɔnbea hɔ beyi mpaa a, orinndzi nyim.", ""
"ISA.16.13", "Iyi nye asɛm a EWURADZE kae wɔ Moab ho aber a ɔabɛsen.", ""
"ISA.16.14", "Na afei dze EWURADZE se dɛ, Mfe ebiasa mu, dɛ ɔpaanyi mfe no, na Moab nye ne nyimpadodow pii no nyinara hɔn enyimnyam bɛyɛ gyan; na hɔn a wɔbɛka no bɛyɛ ketseabaa a wonnyi ahom biara.", ""
