"ISA.17.1", "Damaskɔs ho atsɛmbusɛm. Hwɛ, Damaskɔs nnyɛ kurow bio, na ɔdan abɛyɛ ekurofo.", "#Jer 49.23-27; Amos 1.3-5; Zek 9.1"
"ISA.17.2", "Wɔadan Aroer nkurow egya, na wɔbɛyɛ mbowakuw dze a wobobutuw hɔ, na obi rinnyi hɔn hu.", ""
"ISA.17.3", "Akoban so bɛpa wɔ Efraim, na ahendzi wɔ Damaskɔs; na Siria nkaa bɛyɛ dɛ Israelmba hɔn enyimnyam, dɔm EWURADZE na ɔse.", ""
"ISA.17.4", "Na da no, ɔbɛba dɛ Jakob enyimnyam bɛyɛ haharba, na no honam a ɔadɔ angoa no, afɔn.", ""
"ISA.17.5", "Na ɔbɛyɛ dɛ otwafo pempan eburow a osisi hɔ, na ɔdze n'abasa bubu mbɛtsem no; ɔbɛyɛ dɛ aber a obi ridzi mbɛtsem mpɛpɛw wɔ Efraim bɔnsa mu.", ""
"ISA.17.6", "Naaso wobegya mpɛpɛw wɔ mu dɛ ngodua roporow aba, ebien anaa ebiasa wɔ nkɔnmu abaw do, anan anaa enum wɔ dua a ɔsow yie n'ekyirekyir ndubaa no do, EWURADZE, Israel Nyankopɔn no na ɔse.", ""
"ISA.17.7", "Da no mu na nyimpa bobu ne Yɛfo, na n'enyi asɔ Israel Krɔnkrɔnnyi no.", ""
"ISA.17.8", "Na ɔronnhwɛ afɔrmbukyia, ne nsaano edwuma no, eso n'enyi ronnsɔ dza ne nsatseaba ayɛ, Aserim, anaadɛ ewia ehonyi no.", ""
"ISA.17.9", "Da no mu na no nkurow a ɔyɛ dzen bɛyɛ dɛ mbea a wɔadan egya wɔ kwaa mu na mbepɔw etsifi a wɔdanee gyae wɔ Israelmba enyim no: na ayeyɛ ekurofo.", ""
"ISA.17.10", "Osiandɛ wo werɛ efir wo nkwagye Nyankopɔn no, na w'adwen ammba w'ahoɔdzen ɔbotan no do; dɛm ntsi kaansa iduadua ndua fɛɛfɛw, na etsetsɛw mu enyame ananaben:", ""
"ISA.17.11", "mpo sɛ wo ntsɛwee da no ara mu ema ofifir, na anapa no ara iduae no ema w'aba no bɔ nkukuduuduw mpo a: no twaber no boguan wɔ yaw na awerɛhow a onnyi sabea da no mu.", ""
"ISA.17.12", "Ao, aman pii wor yɛ dede wɔwor dɛ po no wor! Ao, amanaman weɔɔyɛ ne dede a, ɔyɛ dɛ nsu dzendzen no weɔɔyɛ!", ""
"ISA.17.13", "Amanaman yɛ weɔɔ dɛ esu pii no weɔɔyɛ: naaso ɔbɔbɔ hɔn ham, na woeguan akɔ ekyirekyir, na woetsiw hɔn dɛ mbepɔw do ntsɛw wɔ mframa mu, na dɛ ekyinehyia huntuma wɔ ehum enyim.", ""
"ISA.17.14", "Ewimbibaamu no, hwɛ, hu nye yi! Na ansaana adze bɛkye nna wonnyi hɔ! Iyi nye hɔn a wɔfa hɛn afo hɔn kyɛfa, nye hɔn a wotwa hɛn dwo hɔn afamudze.", ""
