"ISA.29.1", "Due, Ariel, kurow a David kyeer mu nsera no! Hom mfa afe nka afe ho; hom mma afahyɛ mbɔ aprɔw mbra,", "#29.1 ARIEL: Asekyerɛ nye dɛ: Nyankopɔn mbukyia."
"ISA.29.2", "nna mebɛma Ariel ho akyer no, na nkɔmbɔdzi ɔnye sukwadwom aba hɔ: na ɔayɛ dɛ Ariel ama me.", ""
"ISA.29.3", "Na mebɛkyer nsera etwa wo ho kɔntɔnkrɔn, na medze aban abɔ wo ho dantaban, na mahohɔr pempe esiw wo kwan.", ""
"ISA.29.4", "Na ibefi famu tɔnn akasa, na wo kasaa efi huntuma mu ayɛ huhuhuhu; na wo ndze befi famu aba na ayɛ dɛ ɔsaman ne ndze, na wo kasaa efi huntuma mu awasa.", ""
"ISA.29.5", "Na w'atamfo dodow bɛyɛ dɛ huntuma wekoweko, na etsiɔdzenfo dodow no bɛyɛ dɛ ntsɛw a ɔresen kɔ: ɛhɛɛ, ɔbɛba dɛm amonmu ara wɔ awerɛfir mu.", ""
"ISA.29.6", "Dɔm EWURADZE dze ɔsenaman, nye asaasewosow, dede kɛse, nye ekyinehyia mframa, ehum, nye ogya a ɔmemen ne gyaframee bɛba abɛsera no.", ""
"ISA.29.7", "Na amanaman nyina mu dɔm a wɔnye Ariel dzii ako, hɔn a wɔnye ɔno na n'akoban ko, na wɔma no ho kyer no nyina, wɔbɛyɛ dɛ adaaso, anadwe enyido adzehu.", ""
"ISA.29.8", "Na ɔbɛba dɛ mbrɛ nyia ɔkɔm dze no so daa, dɛ oridzidzi; na onyan, na no kɔm no da ho ara wɔ hɔ no: anaadɛ mbrɛ nyia nsukɔm dze no so daa, na ɔronom; naaso onyan, na ɔtɔ bitsi, na no nsukɔm da ho ara wɔ hɔ no: dɛmara so na amanaman nyinara a wɔnye bepɔw Zion dzi ako no, bɛyɛ.", ""
"ISA.29.9", "Hom ho mbow hom kɛse, na ɔnyɛ hom nwanwa; hom mfura hom enyi na hom nyɛ enyifurafo! Hom mbow, naaso nnyɛ nsa ntsi a; hom nto ntentan, na nnyɛ nsadzen ntsi a.", ""
"ISA.29.10", "Na EWURADZE ehuei egu hom do, nda heii sunsum a, oemuamua hom enyi, mekyerɛ nkɔnhyɛfo no; na hom etsir, adzehufo no, ɔakata hɔn do.", "#Rom 11.8"
"ISA.29.11", "Na enyido adzehu nyina ayɛ hom dɛ nwoma a wɔasɔw ano mu nkyerɛwee a adasa dze ma nyia onyim nwoma dɛ, Meserɛ wo, kenkan yi: na ɔka dɛ, Murunntum, osiandɛ wɔasɔw ano:", ""
"ISA.29.12", "na wɔdze nwoma no ma nyia onnyim nwoma dɛ, Meserɛ wo, kenkan a, ɔka dɛ, Minnyim nwoma.", ""
"ISA.29.13", "Na EWURADZE see dɛ, Susuampa dɛ ɔman yi twe bɛn me, na wɔdze hɔn ano nye hɔn anofamfa dzi me nyi, na hɔn akoma dze woeyi efi me nkyɛn kɔ ekyirekyir, na hɔn suro a wosuro me yɛ nyimpa ahyɛdze a wɔdze akyerɛkyerɛ hɔn no ntsi:", "#Mat 15.8, 9; Mar 7.6, 7"
"ISA.29.14", "hwɛ, mobɔkɔ do ara mayɛ ahobowdze wɔ ɔman yi mu, ahobowdze nye anwanwadze bi a: na hɔn enyansafo nyansaa no ahera, na hɔn abadwembafo ntseasee ehuntsa hɔn.", "#1 Kor 1.19"
"ISA.29.15", "Wondue, hɔn a wɔhwehwɛ dɛ wɔdze hɔn apam huntsa EWURADZE fee, na hɔn ndzeyɛɛ wɔ sum mu na wɔka dɛ, Woana na ohu hɛn? Woana na onyim hɛn?", ""
"ISA.29.16", "Hom si ndzɛmba tsir adze! Aso wobobu ɔwemfo dɛ awendɛtse; anaa adze a wɔyɛe no bɛse nyia ɔyɛɛ no no dɛ, Nnyɛ ɔno yɛɛ me; anaa dza wɔahyehyɛ bɛse nyia ɔhyehyɛɛ dɛ, Innyim dze?", "#Isa 45.9; Rom 9.20"
"ISA.29.17", "Ana ɔnnkaa kakraabi ma Lebanon adan mfuwa prɔmprɔm, na mfuwa prɔmprɔm no woebu no dɛ kwaa?", ""
"ISA.29.18", "Na da no mu na etsitsifo bɛtse nwoma mu asɛm no, na efurafo enyi efi kusukusuyɛ na sum no mu ehu adze.", ""
"ISA.29.19", "Abrɛfo so bɛma hɔn enyigye adɔɔ so wɔ EWURADZE mu, na adasa mu ehiafo asɛpɛw hɔnho wɔ Israel Krɔnkrɔnnyi no mu.", ""
"ISA.29.20", "Na otsiɔdzennyi no ayɛ kwa, na ɔtwetwesifo egyaa, na hɔn a wɔtsɛw emumuyɛ nyina woetwa hɔn akyen:", ""
"ISA.29.21", "hɔn asɛndzii mu wɔma nyimpa yɛ mbratonyi, na wosua nyia ɔka enyim wɔ kuropon ano efir, na wɔdze nsɛnhuhuw dan ɔtseneneenyi fa nkyɛn.", ""
"ISA.29.22", "Dɛm ntsi mbrɛ EWURADZE a ɔpoon Abraham no ka wɔ Jakob fifo ho nye yi: Afei Jakob enyi ronnto, eso n'enyim ronntow fitaa bio.", ""
"ISA.29.23", "Na sɛ ohu ne mba a wɔyɛ me nsaano edwuma no wɔ ne ntamu a, wɔbɛtsew me dzin ho; nyew, wɔbɛtsew Jakob Krɔnkrɔnnyi no ho, na wɔabɔ hu wɔ Israel Nyankopɔn ho.", ""
"ISA.29.24", "Hɔn a wɔfomfom wɔ sunsum mu so benya ntseasee, na hɔn a wohwinhwin bosua nkyerɛkyerɛ.", ""
