"ISA.32.1", "Hwɛ, ɔhen bi bedzi hen wɔ tsenenee mu, na mbapɔmba edzi tum wɔ atsɛmbu mu.", ""
"ISA.32.2", "Na hɔn mu biara bɛyɛ dɛ huntsabea wɔ mframa ano, na guandɔbea wɔ ehum ano; dɛ asaase kwawee do esuesu, dɛ ɔbotan kɛse ase nwinwin wɔ asaase a oetwie do.", ""
"ISA.32.3", "Na hɔn a wohu adze enyi nnkɛyɛ kusukusu, na hɔn a wɔtse asɛm aso bɛkyɛn.", ""
"ISA.32.4", "Na horopohoropofo akoma bɛtse nyimdzee ase, na adodopofo gyirama bɛkasa a no mu tsew.", ""
"ISA.32.5", "Wɔnnkɛfrɛ ogyangyantwi no onyimnyamfo bio, na otsiɔdzenfo wɔnnkɛse no dɛ ɔyɛ ɔdɔyɛfo.", ""
"ISA.32.6", "Na ogyangyantwi bɛka egyangyantwisɛm, na n'akoma bɛyɛ emumuyɛdze, dɛ obedzi egyangyansɛm, na ɔaka afomfonsɛm etsia EWURADZE, na ɔama nyia ɔkɔm dze no ne kra atɔ pan, na ɔama anondze abɔ nyia nsukɔm dze no no.", ""
"ISA.32.7", "Na otsiafo edwindadze so muo: ɔhyehyɛ ne tsirmu nhyehyɛɛ bɔn dɛ ɔdze atorsɛm bɛsɛɛ ɔbɔbɔnyi, mpo ber a ohianyi kasa tsenenee no.", ""
"ISA.32.8", "Ɔyamuyiefo dze, ɔhyehyɛ ne tsirmu ayamuyiedze; na ayamuyiedze mu na obegyina.", ""
"ISA.32.9", "Hom nsoɛr, hom mbaa a hom ho adwe hom, na hom ntsie me ndze; hom mbabaa a hom twer homho, hom nyɛ aso mma m'asɛm.", ""
"ISA.32.10", "Afrenhyia ekyir nda bi mu na wɔbɔfona hom, hom mbaa a hom twer homho: na wenyin abatsew bɛsa, na n'anoboa no so remmba bio.", ""
"ISA.32.11", "Hom ho mpopo, hom mbaa a hom ho adwe hom; hom a hom twer homho, hom ho ntsitsi hom: hom nyiyi hom ho efuradze, na hom nyeyɛ kwatserkwa, na hom mfa eyitam mbobɔ hom asen.", ""
"ISA.32.12", "Hom mpempem hom akoko wɔ mfuwa fɛɛfɛw no ntsi, wɔ wenyindua a ɔsow wosowoso no ntsi.", ""
"ISA.32.13", "Nsoɛ na nkɔkrɔw befifir me man asaase no do; nyew, wɔ enyigye kurow no mu enyigye adan nyinara do mpo:", ""
"ISA.32.14", "na wɔbɛdan ahemfi no egya; kurow a nyimpa bitsibitsi wɔ mu no bɛda pan; koko no na aweɔmfo aban no bɛdan etu ara daa, na ɔbɛyɛ sar do nsoasopɔnkɔ enyigyebea, na mbowakuw edzidzibea;", ""
"ISA.32.15", "dze ekesi dɛ wobefi sor ehue sunsum no egu hɛn do, ma sar no adan asaaseber a ɔma ndɔbaa, na woebu asaaseber a ɔma ndɔbaa no dɛ kwaa.", ""
"ISA.32.16", "Ɔno na atsɛmbu bɛtsena sar do, na ndzeyɛtsenenee atsena nsaaseber a ɔma ndɔbaa mu.", ""
"ISA.32.17", "Na ndzeyɛtsenenee bɔsow asomdwee aba; na ndzeyɛtsenenee no nsunsuando ayɛ kommyɛ na awerɛhyɛmu daa.", ""
"ISA.32.18", "Na me man bɛtsena asomdwee tsenabea, na efiefi a osi pi, na ahomgye mbea komm mu.", ""
"ISA.32.19", "Na ɔsorbo bogu wɔ kwaa n'asehwe mu; na wɔbɛbrɛ kurow no adze koraa.", ""
"ISA.32.20", "Esiarfo nye hom a hom pe aba wɔ esu nyina ho, na hom to ɔnantwi na asoaso anan kwan.", ""
