"ISA.40.1", "Hom nkyekye, hom nkyekye me man werɛ, hom Nyankopɔn na ɔse.", ""
"ISA.40.2", "Hom nkasa akomatɔmu kasa nkyerɛ Jerusalɛm, na hom mpaa mu nkyerɛ no dɛ n’akodzi abɔ adze, wɔdze n’emumuyɛ akyɛ no; dɛ oenya EWURADZE ne nsamu ntsea mbɔho wɔ no bɔn nyinara ntsi.", ""
"ISA.40.3", "Obi ne ndze tsea mu dɛ, Hom mbɔ EWURADZE no kwan wɔ sar do, hom ntsen sar pradada do tsempɔn no mma hɛn Nyankopɔn.", "#Mat 3.3; Mar 1.3; Joh 1.23   #Luk 3.4-6"
"ISA.40.4", "Wɔbɛma bɔnsa biara do, na bepɔw na koko biara wɔbɛbrɛ no adze: na wɔatsentsen dza akyeakyea, na mbrɛ ɔyɛ kekakeka no ayɛ dɛfɛɛ:", ""
"ISA.40.5", "na wɔbɛda EWURADZE n’enyimnyam edzi, na adasa nyina abɔ mu ehu: na EWURADZE n’ano na ɔaka.", ""
"ISA.40.6", "Obi ne ndze ka dɛ, Tsea mu. Na mesee dɛ, Mentsea mu dɛn? Honam nyina yɛ nkyɛkyɛr, na ne fɛw nyina tse dɛ hamu nhyiren:", "#Jas 1.10, 11; 1 Pet 1.24, 25"
"ISA.40.7", "nkyɛkyɛr kyenkyen, nhyiren pa; sɛ EWURADZE n’ahom huw fa do a: ampaara ɔman no yɛ nkyɛkyɛr.", ""
"ISA.40.8", "Nkyɛkyɛr kyenkyen, nhyiren pa: naaso hɛn Nyankopɔn n’asɛm dze, obetsim hɔ daa.", ""
"ISA.40.9", "Ɔwo a eka nsɛmpa kyerɛ Zion, kɔ bepɔw a ɔkrɔn no do; ɔwo a eka nsɛmpa kyerɛ Jerusalɛm, fa ahoɔdzen ma wo ndze do; ma do, mma nnsuro; se Juda nkurow dɛ, Hom nhwɛ, hom Nyankopɔn nye yi!", ""
"ISA.40.10", "Hwɛ, EWURADZE Nyankopɔn bɛba dɛ ɔkatakyi, na ne basa bedzi nyim ama no: hwɛ, n’akatua wɔ ne nkyɛn, na n’ahyɛnanmu wɔ n’enyim.", "#Isa 62.11; Nyi 22.12"
"ISA.40.11", "Ɔbɛnyɛn no nguankuw dɛ oguanhwɛfo, ɔbɔboaboa no nguambaa ano wɔ n’abaw mu, na oetur hɔn no bo mu, na ɔaka nguan a wɔma enumfo berɛberɛ.", "#Eze 34.15; Joh 10.11"
"ISA.40.12", "Woana na oesusu esuesu wɔ ne nsayamu, na ɔato ɔsor nsatseama, na ɔahyɛ asaase huntuma wɔ etwadze mu, anaa oeker akoko na mbepɔw wɔ nsɛn mu?", ""
"ISA.40.13", "Woana na ɔakyerɛ EWURADZE no sunsum kwan, anaa ɔakyerɛkyerɛ no dɛ ɔyɛ ne pamfo?", "#Rom 11.34; 1 Kor 2.16"
"ISA.40.14", "Woana na ɔnye no tuu egyina, na woana kyerɛkyerɛɛ no, na ɔkyerɛɛ no atsɛmbu kwan mu, na ɔkyerɛkyerɛɛ no nyimdzee, na ɔdze ntseasee tsempɔn kyerɛɛ no?", ""
"ISA.40.15", "Hwɛ, amanaman tsetse dɛ bokitsi mu nsosɔe, na woebu hɔn dɛ nsɛn mu huntuma ba: hwɛ, ɔmema nsupruw no do dɛ adze ketseaba.", ""
"ISA.40.16", "Na Lebanon nnso hyew, no mu mbowadoma so nnso ɔhyew afɔr.", ""
"ISA.40.17", "Amanaman nyinara mmfata hwee wɔ n’enyim; wobu hɔn dɛ adze a ɔnnsɛ hwee, na egyangyandze.", ""
"ISA.40.18", "Woana ho koraa na hom dze Nyakopɔn bɔto? Anaa suban bɛn na hom dze bosusu no?", "#Ndwu 17.29"
"ISA.40.19", "Ohonyi a woesian no, odwimfo na ɔnanee, na sikadwinnyi dze sika dura ho, na ogugu ho dwetɛ ntweaban.", ""
"ISA.40.20", "Nyia odzi hia dodow no, ɔsan mu yi dua a ɔmmprɔw; ɔhwehwɛ odwimfo nyansafo ma noho, ma ɔaayɛ ohonyi a woesian a onnkotutu.", ""
"ISA.40.21", "Aso hom nnhunii? Aso hom nntsee? Aso wommfii ahyɛse nnkaa nnkyerɛɛ hom? Aso hom mmfii asaase ne fapem ase nntsee ase?", ""
"ISA.40.22", "Ɔno nye nyia ɔtse asaase no kɔntɔnkrɔn no do, na no mu atsefo tsetse dɛ mbɛbɛw; ɔno a ɔtserɛtserɛw ɔsorsor mu dɛ ɔtam, na ɔtserɛtserɛw mu dɛ ntamadan a wɔtsena mu", ""
"ISA.40.23", "ɔno a ɔma mbapɔmba yɛ dɛ wɔnnsɛ hwee; ɔma asaase do atsɛmbuafo yɛ dɛ egyangyandze.", ""
"ISA.40.24", "Nyew, wɔnntsetsɛɛw hɔn; nyew, wɔmmfaa hɔn nnduaduae; nyew, hɔn dua nngyee asaase do ndwow: nkyii so ohuw gu hɔn do, na wɔkyenkyen, na ekyinehyia mframa tu hɔn kɔ dɛ ntsɛw.", ""
"ISA.40.25", "Woana koraa na hom dze me bɔtoto no ho, ma menye no asɛ? Ɔkrɔnkrɔnnyi no na ɔse.", ""
"ISA.40.26", "Hom mma hom enyi do wɔ sor, na hom nhwɛ nyia ɔbɔɔ iyinom, ɔno a obu hɔn dɔm ano dze hɔn pue: ɔbobɔ hɔn nyinara edzin frɛfrɛ hɔn: wɔ n’ahoɔdzen ne kɛseyɛ ntsi, na osiandɛ ɔyɛ dzen wɔ tum mu ntsi, no mu kor ara mpo nnyew mmfi mu.", ""
"ISA.40.27", "Afei ɔyɛ dɛn ntsi na ɔwo Jakob, eka, na Israel, ekasa, dɛ, Mo kwan ehuntsa EWURADZE, na me Nyankopɔn ebu n’enyi egu m’atsɛmbu do yi?", ""
"ISA.40.28", "Aso innhunii? Aso enntsee? Ɔdomankoma Nyankopɔn nye EWURADZE, ɔno a ɔbɔɔ asaase n’ewiei no a, ɔnntɔ bitsi, eso ɔmmberɛ; na ne ntseasee so mu nnyi nhwehwɛmu.", ""
"ISA.40.29", "Ɔno na ɔma nyia ɔtɔ bitsi ahoɔdzen; na nyia onnyi ahom no, ɔto n’ahoɔdzen mu.", ""
"ISA.40.30", "Mbofra mpo wɔbɔtɔ bitsi na wɔaberɛ, na mberantsɛ ahwehwe ase koraa.", ""
