"ISA.44.1", "Naaso afei, m’akowaa Jakob, tsie; na Israel a masan mu meyi wo:", ""
"ISA.44.2", "Mbrɛ EWURADZE a ɔyɛɛ wo, na ɔhyehyɛɛ wo fii yafun mu na ɔbɔboa wo no, se nye yi: M’akowaa Jakob, mma nnsuro; na ɔwo, Jerusalɛm a masan mu meyi wo.", ""
"ISA.44.3", "Na mubohue nsu egu nyia nsukɔm dze no no do, na nsubansuba egu daadze kɛsɛɛ do: mubohue mo sunsum egu w’asefo do, na me nhyira egu hɔn a wofi wo mu do:", ""
"ISA.44.4", "na wobefifir nkyɛkyɛr ntamu, dɛ esuka do ndua.", ""
"ISA.44.5", "Obi bɛse dɛ, meyɛ EWURADZE dze; na obi so dze Jakob ne dzin afrɛ noho; na obi so bio dze ne nsa akyerɛw dɛ ɔyɛ EWURADZE dze, na ɔdze Israel ne dzin ato no do.", ""
"ISA.44.6", "Mbrɛ EWURADZE, Israel Hen, na no pomfo, dɔm EWURADZE no, ɔse nye yi: Emi nye ɔkandzifo, na emi nye okyidzifo; na nyame bi nnyi hɔ ka mo ho.", "#Isa 48.12; Nyi 1.17; 2.8; 22.13"
"ISA.44.7", "Woana na ɔtse dɛ emi? Ma ɔnka ɛ. Ma ɔmpaa mu nka mfa nsi m’enyim. Woana na ofi tsetseetse ɔakyerɛ ndzɛmba a ɔreba, na ɔman a medze besi hɔ no na dza ɔbɛba no? Wɔmma wɔnda dza ɔbɛba no edzi ɛ.", ""
"ISA.44.8", "Mma hom nnsuro, eso mma hom bo nntu: ana mimmfi tsetse na mekaa kyerɛɛ hom, na medze kyerɛe? Na homara nye m’adasefo. Aso Nyankopɔn bi wɔ hɔ ka mo ho? Ɛhɛɛ, Ɔbotan bi nnyi hɔ; minnyim biara.", ""
"ISA.44.9", "Hɔn a wɔyɛ ohonyi a woesian nyinara yɛ egyangyandze; na hɔn enyigyedze ho nnkɛba mfaso: na hɔnankasa hɔn adasefo runnhu adze, eso wonnyim adze; ama hɔn enyi aato.", ""
"ISA.44.10", "Woana na ɔayɛ bosom, anaa oegu ohonyi a woesian a mfaso bi nnyi ho?", ""
"ISA.44.11", "Hwɛ, nsɛfo nyinara enyi bɔtoto; na edwimfo no, adasamba yi ara bi a: wɔmma hɔn nyinara wɔmboa ano fakor, wɔmma wongyinagyina hɔ; wobosuro, hɔn enyi bɔto prɛko.", ""
"ISA.44.12", "Ɔtomfo bɔ ekuma, na ɔyɛ ngyabiriw mu edwuma, na ɔdze nhamɛr bor no, na ɔdze n’abaw dzendzen yɛ ho edwuma: nyew, ɔkɔm dze no, na n’ahoɔdzen pa; ɔnnom nsu, na ɔtɔ bitsi.", ""
"ISA.44.13", "Duadwimfo dze ahoma to; ɔdze ntwoma sensan; ɔdze twerɛw ndadze siesie ho, na ɔdze kɔmpase sensan ho, na osian no nyimpa saso, dɛ mbrɛ nyimpa n’ahoɔfɛw tse, ma ɔaatsena dan no mu.", ""
"ISA.44.14", "Ɔtow nkyindur ndua, na ɔfa abrɔwi na osudur, na ɔhyɛ kwaa mu ndua bi dzen ma noho: ɔtsɛw nkyindur ndua, na nyankonsu nyɛn no.", ""
"ISA.44.15", "Nna nkyii ɔbɛyɛ dza nyimpa dze kua ogya; na ɔfa bi na ɔdze to hyew; nyew, okua, na ɔto boodoo: nyew, ɔyɛ bosom, na ɔsom no; ɔyɛ no ohonyi a woesian, na ɔkotow no.", ""
"ISA.44.16", "Ɔsɔ ne fa bi ogya mu; ɔdze ne fa bi so dzi nam; ɔkyew nam, na odzidzi mee: nyew, ɔto so, ma ɔka dɛ, Yɛɛ, mo ho ayɛ me hyew ae, ogya na mehu yi.", ""
"ISA.44.17", "Ne nkaa no ɔdze yɛ bosom bi, no honyi a woesian no a: ɔkotow no, na ɔsɔr no, na oyi no mpaa, na ɔka dɛ, Gye me; na ɔwo nye me nyame.", ""
"ISA.44.18", "Wonnyim, eso wɔnndwen ho: osiandɛ ɔaseram hɔn enyi, ma wonntum nnhu; na hɔn akoma, ma wonntum nntse ase.", ""
"ISA.44.19", "Na obiara nnkaa, eso nyimdzee anaa ntseasee bi nnyi hɔ a ɔdze bɛse dɛ, Masɔ ne fa bi wɔ ogya mu; nyew, medze ne gyabiriw bi ato boodoo; makyew nam na medzi: na aso medze ne nkaa no mebɛyɛ ewurkadze? Aso mobɔkotow duasin?", ""
"ISA.44.20", "Nso na odzi: akoma a wɔadaadaa no no dze no aman nkyɛn, na onntum nngye ne kra, anaa ɔnnka dɛ, Aso nnyɛ ator na ɔwɔ me nsa nyimfa mu yi?", ""
"ISA.44.21", "Ao Jakob, kaa ndzɛmba yinom; na Israel, osiandɛ ɔwo nye m’akowaa: emi na mahyehyɛ wo; ɔwo nye n’akowaa. Ao Israel, mo werɛ nnkefir wo.", ""
"ISA.44.22", "Mapepa wo mbrato, dɛ mununkum kumbɔɔ, na wo ndzebɔn, dɛ nsuwusiw: san bra me nkyɛn; na mapon wo.", ""
"ISA.44.23", "Ɔsorsor, hom ntow ndwom, na EWURADZE na ɔayɛ; asaase ase noho, hom mbɔ ose; mbepɔw, kwaa, na ndua a ɔwɔ mu nyinara, hom mfa ehurusi ndwom: na EWURADZE apon Jakob, na ɔbɛhyɛ noho enyimnyam wɔ Israel mu.", ""
"ISA.44.24", "Mbrɛ EWURADZE, wo pomfo, na nyia ɔhyehyɛɛ wo fii yafun mu no, ɔse nye yi: Emi nye EWURADZE a ɔyɛ ndzɛmba nyinara no; no nko ara twe ɔsorsor mu; na ɔtserɛw asaase mu; woana ka mo ho?", ""
"ISA.44.25", "Nyia ɔma atorfo nsɛnkyerɛdze yɛ gyan, na ɔma ebisatsirfo bobɔ adam; nyia ɔma enyansafo san ekyirekyir, na ɔyɛ hɔn nyimdzee nkwaseasɛm:", "#1 Kor 1.20"
"ISA.44.26", "nyia ɔhyɛ n’akowaa n’asɛm dzen, na ɔma n’abɔfoe hɔn apam ba mu; nyia ɔka wɔ Jerusalɛm ho dɛ, Wɔbɛtsena no mu; na wɔ Juda nkurow no ho dɛ, Wɔbɛkyekyer, na mamema n’ekurofo no do:", ""
"ISA.44.27", "nyia ɔse bun no dɛ, Wew, na mebɛma w’esutsen awewew:", ""
