"ISA.53.1", "Woana na ɔagye hɛn amandzɛɛ edzi? Na woana na woeyi EWURADZE ne basa akyerɛ no?", "#Rom 10.16; Joh 12.38"
"ISA.53.2", "Na onyiin dɛ dua fɔr wɔ n’enyim, na dɛ ndwow a ofi asaase mu: onnyi frɔdɔɔ anaa enyimnyam ɔbɛma yaahwɛ no; onnyi ahoɔfɛw a ɔbɛma no ho ayɛ akɔndɔ.", ""
"ISA.53.3", "Adasa buu no enyimtsia, na wɔpoow no; awerɛhow nyimpa a ɔyaw abra no: na dɛ obi a adasa dze hɔn enyim huntsa no, wobuu no enyimtsia, na yeemmbu no hwee.", ""
"ISA.53.4", "Ampaara ɔasɔw hɛn yaw, na ɔasoa hɛn awerɛhow: naaso yebuu no dɛ nyia wɔahwe no, Nyankopɔn abɔ no, na woehiahia no ho.", "#Mat 8.17"
"ISA.53.5", "Na mbom wopiraa no wɔ hɛn mbrato ntsi, woposoow no wɔ hɛn emumuyɛ ntsi; wɔdze hɛn asomdwee ho ntsea too no do; na ne mbaa ano na wɔdze asa hɛn yarba.", "#1 Pet 2.24"
"ISA.53.6", "Hɛn nyinara yɛatotɔ dɔnsuar dɛ nguan; yɛamanman obiara afa noara no kwan do; na EWURADZE dze hɛn nyinara hɛn emumuyɛ ato no do.", ""
"ISA.53.7", "Wɔhyɛɛ no do, ɔtsee yaw, naaso ɔbrɛɛ noho adze, na oemmbue n’ano; dɛ eguambaa a wɔdze no rokɔ ekumii, na dɛ oguan a ɔatɔ mmum wɔ no nhwitwitwafo enyim; nyew, oemmbue n’ano.", "#Nyi 5.6#Ndwu 8.32, 33"
"ISA.53.8", "Nhyɛdo na atsɛmbu mu na wɔfaa no kɔree; na n’etsipɛmfo dze, hɔn mu woana na ɔdwen dɛ woetwa no efi atseasefo asaase do, na mo nkorɔfo hɔn mbrato ntsi na wɔhwee no?", ""
"ISA.53.9", "Wɔbɔɔ ne nda wɔ emumuyɛfo nkyɛn, na ahonyafo nkyɛn wɔ no wu mu; naaso na oenndzi akatabansɛm biara, eso woennhu ndaadaa bi wɔ n’anomu.", "#1 Pet 2.22"
"ISA.53.10", "Naaso nna ɔyɛ EWURADZE ne pɛ dɛ ɔhyɛ no amen; ɔahyɛ no ɔyaw: ber a ɔdze ne kra bɛyɛ bɔn ho afɔrbɔdze no, obohu n’asefo, ɔbɛma ne nda awar, na EWURADZE ne pɛ bɛyɛ prɔmprɔm wɔ ne nsamu.", ""
"ISA.53.11", "Obohu ne kra n’awokodzi, na ɔamee: ɔnam ne nyimdzee do na m’akowaa tseneneenyi bobu piinara bem: na ɔbɔsoa hɔn emumuyɛ.", ""
"ISA.53.12", "Dɛm ntsi mebɛkyɛ adze ama ɔno ɔnye akɛsefo, na ɔnye ahoɔdzenfo bɛkyɛ asadze; osiandɛ ohuee ne kra maa owu, na wɔkaan no foraa mbratofo: naaso ɔsoaa dodowara hɔn bɔn, na odzii maa mbratofo.", "#Mar 15.28; Luk 22.37"
