"ISA.59.1", "Hwɛ, EWURADZE ne basa nntwaa tsia, dɛ onntum nkwa gye; eso n'asomu nnyɛ dzen, dɛ ɔnntse asɛm:", ""
"ISA.59.2", "na mbom hom emumuyɛ na apaa hom nye hom Nyankopɔn ntamu, na hom bɔn na oehuntsa n'enyi efi hom do, ma onnketsie.", ""
"ISA.59.3", "Na bɔgya egu hom nsa ho fi, na emumuyɛ ehura hom nsatseaba ho; hom anofamfa aka atorsɛm, hom tɛkyerɛma hwinhwin ehuhusɛm.", ""
"ISA.59.4", "Obiara nnsaman tsenenee mu, na obiara nndzi n'asɛm wɔ nokwar mu: wɔdze hɔn werɛ hyɛ egyangyandze mu, na wɔka atorsɛm; wonyinsen ewurkadze, na wɔwo emumuyɛ.", ""
"ISA.59.5", "Wosuow akyerben nkyirefuwa, na wɔwen ananse ntentan: nyia odzi hɔn nkyirefuwa bi no, owu, na dza wɔbobɔ no, ɔpaa ehurutsia.", ""
"ISA.59.6", "Hɔn ntentan no renndan atar, eso wɔremmfa hɔn ndwuma nnkata hɔnho: hɔn ndwuma yɛ emumuyɛ ndwuma, na akakabensɛm wɔ hɔn nsamu.", ""
"ISA.59.7", "Hɔn anan tutu mbirika kɔ mbusu mu, na wɔyɛ ntsɛm kɛka nyia onndzi fɔ no bɔgyaa gu: hɔn adwen yɛ emumuyɛ adwen; amamfoyɛ na ɔsɛɛ wɔ akwan mu.", "#Rom 3.15-17"
"ISA.59.8", "Asomdwee ɔtsempɔn no dze wonnyim; na atsɛmbu biara nnyi hɔn nkɔree mu: wɔabɔ hɔn akwan akyewakyew; obiara a ɔfa mu no onnyim asomdwee.", ""
"ISA.59.9", "Dɛm ntsi na atsɛmbu nye hɛn ntamu atwe, eso ndzeyɛtsenenee nnto hɛn: yɛhwɛ kan kwan, na hwɛ, sum nye yi; ɔhyerɛn so, na mbom yɛnam sunkamm mu.", ""
"ISA.59.10", "Yɛkeka ban ho dɛ ofurafo, nyew, yɛkeka dɛ hɔn a wonnyi enyiwa: yefintsiw ewiaber ketee dɛ wantawanta ber mu; yɛayɛ dɛ ewufo wɔ hɔn a wɔyɛ atwɛntwɛmfo mu.", ""
"ISA.59.11", "Hɛn nyinara yɛpopɔw dɛ nsisi, na yɛka mmɔn pii dɛ mbubur: yɛhwɛ atsɛmbu kwan, naaso bi nnyi hɔ; nkwagye so, na ɔnye hɛn ntamu atwe koraa.", ""
"ISA.59.12", "Na hɛn mbrato adɔɔ so pii wɔ w'enyim, na hɛn bɔn gye dase tsia hɛn: osiandɛ hɛn mbrato wɔ hɛn nkyɛn, na hɛn emumuyɛ dze, yenyim:", ""
"ISA.59.13", "wɔ mbrato na EWURADZE do nkontompɔtwa mu, na ɔsan a yɛasan efi hɛn Nyankopɔn n'ekyirdzi mu, nhyɛdo na etuatsew ne ka, atorsɛm a yɛadwendwen ho na yeefi akoma mu aka.", ""
"ISA.59.14", "Na wɔadan atsɛmbu asan ekyir, na ndzeyɛtsenenee ekegyina ekyirekyir noho: osiandɛ nokwar ahwe ase wɔ abɔntsen do, na tɔɔtsenyɛ nntum nnhɛn mu.", ""
"ISA.59.15", "Nyew, nokwar asa; na nyia otwa noho fi mbusu ho no, ɔyɛ noho afonam: na EWURADZE hunii, na ɔannyɛ no abodwe dɛ atsɛmbu bi nnyi hɔ.", ""
"ISA.59.16", "Na ohun dɛ nyimpa biara nnyi hɔ, na ɔyɛɛ no nwanwa dɛ odzimafo bi nnyi hɔ: dɛm ntsi nankasa ne basa na ɔdze nkwagye brɛɛ no; na ne ndzeyɛtsenenee no, osuoo no mu gyinae.", ""
"ISA.59.17", "Na ɔdze ndzeyɛtsenenee hyɛɛ dɛ akatabo, na nkwagye kyɛw so ne tsir; na ɔhyɛɛ awerdzi ntar dɛ akataho, na ɔhyɛɛ mbɔdzembɔ dɛ atar egugudo.", "#Efe 6.14, 17; 1 Tes 5.8"
"ISA.59.18", "Mbrɛ hɔn ndzeyɛɛ tse no, dɛmara na ɔbɛhyɛ hɔn ananmu, ɔdze ebufuhyew ama n'ahohiahiafo, akatua a ɔsɛ ama n'atamfo; nsuano aman no so ɔdze akatua a ɔfata bɛma hɔn.", ""
"ISA.59.19", "Dɛm no bɛma wofi anee esuro EWURADZE ne dzin, na wofi wipuei esuro n'enyimnyam: na ɔbɛba dɛ esutsen a ɔrepem yaayaa a EWURADZE n'ehum ripia no.", ""
"ISA.59.20", "Na ɔpomfo bɛba Zion, na hɔn a wɔsan fi mbrato ho wɔ Jakob mu no nkyɛn, EWURADZE na ɔse.", "#Rom 11.26"
"ISA.59.21", "Na emi dze, menye hɔn ntamu ahyɛmu no nye yi, EWURADZE na ɔse: mo sunsum a ɔwɔ wo do, na me nsɛm a medze mahyɛ w'ano no rimmfi w'anomu, anaa w'asefo hɔn asefo so anomu, ofitsi ndɛ dze kesi daa, EWURADZE na ɔse.", ""
