"JAS.2.1", "Mo nuanom, mma hom mmfa nyimpa mu nyiyimu nnsuo hɛn Ewuradze Jesus Kraest, enyimnyam Wura no, ne gyedzi no mu,", ""
"JAS.2.2", "Na sɛ nyimpa a ɔhyɛ sika mpɛtsea nye atar fɛɛfɛw ba hom nhyiamudan mu, na sɛ hianyi a ɔhyɛ atar tantan bi so ba hɔ,", ""
"JAS.2.3", "na sɛ hom nya enyidzi ma nyia ɔhyɛ atar fɛɛfɛw no, na hom se no dɛ, Tsena tsenabea pa ha, na hom se hianyi no dɛ, Gyina noho, anaa, Tsena m'ananadzegua ho ha a,", ""
"JAS.2.4", "ana nnyɛ nyiyimu na hom ayɛ wɔ hom mu, na hom ayɛ adwen bɔn tsɛmbuafo?", ""
"JAS.2.5", "Mo nuanom adɔfo, hom ntsie: Ana Nyankopɔn mmfaa wiadze ehiafo dɛ wɔnyɛ gyedzi mu ahonyafo nye adzedzifo wɔ ahenman a ɔdze bɔɔ hɔn a wɔdɔ no no anohoba no?", ""
"JAS.2.6", "Naaso hom ebu ohianyi enyimtsia. Ana nnyɛ ahonyafo na wɔhyɛ hom do, na hɔnankasa wɔtwe hom kɔ asɛndzii no?", ""
"JAS.2.7", "Ana nnyɛ hɔn na wɔka dzin pa a wɔdze frɛ hom no ho asɛmbɔn?", ""
"JAS.2.8", "Naaso sɛ hom hyɛ mbra kunyin no ma, dɛ mbrɛ kyerɛw no ka dɛ, Dɔ wo nyɛnko dɛ woara wo ho no a, ɔnodze, hom yɛ dza oye;", "#Lev 19.18"
"JAS.2.9", "na sɛ hom yɛ nyimpa mu nyiyimu a, hom yɛ bɔn, na mbra no yi hom atsɛn dɛ mbratofo.", ""
"JAS.2.10", "Na obiara a obedzi mbra no do na ɔato kor mpo no, odzi ne nyina ho fɔ.", ""
"JAS.2.11", "Na nyia ɔsee dɛ, Mma nnto awar no, ɔnoara so na ɔkaa dɛ, Mma nndzi ewu. Na sɛ annto awar na idzi ewu a, ayɛ mbra no tofo.", "#Eks 20.14; Deut 5.18; Eks 20.13; Deut 5.17"
"JAS.2.12", "Dɛm ntsi, hom nkasa, na hom nyɛ hom adze dɛ nyimpa a wɔnam adehyedzi mbra no do rubobu hom atsɛn.", ""
"JAS.2.13", "Na mbɔbɔrhu nnyi atsɛmbu mma nyia oennhu mbɔbɔr no: na ehumbɔbɔr soɛr dzi atsɛmbu do.", ""
"JAS.2.14", "Mo nuanom, sɛ obi ka dɛ ɔwɔ gyedzi na onnyi ndwuma a, ebɛn mfaso na ɔyɛ? Aso dɛm gyedzi no bɛgye no nkwa?", ""
"JAS.2.15", "Sɛ onua anaa akyerɛbaa dzi adagyaw, na anomu edzidzi abɔ hɔn,", ""
"JAS.2.16", "na sɛ hom mu bi se hɔn dɛ, Hom mfa asomdwee nkɔ, hom ho nyɛ hom hyew, na hom mmee, na sɛ hom amma hɔn dza ohia nyimpadua no a, ebɛn mfaso na ɔyɛ?", ""
"JAS.2.17", "Dɛmara na sɛ gyedzi so nnyi ndwuma a, nna oewu wɔ nankasa no mu.", ""
"JAS.2.18", "Nyew, obi bɛse dɛ, Ɔwo ewɔ gyedzi, na mo so mowɔ ndwuma: kyerɛ me wo gyedzi a ndwuma nnyi ho, na mo so menam mo ndwuma do bɛkyerɛ wo me gyedzi.", ""
"JAS.2.19", "Egye dzi dɛ Nyankopɔn yɛ kortsee: noara nye no: mbɔnsam so mpo gye dzi na hɔn ho popo.", ""
"JAS.2.20", "Ɔwo, nyimpa a nnyi nyimdzee, epɛ dɛ wɔkyerɛ wo dɛ gyedzi a ndwuma nnka ho no nnsow aba?", ""
"JAS.2.21", "Ana nnyɛ ndwuma mu na wɔnam buu hɛn egya Abraham bem, dɛ ɔdze ne ba Isaak bɔɔ afɔr wɔ afɔrpata no do?", "#Gye 22.1-14"
"JAS.2.22", "Ihu dɛ ne gyedzi nye no ndwuma yɛɛ edwuma, na ɔnam ndwuma no do na ne gyedzi dzii mu;", ""
"JAS.2.23", "na kyerɛwsɛm no a ɔka dɛ, Abraham gyee Nyankopɔn dzii, na wobuu no tsenenee maa no, na wɔfrɛɛ no Nyankopɔn ne nyɛnko hyɛɛ ma.", "#Gye 15.6; 2 Mbe 20.7; Isa 41.8"
"JAS.2.24", "Na hom hu dɛ ɔnam ndwuma do na wobu nyimpa bem, na nnyɛ gyedzi nko do.", ""
"JAS.2.25", "Ana nnyɛ dɛmara so na wɔnam ndwuma do buu edwaman Rahab bem, wɔ dɛ ɔgyee abɔfo no, na ɔmaa wɔfaa kwan fofor do kɔree no?", "#Jas 2.1-21"
"JAS.2.26", "Na dɛ mbrɛ nyimpadua nnyi sunsum a, nna oewu no, dɛmara na gyedzi so nnyi ndwuma a, nna oewu.", ""
