"JAS.4.1", "Hen na akasakasa nye ɔko fi ba hom mu? Ana ommfi hom akɔndɔ a odzi hom honam mu aperper no?", ""
"JAS.4.2", "Hom hwehwɛ ndzɛmba bi naaso hom nnya; ntsi hom dzi ewu na hom enyi ber, naaso hom nsa nnka; hom ko na hom ham, naaso hom nnya, osiandɛ hom mmbisa.", ""
"JAS.4.3", "Hom bisa naaso hom nsa nnka, osiandɛ hom bisa no bɔn, ama hom aahwer no hom akɔndɔdze ho.", ""
"JAS.4.4", "Awartofo, ana hom nnyim dɛ wiadze anyɛnkoyɛ yɛ tan a wɔdze tan Nyankopɔn? Dɛm ntsi obiara a ɔpɛ dɛ ɔnye wiadze yɛ nyɛnko no, yɛ Nyankopɔn ne tamfo.", ""
"JAS.4.5", "Ana hom dwen dɛ kyerɛw no kasa kwa? Ana sunsum a ɔmaa ɔbɛtsenaa hɛn mu no, no kɔn dɔ nyitan?", ""
"JAS.4.6", "Na ɔma adom pii mbom. Dɛm ntsi kyerɛwsɛm no se, Nyame siw ahopɔwfo kwan na ɔma ahobrɛadzefo adom.", ""
"JAS.4.7", "Dɛm ntsi hom mfa homho nhyɛ Nyankopɔn ase; hom mbɔ mbɔdzen nsiw abɔnsam kwan, na oboguan efi hom nkyɛn.", ""
"JAS.4.8", "Hom ntwe mpin Nyankopɔn na ɔbɔtwe epin hom. Hom nhohor hom nsa, hom ndzebɔnyɛfo; hom ntsew hom akoma mu, hom a hom adwen ebien ebien.", ""
"JAS.4.9", "Hom nka mmɔn, na hom werɛ nhow, na hom nsu: hom mma hom serew ndan awerɛhow, na hom ahosɛpɛw ndan ahonambubu.", ""
"JAS.4.10", "Hom mbrɛ homho adze wɔ Ewuradze enyim na ɔbɛma hom do.", ""
"JAS.4.11", "Enuanom, mma hom nnkeka hom ho nsɛmbɔn. Nyia ɔka no nua ho nsɛmbɔn, anaa obu no nua atsɛn no, ɔkasa tsia mbra no, na obu mbra no atsɛn; na sɛ ibu mbra no atsɛn a, nna ennyɛ mbra no yɛfo, na eyɛ ne tsɛmbuafo.", ""
"JAS.4.12", "Mbrahyɛfo nye tsɛmbuafo kortsee na ɔwɔ hɔ, ɔno nye nyia otum dɛ ɔgye nkwa na ɔsɛɛ no. Na ɔwo woana nye wo na ibu wo nyɛnko atsɛn?", ""
"JAS.4.13", "Na afei hom ɛ, hom a hom ka dɛ, Ndɛ anaa ɔkyena yɛbɔkɔ kurow yi mu ekedzi afrenhyia, na yeedzi gua enya mfaso:", "#Mbɛ 27.1"
"JAS.4.14", "naaso hom nnyim dza ɔkyena obesi. Hom nkwa nye bɛn? Hom tse dɛ ehubɔhubɔw a oyi noho kakra na nkyii ɔhera.", ""
"JAS.4.15", "Na mbom hom nnka dɛ, Sɛ Ewuradze pɛ, na yɛtse ase a, yɛbɛyɛ iyi anaa yɛbɛyɛ dɛm.", ""
"JAS.4.16", "Na afei dze, hom tuw homho wɔ hom ahopɔw mu; na dɛm ntuw yi nyina yɛ bɔn.", ""
"JAS.4.17", "Na nyia onyim papa yɛ na ɔnnyɛ no, ɔyɛ bɔn ma no.", ""
