"JAS.5.1", "Na afei hom ahonyafo e, hom nsu na hom nka mmɔn, wɔ hom amandzehu a ɔreba hom do ntsi.", ""
"JAS.5.2", "Hom ahonya aprɔw na hom ntar mbowa awe.", "#Mat 6.19"
"JAS.5.3", "Hom sika nye hom dwetɛ adɔ nkandar; na hɔn nkandar no bedzi hom dase, na woedzi hom nam dɛ ogya. Hom aboaboa ahonya ano wɔ nda a odzi ekyir yi mu.", ""
"JAS.5.4", "Hom nhwɛ, edwumayɛfo a wɔboaboa hom ekuadze ano ma hom no, hɔn akatua a hom dze nsisi fae siei no rekeka mu, na apaafo a wobuu ndɔbaa no hɔn nkekamu akɔ sor dɔm Ewuradze asomu.", ""
"JAS.5.5", "Hom atsena asaase do ahomka mu, na hom enya enyigye hun; hom anyɛn hom akoma wɔ okum da mu;", ""
"JAS.5.6", "hom ebu ɔtseneneenyi fɔ eku no; onnsiw hom kwan.", ""
"JAS.5.7", "Dɛm ntsi, enuanom, hom nyɛ penkyɛr nkodu Ewuradze ne mbae. Hwɛ, okuafo a ɔrotweɔn asaase n’aba a ɔsom bo no, onya ho abotar araa kodu dɛ ne nsa bɛka esusow nye ɔbɛsɛ.", ""
"JAS.5.8", "Dɛmara na hom so nyɛ penkyɛr; hom nhyɛ hom akoma dzen, osiandɛ Ewuradze ne mbae no abɛn.", ""
"JAS.5.9", "Enuanom, mma hom nnyɛ huhuhuhu nntsiatsia homho, ama woeemmbu hom atsɛn: hwɛ, ɔtsɛmbuafo no gyina abow no ekyir.", ""
"JAS.5.10", "Enuanom, hom mfa nkɔnhyɛfo a wɔkasae wɔ Ewuradze dzin mu no nyɛ amandzehu nye penkyɛr ho fasusu.", ""
"JAS.5.11", "Hwɛ, yɛfrɛ hɔn a wotsintsimii na wɔsɔwee no esiarfo: hom atse Job n’abotar no, na hom ehu Ewuradze ne nhyehyɛɛ, mbrɛ Ewuradze dua yɛ tsimbɔbɔr nye ehumbɔbɔr.", "#Job 1.21, 22; 2.10; Dwom 103.8"
"JAS.5.12", "Na mo nuanom, dza ɔkyɛn adze nyina nye dɛ, mma hom nnka ntam, mma hom nnka ɔsor anaa asaase anaa ntam biara: na mbom hom mma hom nyew nyɛ nyew na hom oho nyɛ oho, amma hom aannkɔtɔ atsɛmbu mu.", "#Mat 5.34-37"
"JAS.5.13", "Ana hom mu bi ruhu amandze? Wɔmma ɔnsɔr. Ana obi n’akoma atɔ ne yamu? Wɔmma ɔntow ayɛyindwom.", ""
"JAS.5.14", "Ana hom mu bi yar? Wɔmma ɔmfrɛ asɔr mpanyimfo, na wɔmbɔ mpaa mma no, na wɔnsera no ngo wɔ Ewuradze dzin mu:", "#Mar 6.13"
"JAS.5.15", "na gyedzi mpaabɔ no bɛgye nyia ɔyar no nkwa, na Ewuradze bɛma no do; na sɛ ɔayɛ bɔn bi a, wɔdze bɛkyɛ no.", ""
"JAS.5.16", "Dɛm ntsi hom nkeka hom bɔn nkyerɛkyerɛ homho, na hom mbɔ mpaa mma homho, ama wɔaasa hom yarba. Nyimpa tsenenee no nkotoserɛ a no mu yɛ dzen dzi nyim pii wɔ n’adzeyɛ mu.", ""
"JAS.5.17", "Elija yɛ nyimpa a ɔwɔ hɛn su kor yi ara bi, naaso ɔbɔɔ mpaa dɛ mma nsu nntɔ no, nsu anntɔ asaase do mfe ebiasa abosoom esia.", "#1 Ahe 17.1; 18.1"
"JAS.5.18", "Na ɔbɔɔ bio, na ɔsor tɔr nsu na asaase soow n’aba.", "#1 Ahe 18.42-45"
"JAS.5.19", "Mo nuanom, sɛ hom mu bi fom fi nokwar no ho, na obi dan no a,", ""
"JAS.5.20", "hom mma onhu dɛ nyia ɔdan dzebɔnyɛnyi fi no mfom kwan do no, ɔbɛgye ɔkra efi owu mu, na ɔakata bɔn pii do.", "#Mbɛ 10.12; 1 Pet 4.8"
