"JDG.4.1", "Na aber a Ehud wui no, Israelmba no yɛɛ dza omuo bio wɔ EWURADZE enyi do.", ""
"JDG.4.2", "Na EWURADZE tɔɔn hɔn hyɛɛ Keenanhen Jabin a odzii hen wɔ Hazor no nsa; nna no dɔm mu safohen panyin nye Sisera a ɔtse Amanamamfo Haroset no.", ""
"JDG.4.3", "Nna Jabin wɔ dadze ntseaseanam ahaakron; na ohiahiaa Israelmba no ho dzendzenndzen mfe eduonu na Israelmba no sui frɛɛ EWURADZE.", ""
"JDG.4.4", "Aber no mu no, Debora, ɔbaa nkɔnhyɛnyi bi a ɔyɛ Lapidot ne yer no, ɔno na odzii Israel enyim.", ""
"JDG.4.5", "Na ɔtse Debora akyeresua a ɔwɔ Rama na Bɛtɛl ntamu wɔ Efraim nkokodo nkurow no mu no ase: na Israelmba no fowee kɔr no hɔ ma obuu hɔn atsɛn.", ""
"JDG.4.6", "Na ɔsomae na wokehyiaa Abinoam ne babanyin Barak ma ofi Kedes-naftali bae, na ɔsee no dɛ, Ana nnyɛ EWURADZE, Israel Nyankopɔn no, na ɔahyɛ, dɛ, Kɔ na kɔtwe kɔ bepɔw Tabor do, na fa Naftalimba na Zebulunmba mu mbarimba mpem du ka wo ho?", ""
"JDG.4.7", "Na mobɔtwe Jabin no dɔm mu safohen panyin Sisera, nye ne ntseaseanam na ne nyimpadodow no, maba wo nkyɛn wɔ esutsen Kison ho; na medze no ahyɛ wo nsa.", ""
"JDG.4.8", "Na Barak see no dɛ, Sɛ ɔwoara nye me bɔkɔ a, ɔnodze mobɔkɔ: na sɛ ɔwoara rennye me nnkɔ dze a, monnkɔkɔ.", ""
"JDG.4.9", "Na ɔsee dɛ, Kɔ dze menye wo bɔkɔ: naaso akwantu a irutu yi ɔnnkɛyɛ woara w’enyimnyam; osiandɛ EWURADZE bɔtɔn Sisera ahyɛ ɔbaa bi nsa. Na Debora soɛree, na ɔnye Barak kɔr Kedes.", ""
"JDG.4.10", "Na Barak poon Zebulun na Naftali nyina hyiae wɔ Kedes; na mbarimba mpem du tsiaa anamɔn mu fowee kɔree: na Debora nye no fowee kɔree.", ""
"JDG.4.11", "Nna afei Kennyi Heber atwe noho efi Kenfo a wɔyɛ Moses n’asew Hobab mba no ho, na ɔabɔ n’asesee ekodu osudur a ɔwɔ Zaanannim a ɔwɔ Kedes ho no ho.", ""
"JDG.4.12", "Na wɔkaa kyerɛɛ Sisera dɛ, Abinoam ne babanyin Barak afow kɔ bepɔw Tabor do.", ""
"JDG.4.13", "Na Sisera boaboaa ne ntseaseanam nyinara ano, mekyerɛ dadze ntseaseanam ahaakron no, na nkorɔfo a wɔwɔ ne nkyɛn nyinara, fi Haroset Hagoyim, baa esutsen Kison ho.", ""
"JDG.4.14", "Na Debora see Barak dɛ, Soɛr: na ndɛ nye da a EWURADZE dze Sisera ahyɛ wo nsa: ana EWURADZE nntui nndzii w’enyim kan? Nna Barak fi bepɔw Tabor do sianee, na mbarimba mpem du no dzi n’ekyir.", ""
"JDG.4.15", "Na EWURADZE dze afona yɛɛ Sisera, na ne ntseaseanam na no dɔm nyinara pasapasa wɔ Barak enyim; na Sisera fii ne tseaseanam mu dwirii, na oguanee wɔ n’anamɔn mu.", ""
"JDG.4.16", "Na Barak tsiiw ntseaseanam no, na dɔm no kodur Haroset Hagoyim: na Sisera no dɔm nyinara totɔr wɔ afona anomu a annka nyimpa kor mpo.", ""
"JDG.4.17", "Nna Sisera guanee wɔ n’anamɔn mu kɔr Kennyi Heber ne yer Jael n’asesee mu: osiandɛ asomdwee wɔ Hazorhen Jabin na Kennyi Heber fi ntamu.", ""
"JDG.4.18", "Na Jael puei kehyiaa Sisera, na ɔsee no dɛ, Man, mo wura, man me nkyɛn; mma nnsuro. Na ɔmaan ne nkyɛn kɔr asese no mu, na ɔdze kuntu bi kataa no do.", ""
"JDG.4.19", "Na Sisera see no dɛ, Meserɛ wo, ma me nsu kakra ma monnom; na nsukɔm dze me. Na obuee numfonsu toa ano, na ɔmaa ɔnomee, na ɔkataa no do.", ""
"JDG.4.20", "Na Sisera see no dɛ, Gyina asese no n’abowano, na sɛ nyimpa bi ba na obisa wo dɛ, Ana nyimpa bi wɔ ha a, ɔno ase dɛ, Oho.", ""
"JDG.4.21", "Nna Heber ne yer Jael faa asese ho bɔfodua, na ɔfaa dua hamɛr kitsaa ne nsamu, na otsiaa dɔn dɔn kɔr ne nkyɛn, na ɔdze bɔfodua no kɔbɔɔ n’asonkyɛnmu, ma ohwiraa mu kitsaa famu; osiandɛ ɔada heii; na ɔtɔɔ baha na owui.", ""
"JDG.4.22", "Na ber a Barak ritsiw Sisera no, Jael fiir edzi kehyiaa no, na ɔsee no dɛ, Bra, na menkyerɛ wo banyin no a erohwehwɛ no no. Na ɔbaa ne nkyɛn; na, hwɛ, Sisera ewu da hɔ, na asese ho bɔfodua no bɔ n’asonkyɛnmu.", ""
"JDG.4.23", "Na Nyankopɔn brɛɛ Keenanhen Jabin adze da no ara wɔ Israelmba enyim.", ""
"JDG.4.24", "Na Israelmba no nsa daa Keenanhen Jabin do araa dze kodur dɛ wɔsɛɛ Keenanhen Jabin.", ""
