"JDG.5.1", "Na Debora na Abinoam ne babanyin Barak toow ndwom da no ara, dɛ,", ""
"JDG.5.2", "Israel mu mpanyimfo dzii kan ntsi, Ɔman no praa hɔn yamu bae ntsi, Hom nhyira EWURADZE.", ""
"JDG.5.3", "Ahemfo, hom ntsie ɛ; ebirɛmpɔn hom nyɛ aso ɛ; Emi, dze, mobɔtow EWURADZE ndwom; Mobɔtow EWURADZE, Israel Nyankopɔn ayɛyindwom.", ""
"JDG.5.4", "EWURADZE, aber a ifi Seir reba no, Aber a enam fi Edom haban mu ɔkwan do no, Asaase wosowee, ɔsor so sosɔe, Nyew, mununkum sosɔɔ nsu.", ""
"JDG.5.5", "Mbepɔw popoe wɔ EWURADZE enyim, Mekyerɛ Sinai no wɔ EWURADZE, Israel Nyankopɔn no enyim.", ""
"JDG.5.6", "Anat ne babanyin Samgar nda mu, Jael nda mu, na atsempɔn wɔnntsetse do, Na akwantsemfo nantsew akwamfo do.", ""
"JDG.5.7", "Ahwɛfo sae wɔ Israel, nyew, wɔsae, Kodur dɛ emi Debora mosoɛree, Mosoɛɛr dɛ ena wɔ Israel.", ""
"JDG.5.8", "Wɔsaan mu yiyii enyame fofor; Nna dɔm baa kuropon ekyir: Ana wohun akokyɛm anaa nkambaa Wɔ Israel mpeduanan no mu a?", ""
"JDG.5.9", "M’akoma da Israel ambradofo ho. Ɔman no mu hɔn a wɔpraa hɔn yamu bae no a: Hom nhyira EWURADZE.", ""
"JDG.5.10", "Hom a hom tsetse nsoasopɔnkɔ efufuw do, Hom a hom tsetse nkuntu pa do, Na hom a hom nenam ɔkwan do, hom nka.", ""
"JDG.5.11", "Ekyirekyir mbrɛ egyentofo dede wɔ, wɔ asaae no, Hɔ ara na wɔnka EWURADZE ne tsenenee esiado, No nhwɛdo tsenenee ndwuma wɔ Israel mu no a. Nna EWURADZE ne man sianee kɔr nkuropon mu.", ""
"JDG.5.12", "Nyan, nyan, Debora; Nyan, nyan, tow ndwom: Soɛr, Barak, na fa wo ndɔmmumfafo ndɔmmum, ɔwo Abinoam babanyin.", ""
"JDG.5.13", "Nna etumfo nkaa no na ɔman no sianee; EWURADZE sianee ketsiaa akatakyi maa me.", ""
"JDG.5.14", "Efraim mu na hɔn a hɔn ndwow wɔ Amalek mu fii sianee; W’ekyir, na Benjamin bae, wɔ wo nkorɔfo mu; Makir mu na ambradofo fi sianee, Na Zebulun mu na hɔn a wokitsa kyerɛwfo n’abaa.", ""
"JDG.5.15", "Na Isakar asafohemfo ka Debora ho; Dɛ mbrɛ Isakar tse, dɛmara so na Barak tse; Wɔbɔɔ kyirididi wɔ n’anan ho koguu ɔbɔn no mu. Reuben nsuka no ho Hɔ na akoma mu pɔwbɔ akɛse wɔ.", ""
"JDG.5.16", "Ebɛnadze ntsi na etsenaa nguamban ntamu, Ritsie nguankuw no mu mbɛnhɛn? Reuben nsuka no do Hɔ na akoma mu nhwehwɛɛ akɛse wɔ.", ""
"JDG.5.17", "Gilead tsenaa Jordan egya. Na Dan dze, ebɛnadze ntsi na ɔkaa ahɛn mu? Aser tsenaa epo ahɛngyinaa komm, Na no dɔndɔn no ho na ɔtsenae.", ""
"JDG.5.18", "Zebulun yɛ ɔman a wɔdze hɔn nkwa sɔɔ owu hwɛe, Na Naftali so wɔ haban mu mbeambea sorɔnsorɔm.", ""
"JDG.5.19", "Ahemfo bae bedzii ako; Nna Keenan ahemfo bɔkoe, Wɔ Taanak, Megiddo nsuwansuwa ho: Wɔammfa sika mfaso biara.", ""
"JDG.5.20", "Wofi ɔsor bedzii ako, Nworaba fifii hɔn akwan do nye Sisera koe.", ""
"JDG.5.21", "Esutsen Kison praa hɔn kɔree, Tsetse esutsen no, esutsen Kison, Ao me kra, tsiatsia pirim pirim kɔ ɛ.", ""
"JDG.5.22", "Nna mpɔnkɔnamɔn pempeem famu Wɔ mbirikatu ntsi, hɔn ahoɔdzenfo mbirikatu no a.", ""
"JDG.5.23", "Hom ndom Meroz, EWURADZE no bɔfoe no na ɔse, Hom ndom no mu atsefo no yerɛyerɛyerɛw; Osiandɛ woemmbedzi ammboa EWURADZE, Wɔammbɔboa EWURADZE enntsia akatakyi no.", ""
"JDG.5.24", "Nhyira nka Jael nsen mbaa nyina, Kennyi Heber ne yer no a, Nhyira nka no nsen mbaa a wɔwɔ asese mu nyina.", ""
"JDG.5.25", "Ɔserɛɛ nsu, na ɔmaa no numfonsu; Ɔdze numfonsu enyi seradze wɔ ahensɛn mu brɛɛ no.", ""
