"JDG.16.1", "Nna Samson sii mu kɔr Gaza, na okohun ɔbaa huhunyi bi wɔ hɔ, na ɔkɔr ne nkyɛn.", ""
"JDG.16.2", "Na wɔkaa kyerɛɛ Gazafo no dɛ, Samson aba ha. Na wotwaa no ho hyiae, na wɔtsɛɛw no anadwe no nyinara wɔ kurow no mu kuropon ano, na wɔyɛɛ dzinn anadwe no nyinara, dɛ, Wɔmma ɔnko hɔ na anapa enyim tsetsew a, ɔno yeeku no.", ""
"JDG.16.3", "Na Samson dae ma okodur esuom, na osuoo kurow no no kuropon mbobow no, na apondua ebien no mu, na otutui, adaban na dza ɔka ho nyinara, na ɔdze guu no kɔn ho, na ɔsoae dze kɔr bepɔw a ɔwɔ Hebron enyim no etsifi.", ""
"JDG.16.4", "Na ɔbaa dɛ n’ekyir no, ɔdɔɔ ɔbaa bi wɔ Sorek ɔbɔn mu a ne dzin dze Delila.", ""
"JDG.16.5", "Na Filistiafo ekunyin no fowee baa ne nkyɛn bɛsee no dɛ, Daadaa no, na hwɛ adze kor a n’ahoɔdzen kɛse no wɔ mu, na ɔkwan kor a yɛnam mu bɛhyɛ no do, ma yaakyekyer no ahyɛ no amen: na ankor ankor nyinara yɛbɛma wo ndwetɛbona ɔhadubiako.", ""
"JDG.16.6", "Na Delila see Samson dɛ, Meserɛ wo, ka adze kor a w’ahoɔdzen kɛse no wɔ mu, na adze kor a wɔdze bɛkyekyer wo ahyɛ wo amen kyerɛ me.", ""
"JDG.16.7", "Na Samson see no dɛ, Sɛ wɔdze mpaahoma momon esuon a ɔnnwoe kyekyer me a, ɔnodze mubogura, na mayɛ dɛ nyimpa biara so.", ""
"JDG.16.8", "Nna Filistiafo ekunyin no dze mpaahoma momon a ɔnnwowee esuon brɛɛ ɔbaa no, na ɔdze kyekyeer no.", ""
"JDG.16.9", "Afei nna ɔwɔ atsɛweefo hyɛ adankyir. Na ɔsee no dɛ, Samson, Filistiafo reba wo do oo. Na ɔtsetseew mpaahoma no, dɛ mbrɛ asaabahoma sɛ ɔka gya a ɔtsetsew no. Dɛm ntsi woennhu n’ahoɔdzen no.", ""
"JDG.16.10", "Na Delila see Samson dɛ, Hwɛ, esi me atwetwe, na aka akɔhwisɛm akyerɛ me: afei meserɛ wo, ka dza wɔdze kyekyer wo a ɔbɛyɛ yie kyerɛ me.", ""
"JDG.16.11", "Na ɔsee no dɛ, Sɛ wɔdze ntampehoma fofor ara a wɔmmfaa nnyɛɛ edwuma pɛn kyekyer me a, ɔno na mubogura, na mayɛ dɛ nyimpa biara so.", ""
