"JDG.17.1", "Nna banyin bi wɔ hɔ a ofi Efraim nkokodo nkurow mu a ne dzin dze Mika.", ""
"JDG.17.2", "Na ɔsee ne na dɛ, Dwetɛbona ɔhadubiako no a wɔfaa no wɔ wo nkyɛn no a epaae wɔ ho, na ekasaa ho so wɔ m’asomu no, hwɛ, dwetɛ no wɔ mo hɔ; mara na mefae. Na ne na see dɛ, EWURADZE mma nhyira nka me ba.", ""
"JDG.17.3", "Na ɔdaan ndwetɛbona ɔhadubiako no dze maa ne na, na ne na see dɛ, Otu na metu dwetɛ no efi me nsa mu esi nkyɛn ama EWURADZE dɛ wɔmfa mma me ba, ma ɔmfa nyɛ ohonyi a oesian na ohonyi a woegu: dɛm ntsi afei mebɛdan ama wo.", ""
"JDG.17.4", "Na aber a ɔdaan sika no dze maa ne na no, ne na faa dwetɛbona ahaenu, na ɔdze maa ogufo na ɔdze yɛɛ osian honyi na ogu honyi: wɔ Mika fie.", ""
"JDG.17.5", "Nna Mika no wɔ n’abosomfi, na ɔyɛɛ asɔfontar  (efod),   na ebusuahonyi  (terafim),   na ɔtseew ne mbabanyin no mu baako ho a ɔbɛyɛɛ no sɔfoe.", ""
"JDG.17.6", "Nda no mu no nna ɔhen bi nnyi Israel ntsi nyimpa biara yɛɛ dza ɔtsen wɔ nankasa n’enyi do.", ""
"JDG.17.7", "Na aberantsɛ bi wɔ hɔ a ofi Bɛtlɛhɛm-juda, wɔ Juda ebusua mu a ɔyɛ Levinyi, na ɔkɛyɛɛ hɔho wɔ hɔ.", ""
"JDG.17.8", "Na banyin no sii mu fii kurow no mu, ofii Bɛtlɛhɛm-juda, dɛ ɔrokɔ beebi mbrɛ obenya tsenabew: na otuu kwan bodur Mika fie wɔ Efraim nkokodo nkurow no mu.", ""
"JDG.17.9", "Na Mika bisaa no dɛ, Ifi hen nam? Na ɔsee no dɛ, Meyɛ Levinyi a mifi Bɛtlɛhɛm-juda, na morokɔ makɛtsena beebi mbrɛ mibenya tsenabew.", ""
"JDG.17.10", "Na Mika see no dɛ, Nye me ntsena, na yɛ egya na ɔsɔfo ma me, na mebɛma wo dwetɛbona du afrenhyia, na atar hyɛpɛn kor, na w’edziban. Nna Levinyi no kɔr fie.", ""
"JDG.17.11", "Na Levinyi no peen dɛ ɔnye Mika bɛtsena; na aberantsɛ no yɛɛ no dɛ ne mbabanyin mu baako.", ""
"JDG.17.12", "Na Mika tseew Levinyi no ho, na aberantsɛ no bɛyɛɛ no sɔfoe, na ɔtsenaa Mika fie.", ""
"JDG.17.13", "Nna Mika see dɛ, Afei na mehu dɛ EWURADZE bɛyɛ me yie, dɛ menya Levinyi ma odzi me sɔfo yi.", ""
