"JER.1.1", "Hilkia ne ba Jeremia a ofi asɔfo a wɔwɔ Anathot wɔ Benjamin asaase do no mu no ne nsɛm nye yi.", ""
"JER.1.2", "Ɔno na EWURADZE n’asɛm baa no hɔ wɔ Amon ne ba Josia a nna ɔyɛ Judahen no, ne nda no mu, wɔ n’ahendzi afe a otsia duebiasa no mu.", "#2 Ahe 22.3—23.27; 2 Mbe 34.8—35.19"
"JER.1.3", "Na ɔbae so wɔ Josia ne ba Jehoiakim, Judahen no, ne nda mu, dze kesii Josia ne ba Zedekia, Judahen no, n’afe a otsia duebien no n’ewiei; dze kodur ɔsoakɔr a wɔsoaa Jerusalɛm kɔr ndɔmmum wɔ bosoom a otsia enum no mu.", "#2 Ahe 23.36—24.7; 2 Mbe 36.5-8; 2 Ahe 24.18—25.21; 2 Mbe 36.11-21"
"JER.1.4", "Afei EWURADZE n’asɛm baa mo hɔ, dɛ,", ""
"JER.1.5", "Ansaana moween wo yafun mu no, nna minyim wo, na ansaana irifi awotoa mu efir no, nna metseew wo ho; mehyɛɛ wo nkɔnhyɛnyi maa amanaman.", ""
"JER.1.6", "Nna mesee dɛ, Ao EWURADZE Nyankopɔn! Hwɛ, minnyim kasa: osiandɛ meyɛ abofra.", ""
"JER.1.7", "Naaso EWURADZE see me dɛ, Mma nnse dɛ, Meyɛ abofra: na obiara a mobɔsoma wo no hɔ no, ebɔkɔ, na biribiara a mebɛhyɛ wo no, ebɛka.", ""
"JER.1.8", "Mma onnsian hɔn ntsi mma innsuro: na mowɔ wo nkyɛn dɛ mibeyi wo, EWURADZE na ɔse.", ""
"JER.1.9", "Nna EWURADZE tseen ne nsa dze kaa m’ano; na EWURADZE see me dɛ, Hwɛ, medze me nsɛm ahyɛ w’ano:", ""
"JER.1.10", "hwɛ, ndɛ da yi medze wo esi amanaman do na ahendzi do, dɛ tutu na bubu gu famu, sɛɛ na butuw; si, na tsɛw.", ""
"JER.1.11", "EWURADZE n’asɛm baa me nkyɛn dɛ, Jeremia, ihu ebɛnadze? Na mubuaa dɛ, Muhu almɔnd dua bi n’abaw.", ""
"JER.1.12", "Nna EWURADZE see me dɛ, Ehu no yie: na moroweɔn m’asɛm na mayɛ.", ""
"JER.1.13", "Na EWURADZE n’asɛm baa mo hɔ otsia mpɛn ebien, dɛ, Ihu ebɛnadze? Na mesee dɛ, Muhu dadzesɛn a oruhur na n’enyim fi kwaamu afamu.", ""
"JER.1.14", "Nna EWURADZE see me dɛ, Kwaamu afamu na mbusu befir etue aba asaase no do atsefo nyinara do.", ""
"JER.1.15", "Na, hwɛ, mebɛfrɛ kwaamu ahendzi ebusua ebusua nyinara, EWURADZE na ɔse; na wɔbɛba na hɔn mu biara dze n’ahengua ebesi Jerusalɛm aponkɛse ano, ɔnye n’afasu nyinara ho ehyia, na Juda nkurow nyina.", ""
"JER.1.16", "Na mubobua m’atsɛn etsia hɔn wɔ hɔn emumuyɛ nyina ntsi; wɔ dɛ wɔapow emi, na wɔahyew nduhuam ama abosom afofor bi, na wɔasɔr hɔnankasa hɔn nsaano edwuma.", ""
"JER.1.17", "Dɛm ntsi ɔwo dze bɔ w’asen do, na soɛr na ka dza mahyɛ wo nyinara kyerɛ hɔn: mma wo bo nntu wɔ hɔn enyim, mma maamma wo bo enntu wɔ hɔn enyim.", ""
"JER.1.18", "Na, hwɛ, ndɛ da yi mayɛ wo akoban kurow na dadze fadum, na boran afasu etsia asaase no nyina, Juda ahemfo, hɔn mbapɔmba, hɔn asɔfoe, na asaase no do nkorɔfo.", ""
"JER.1.19", "Na wɔnye wo bedzi ako; naaso wonnkotum wo: osiandɛ menye wo nam, EWURADZE na ɔse, dɛ mebɛgye wo.", ""
