"JER.2.1", "Na EWURADZE n’asɛm baa mo hɔ, dɛ,", ""
"JER.2.2", "Kɔ, kɛpaa mu wɔ Jerusalɛm asomu dɛ, Mbrɛ EWURADZE se nye yi, Mekaa wo mbofrabermu adɔyɛ nye w’ayeforber mu dɔ no ma wo; mbrɛ idzii m’ekyir wɔ sar no do, asaase a nna wonnduaa do adze no.", ""
"JER.2.3", "Israel yɛɛ adze krɔnkrɔn maa EWURADZE, no ndɔbaa mu nduadzewakan no: hɔn a wɔmemen no no nyinara wobuu hɔn fɔ; mbusu baa hɔn do, EWURADZE na ɔse.", ""
"JER.2.4", "Jakob fifo, na Israel fie mu mbusua nyinara, hom ntsie EWURADZE n’asɛm:", ""
"JER.2.5", "mbrɛ EWURADZE se nye yi, Ɔbrakyew bɛn na hom egyanom hunii wɔ mo mu, ma wofii me nkyɛn kɔr ekyirekyir, na wokedzii egyangyandze ekyir, ma wɔyɛɛ gyan yi?", ""
"JER.2.6", "Eso wɔannse dɛ, EWURADZE a ɔdze hɛn fii Egypt asaase do bae no wɔ henfa; ɔno a ɔgyee hɛn duaa sar no do, nsar pradada, na amona asaase do, kwaweeyɛ nye owu sunsuma asaase do, asaase a obi nnduaa mu, na nyimpa biara nntsenaa do no?", ""
"JER.2.7", "Na medze hom baa asaaseber do, dɛ hom ndzi no do aba na no do ndzepa; na mbom hom baa mu no, hom guu m’asaase ho fi, na hom yɛɛ m’egyapadze ekyiwadze.", ""
"JER.2.8", "Asɔfo no annse dɛ, EWURADZE wɔ henfa? Na hɔn a mbra no dze hɔn nsamu no ennhu me: na ahwɛdofo no so fomee tsiaa me, na nkɔnhyɛfo no nam Baal do hyɛɛ nkɔm, na wokedzii ndzɛmba a ɔnnyɛ mfaso bi ekyir.", ""
"JER.2.9", "Dɛm ntsi menye hom bedzi esi, EWURADZE na ɔse, na menye hom mba hɔn mba so medzi esi.", ""
"JER.2.10", "Na hom ntwa mu nkɔ Kittim esupruw do nkɔhwɛ; na hom nsoma nkɔ Kedar nkɔhwehwɛ mu kofekofe; na hom nhwɛ kyerɛ dɛ adze a ɔtse dɛm yi bi aba pɛn ana.", ""
"JER.2.11", "Aso ɔman bi asesa hɔn abosom a mpo wɔnnyɛ abosom bi no? Naaso me man dze, wɔdze hɔn enyimnyam asesa dza mfaso biara nnyi ho.", ""
"JER.2.12", "Ɔsorsor e, hom mma yi nyɛ hom nwanwa, na ahodwuruw nkitsa hom, nketsenketse nkyer hom dzendzenndzen, EWURADZE na ɔse,", ""
"JER.2.13", "osiandɛ me man abɔ mbusu ebien: wɔapow me emi a meyɛ nkwa nsu no nsunyiwa no, na woetutu mbura ama hɔnho, mbura mpaapaae a nsu nngyina mu.", ""
"JER.2.14", "Ana Israel yɛ akowaa anaa ɔdɔnkɔnyi ba? Ɔyɛ dɛn ntsi na ɔayɛ afonam yi?", ""
"JER.2.15", "Ngyatafɔr apɔw no, na wɔabobɔ hɔn ndze mu; wɔama n’asaase ayɛ amamfo; na wɔahyehyew no nkurow, dɛ obi nntse mu.", ""
"JER.2.16", "Memfis nye Tapanhes mba so epuepue wo tsir.", ""
"JER.2.17", "Aso nnyɛ ɔwoara na akɛfa iyi aba wo do, dɛ apow EWURADZE wo Nyankopɔn, aber a origya wo kwan no.", ""
"JER.2.18", "Na afei ebɛnadze na enya wɔ Egypt nkɔree mu, dɛ erokɔnom Nael nsu? Anaadɛ ebɛnadze na enya wɔ Asiria mu, dɛ ebɔnom Eufrates esutsen no n’esu?", ""
"JER.2.19", "Woara w’emumuyɛ bɛtsea wo, na ɔwoara w’ekyirsan botwuw w’enyim; dɛm ntsi hu na hwɛ dɛ ɔyɛ ebusudze nye adze wenwen, dɛ apow EWURADZE wo Nyankopɔn, na dɛ mo ho suro nnyi wo mu, EWURADZE, dɔm EWURADZE na ɔse.", ""
"JER.2.20", "Na ofir tsetse na ibubuu wo kɔndua mu, na etsetseew wo nkyehoma mu; na ɔwo ekaa dɛ, Monnkɔsom. Koko sorɔnsorɔm biara do na dua ebun ebun biara ase na ebɔɔ wo mu adze dɛ edwaman.", ""
"JER.2.21", "Naaso nna matsɛw wo wenyindua soronko, aba pa turododo. Ɔyɛ dɛn ntsi na adan amanandze wenyindua n’aba ahoma ahoma ama me yi?", ""
"JER.2.22", "Na kaansa edze ehyɛ guar, na efa semina pii mpo a, w’emumuyɛ no dze ne nsensanee da ho wɔ m’enyim, EWURADZE na ɔse.", ""
"JER.2.23", "Ebɛyɛ dɛn etum aka dɛ, Mo ho nnguu fi, minnkedzii Baal pii ekyir? Hwɛ wo kwan wɔ bɔnsa no mu, hu dza ayɛ: eyɛ efumpɔnkɔ ɔhoɔharfo a ɔwonawona wɔ n’akwan do;", ""
"JER.2.24", "hamu asoaso a ɔakokwaa sar do a ɔto mfar wɔ n’akɔndɔ hyeehyew mu; n’aber du a, woana besianka no? Hɔn a wɔhwehwɛ no nyinara nnkɛberɛ hɔnho; no bosoom mu na wɔdze bohu no.", ""
"JER.2.25", "Siw wo nan kwan ma no ho annda hɔ, na wo meneba so ma nsukɔm anndze wo: naaso ɔwo esee dɛ, Dabida! Apa ho koraa: osiandɛ madɔ ananaben, na hɔn ekyir na mibedzi.", ""
