"JER.10.1", "Israelmba, hom ntsie nsɛm a EWURADZE ka kyerɛ hom:", ""
"JER.10.2", "mbrɛ EWURADZE se nye yi, Mma hom nsuansua amanaman hɔn kwan no, na mma hom bo nntutu, wɔ ɔsor nsɛnkyerɛdze ho; na amanaman na hɔn bo tutu wɔ ho.", ""
"JER.10.3", "Na amanaman no hɔn atɔrmuadze yɛ egyangyandze: na obi twa dua wɔ kwaa mu, odwimfo ne nsaano edwuma a wɔdze ekuma yɛe.", ""
"JER.10.4", "Wɔdze dwetɛ na sika hyehyɛ no; wɔdze mprɛgow na nhamɛr bobɔ mu, amma oeennhihim.", ""
"JER.10.5", "Wɔtse dɛ kakaa bi a wɔayɛ esi efɛr kwa mu, na wonntum nnkasa: otwar dɛ wɔsoa hɔn, osiandɛ wonntum nnantsew. Mma nnsuro hɔn, na wonntum mmbɔ mbusu, eso papayɛ bi nnyi hɔn mu.", ""
"JER.10.6", "EWURADZE, obiara nnyi hɔ a ɔtse dɛ ɔwo; ɔwo na eyɛ ɔkɛse, na wo dzin so so wɔ tum mu.", ""
"JER.10.7", "Amanaman Hen, woana na onnkosuro wo? Ɔwo na ɔyɛ wodze: susuampaara dɛ amanaman enyansafo nyinara mu na hɔn ahendzi nyinara mu, obiara nnyi hɔ a ɔtse dɛ ɔwo.", ""
"JER.10.8", "Na wɔyɛ mbowadze na nkwaseadze prɛko: na ehonyi ne nkyerɛkyerɛ dze, ɔtse dɛ duasin ara a.", ""
"JER.10.9", "Dwetɛ a wɔabor no trɛtrɛ fi Tarsis ba, na sika a ofi Ufaz, ɔyɛ odwimfo na sikadwimfo ne nsaano edwuma; bibir na ɔberdum nye hɔn efuradze; ne nyinara edwimfo enyansafo edwuma a.", ""
"JER.10.10", "Naaso EWURADZE nye nokwar Nyankopɔn; ɔno nye Nyankopɔn tseasefo na ɔdomankoma hen no. No bo fuw a, asaase wosow, na amanaman nntum n’ebufuhyew enyim gyina.", ""
"JER.10.11", "Iyi na hom nka nkyerɛ hɔn: Abosom a nnyɛ hɔn bi na wɔyɛɛ ɔsor na asaase no, wɔbɛsɛɛ efi asaase do, na ɔsorsor ase.", ""
"JER.10.12", "Ɔno na ɔdze no tum ayɛ asaase, ɔno na ɔdze ne nyansaa etsintsim wiadze, na ɔdze ne ntseasee atserɛw ɔsorsor mu.", ""
"JER.10.13", "Sɛ ɔbɔ ne ndze mu a, esuesu no weɔɔyɛ ba ɔsorsor, na ɔma ehubɔhubɔw tu fi asaase ano fa sor; ɔno na ɔyɛ enyinam na nyankom, na ɔdze mframa fi n’adzekorabea ba.", ""
"JER.10.14", "Nyimpa biara adan kwasea na onnyim dze; sikadwinnyi biara no honyi a woesian hyɛ no enyito: na no honyi a woegu no yɛ ator, na ahom biara nnyi hɔn mu.", ""
"JER.10.15", "Wɔyɛ egyangyandze, ndaadaa edwuma a: hɔn asotweber mu no wɔbɛsɛɛ.", ""
"JER.10.16", "Jakob ne kyɛfa no dze ɔnntse dɛ iyinom; na ɔno nye adze nyinara ne hyehyɛfo; na Israel nye n’egyapadze ebusuakuw: dɔm EWURADZE nye ne dzin.", ""
"JER.10.17", "Ɔwo a etse kurow a woetua no mu, boaboa w’ahodze ano fi asaase no do.", ""
"JER.10.18", "Na mbrɛ EWURADZE se nye yi, Mobɔtow asaase no do nkorɔfo no tsiabo akyerɛkyerɛ dɛm aber yi mu, na meguan hɔn ho, ma wɔaatse no yie.", ""
"JER.10.19", "Mundue wɔ me pira ntsi! Me pirakur yɛ yaayaw; naaso mesee dɛ, Ampaara iyi nye me yaw, na otwar dɛ mosɔw.", ""
"JER.10.20", "Me ntamadan asɛɛ, na me ntampehoma nyinara atsetsew: me mba efi me nkyɛn kɔ, na wonnyi hɔ: obiara nnyi hɔ a ɔtserɛw me ntamadan mu bio, na ɔasese me ntamadan ho nkataho no.", ""
"JER.10.21", "Na nguanhwɛfo no adan nkwasea, na wommbisa EWURADZE ekyir kwan: dɛm ntsi na ennsi hɔn yie, na hɔn mbowakuw nyinara apetse yi.", ""
"JER.10.22", "Tsie dedeedeyɛ bi, hwɛ ɔreba, na asakrabutuw kɛse bi a ofi kwaamu afamu asaase do, dɛ ɔrebɛma Juda nkurow ayɛ nkurofo, mpataku tsenabea.", ""
"JER.10.23", "Ao EWURADZE, minyim dɛ ɔdasanyi no kwan nnyi nankasa ne nsamu: onnyi ɔdasanyi a ɔnam ne nsamu mbrɛ obodua etutu n’anamɔn.", ""
"JER.10.24", "EWURADZE, tsea me, na mbom wɔ pɛrpɛryɛ mu a; nnyɛ ebufuw mu a, amma maannsɛɛ.", ""
"JER.10.25", "Hue w’ebufuhyew gu aman a wonnyim wo no do, na mbusua a wɔmmbɔ wo dzin no do: osiandɛ wɔamen Jakob, nyew, wɔamen no seranseram, na wɔama ne tsenabea ayɛ amamfo.", ""
