"JER.11.1", "Asɛm a ofi EWURADZE nkyɛn baa Jeremia hɔ, dɛ,", ""
"JER.11.2", "Hom ntsie ahyɛmu yi ne nsɛm no, na hom nka nkyerɛ Juda mbarimba na Jerusalɛmfo.", ""
"JER.11.3", "Se hɔn dɛ, Mbrɛ EWURADZE Israel Nyankopɔn se nye yi: Mpaa nka nyimpa a onntsie ahyɛmu yi ne nsɛm a", ""
"JER.11.4", "mehyɛɛ hom egyanom wɔ da a miyii hɔn Egypt asaase do, fii dadze fononoo no mu, dɛ, Hom ntsie me ndze, na hom nyɛ, dɛ mbrɛ mahyɛ hom nyinara: ɔno na hom bɛyɛ me man, na emi so mayɛ hom Nyankopɔn:", ""
"JER.11.5", "ama maama ntam a mekaa kyerɛɛ hom egyanom no etsim, dɛ mebɛma hɔn asaase bi a numfonsu na ewo pem wɔ do, dɛ mbrɛ ɔtse ndɛ da yi. Nna mubuae see dɛ, Ɔnyɛ hɔ, EWURADZE.", ""
"JER.11.6", "Na EWURADZE see me dɛ, Bɔ nsɛm yi nyinara dawur wɔ Juda nkurow mu, na Jerusalɛm abrɔn mu, dɛ, Hom ntsie ahyɛmu yi ne nsɛm no, na hom nyɛ.", ""
"JER.11.7", "Na mepaa mu kaa no enyiberdo ara kyerɛɛ hom egyanom wɔ da a miyii hɔn fii Egypt asaase do, dze besi ndɛ, morosoɛr ahanamakye merepaa mu mereka, dɛ, Hom ntsie me ndze.", ""
"JER.11.8", "Naaso woenntsie, eso wɔammbrɛ hɔn asowa adze, na mbom obiara nantseew n’emumuyɛ akoma ne ntsintsiman mu: dɛm ntsi medze ahyɛmu yi ne nsɛm a mehyɛɛ hɔn dɛ wɔnyɛ, na wɔannyɛ no, nyinara baa hɔn do.", ""
"JER.11.9", "Na EWURADZE see me dɛ, Woehu tsirdo apam bi wɔ Juda mbarimba, na Jerusalɛmfo mu.", ""
"JER.11.10", "Wɔasan ekyir akɔ hɔn nananom a wɔpoow dɛ wobetsie me nsɛm no hɔn emumuyɛ ho; na woekedzi enyame afofor ekyir rokɔsom hɔn: Israelfo na Judafo ato m’ahyɛmu a menye hɔn egyanom dzii no.", ""
"JER.11.11", "Dɛm ntsi mbrɛ EWURADZE se nye yi, Hwɛ, medze mbusu bɛba hɔn do a worunntum mmfi nsa; na wobosu afrɛ me, naaso mirinntsie hɔn.", ""
"JER.11.12", "Ɔno na Juda nkurow na Jerusalɛmfo bɔkɔ ekosu afrɛ enyame a wɔhyew nduhuam ma hɔn no: naaso wɔnnkɛgye hɔn nkwa koraa wɔ hɔn fona ber no mu.", ""
"JER.11.13", "Na Juda, mbrɛ wo nkurow hɔn dodow ano si no, mbrɛ w’enyame dodow ano so si ara nye no; na mbrɛ Jerusalɛm abrɔn hɔn dodow ano si no, na hom esisi afɔrmbukyia ama enyitodze no, afɔrmbukyia a wɔhyew do nduhuam ma Baal no a.", ""
"JER.11.14", "Dɛm ntsi mma nnsɔr mma ɔman yi, eso mma mmpegya osu anaa mpaabɔ wɔ hɔn ntsi: osiandɛ mirinntsie hɔn wɔ ber a wobosu afrɛ me wɔ ɔfona ntsi no.", ""
"JER.11.15", "Ebɛnadze na mo dɔfo wɔ yɛ wɔ me fie, ber a ɔnye dodowara ayɛ ehuhudze yi? Aso mbowa afɔrbɔ botum apa wo mbusu? Ana afei ibotum edzi ehurusi?", ""
"JER.11.16", "EWURADZE too wo dzin dɛ, Ngodua ebun ebun a aba pa ama ɔayɛ fɛɛfɛw; ɔdze weɔɔyɛ kɛse ne dede ekua gya wɔ do, na n’abaw ebubu.", ""
"JER.11.17", "Na dɔm EWURADZE a ɔtsɛɛw wo no, ɔakasa mbusu etsia wo, osian mbusu a Israelmba na Judamba abobɔ ama hɔnho wɔ dɛ wɔahyehyew nduhuam ama Baal dze eyi me ebufuw no ntsi.", ""
"JER.11.18", "EWURADZE na ɔmaa me ho nyimdzee, na muhunii: nna ekyerɛɛ me hɔn ndzeyɛɛ.", ""
"JER.11.19", "Na meyɛɛ dɛ eguambaa brɛfo a wɔdze no rokɔ ekumii. Nna minnyim dɛ saa wɔdze ritsia me wɔadwendwen mo ho adwen, dɛ, Hom mma yɛnsɛɛ dua no na no do aba, na hom mma yentwa no mfi atseasefo asaase do, amma wɔaannkaa ne dzin bio.", ""
"JER.11.20", "Naaso, Ao dɔm EWURADZE, ɔwo a ibu atsɛn tsenenee, na esɔ adwen na akoma hwɛ, ma munhu w’awerdzi wɔ hɔn do: na ɔwo na medze m’asɛm abrɛ wo.", ""
"JER.11.21", "Dɛm ntsi mbrɛ EWURADZE se wɔ Anathot mbarimba a wɔrohwehwɛ wo nkwa na wɔka dɛ, Mma nnhyɛ nkɔm wɔ EWURADZE dzin mu, ɔno ibowu wɔ hɛn nsaano no ho nye dɛ:", ""
"JER.11.22", "mbrɛ dɔm EWURADZE se nye yi, Hwɛ, mebɛtsea hɔn: mberantsɛ no bowuwu wɔ afona ano; ɔkɔm bokuku hɔn mbabanyin na hɔn mbabaa;", ""
"JER.11.23", "na nkaa bi nnkɛka ama hɔn: na medze mbusu bɛba Anathot mbarimba do, mekyerɛ hɔn asotwe afe no mu.", ""
