"JER.13.1", "Mbrɛ EWURADZE see me nye yi, Kɔ, na kɔtɔ ndwera pa abɔdo, na fa bɔ w’asen, na mma mmfa nnka nsu.", ""
"JER.13.2", "Nna motɔɔ abɔdo dɛ mbrɛ EWURADZE n’asɛm tse, na medze bɔɔ m’asen.", ""
"JER.13.3", "Na EWURADZE n’asɛm baa mo hɔ otsia ebien no dɛ,", ""
"JER.13.4", "Fa abɔdo a atɔ abɔ w’asen no, na soɛr, kɔ Eufrates ho, na fa kosuma ɔbotan no no tokur bi mu.", ""
"JER.13.5", "Nna mokɔree, na medze kosumaa Eufrates ho, dɛ mbrɛ EWURADZE hyɛɛ me no.", ""
"JER.13.6", "Na ɔbaa dɛ nda pii ekyir no, EWURADZE see me dɛ, Soɛr, si mu kɔ Eufrates ho, na keyi abɔdo a mehyɛɛ wo dɛ fa kosuma hɔ no fi hɔ.", ""
"JER.13.7", "Nna mokɔr Eufrates ho, mokɔree, na miyii abɔdo no fii beebi mbrɛ medze sumae no: na, hwɛ, abɔdo no esuw, onnye mma hwee.", ""
"JER.13.8", "Nna EWURADZE n’asɛm baa mo hɔ, dɛ,", ""
"JER.13.9", "Mbrɛ EWURADZE se nye yi, Dɛm yi ara na mibesi masɛɛ Juda ne ntsɛn, na Jerusalɛm ne ntsɛn beberebe no.", ""
"JER.13.10", "Ɔman bɔn yi a wɔpow dɛ wobetsie me nsɛm, wɔnantsew hɔn akoma ne ntsintsiman mu na woekedzi enyame afofor ekyir, dɛ wɔrokɔsom hɔn, na wɔasɔr hɔn no, wɔbɛyɛ dɛ abɔdo yi ara a onnye mma hwee no.", ""
"JER.13.11", "Na dɛ mbrɛ abɔdo fam nyimpa n’asen no, dɛmara na mama Israelmba nyina na Judamba nyina afam mo ho nye no, EWURADZE na ɔse; ama wɔaayɛ me ɔman, na dzin, na ayɛyi, na enyimnyam: naaso wɔammpɛ dɛ wotsie.", ""
"JER.13.12", "Dɛm ntsi ka asɛm yi kyerɛ hɔn: Mbrɛ EWURADZE, Israel Nyankopɔn se nye yi, Nsatoa biara wɔbɛhyɛ no nsa ma: na wɔbɛse wo dɛ, Ana innyim dɛ nsatoa biara wɔbɛhyɛ no nsa ma?", ""
"JER.13.13", "Ɔno na wo so se hɔn dɛ, Mbrɛ EWURADZE se nye yi, Hwɛ, mebɛma asaase yi do mba nyinara, mekyerɛ ahemfo a wɔtsetse David akɔngua do, na asɔfo, na nkɔnhyɛfo, na Jerusalɛmmba nyinara wɔabobow nsa.", ""
"JER.13.14", "Na medze hɔn besisi hɔnho nkorkor, egyanom a wonnyi mba mpo, EWURADZE na ɔse: munnkohu mbɔbɔr, eso mennkɛkam do, eso minnkenya ayamuhyehye dɛ mennkɛsɛɛ hɔn.", ""
"JER.13.15", "Hom ntsie, na hom nyɛ aso; mma hom nnyɛ ntsɛntsɛn, na EWURADZE akasa.", ""
"JER.13.16", "Hom mfa enyimnyam mma EWURADZE hom Nyankopɔn no, ansaana sum agye, ansaana hom anan efintsiw mbepɔw no do ewimbir; na ber a hom rohwehwɛ kan no, ɔdan no owu sunsuma, na ɔyɛ no sum kebikebi.", ""
"JER.13.17", "Naaso sɛ hom rinntsie a, me kra bosu nsumaa mu wɔ hom ntsɛn ntsi; na m’enyiwa bosu kɛse, na oekyi nyinsuwa pii, osiandɛ wɔafa EWURADZE no nguankuw no ndɔmmum.", ""
"JER.13.18", "Se ɔhen nye ɔhen ne na dɛ, Hom mbrɛ hom ho adze bɔkɔɔ: na hom enyimnyam abɔtsir no efi hom tsir ho egu famu.", ""
"JER.13.19", "Wɔatotow pomu afamu nkurow no mu, na obi nnyi hɔ a obuebue: woetu Juda manmu nyina ndɔmmum kɔ; woetu no kɔ ndɔmmum korakora.", ""
"JER.13.20", "Hom mma hom enyi do, na hom nhwɛ hɔn a wofi kwaamu afamu reba: wo mbowakuw a wɔdze kyɛɛ wo no wɔ hen, mekyerɛ, wo mbowakuw fɛɛfɛw no a?", ""
"JER.13.21", "Sɛ ɔdze hɔn a ɔwoara akyerɛkyerɛ hɔn dɛ wɔnyɛ w’aboafo no dzi wo do panyin a, ebɛn asɛm na ebɛka? Aso yaw nnkekitsa wo dɛ ɔbaa a ɔroko awoo?", ""
"JER.13.22", "Na sɛ ibisa wo ho dɛ, Ɔyɛ dɛn ntsi na ndzɛmba iyinom aba mo do a? W’emumuyɛ ne kɛse ntsi wɔada w’asetar ho edzi, na w’anantsir ruhu amandze.", ""
"JER.13.23", "Aso Etiopianyi botum asakyer no wer, anaa ɔsebɔ bɛsesa no ho nsisii? Ɔno na hom a mbusubɔ akokwa hom yi hom botum ayɛ papa.", ""
"JER.13.24", "Dɛm ntsi na mobɔbɔ hɔn apetse dɛ ntsɛw a sar do mframa ma otu kɔ.", ""
"JER.13.25", "Iyi nye w’afamudze, wo kyɛfa a mesusu ama wo, EWURADZE na ɔse; osiandɛ wo werɛ efir me, na edze woho atwer atorsɛm.", ""
"JER.13.26", "Dɛm ntsi emi mara so mibeyi w’asetar ebua w’enyim na w’enyito bɛda edzi.", ""
"JER.13.27", "Mehu w’ekyiwadze, mekyerɛ w’awarto na wo hwenmubɔ, wo ndwamangor n’atantandze, wɔ haban mu akoko do. Jerusalɛm e due! Onkodu dabɛn na wo ho bɛtsew?", ""
