"JER.14.1", "EWURADZE n’asɛm a ɔbaa Jeremia hɔ wɔ nsuwew no ho.", ""
"JER.14.2", "Juda reka mbɔɔ, na n’aponkɛse eguragura, wofurafura eyitam tsetse daadze; na Jerusalɛm ne nkekamu afow kɔ sor.", ""
"JER.14.3", "Na hɔn ekunyin no soma hɔn asomfo no esukɔ: wɔba mburaba do, naaso wonnya nsu; wɔdzedze hɔn ahyera pan san kɔ: hɔn enyi ato na hɔn enyim egu ase, na wɔkatakata hɔn etsir do.", ""
"JER.14.4", "Osiandɛ daadze apaapaa wɔ nsu a ɔnntɔ nngu asaase do ntsi, ekuafo abaw egura, wɔkatakata hɔn etsir do.", ""
"JER.14.5", "Nyew, kwaa mu ɔwansan so ɔwo na ɔdan ne mba gya, osiandɛ efuw bi nnyi hɔ.", ""
"JER.14.6", "Na sar do nsoasopɔnkɔ gyinagyina mpampaa pataa no do, wɔhaahaw mframa ho dɛ ɔsɔ: hɔn enyiwa ayeyɛ nkusunkusu, osiandɛ efuw nnyi hɔ.", ""
"JER.14.7", "Kaansa hɛn emumuyɛ dzi dase tsia hɛn mpo a, EWURADZE, ɔwoara wo dzin ntsi, yɛ ho bi: hɛn ekyirsan adɔɔ so; na yɛayɛ bɔn etsia wo.", ""
"JER.14.8", "Ɔwo Israel enyidado, hɔn agyenkwa wɔ ɔfona ber mu, ebɛnadze ntsi na eyɛ dɛ ɔmamforanyi wɔ asaase no do, dɛ ɔkwantsennyi a ɔman kɔsoɛ anadwe da kor yi?", ""
"JER.14.9", "Ɔyɛ dɛn ntsi na ayɛ dɛ barimba a no bo etu, dɛ katakyi a onntum nkwa gye yi? Naaso ɔwo, EWURADZE, ewɔ hɛn finimfin, na wɔdze wo dzin frɛ hɛn; mma nndan hɛn nngya.", ""
"JER.14.10", "Mbrɛ EWURADZE se ɔman yi nye yi, Ampa wɔapɛ dɛ wokyimakyima; woennsianka hɔn anan: dɛm ntsi na EWURADZE nngye hɔn yi; afei na ɔbɛkaa hɔn emumuyɛ na ɔabɛma hɔn bɔn asotwe.", ""
"JER.14.11", "Na EWURADZE see me dɛ, Mma mmbɔ mpaa mma ɔman yi hɔn yie.", ""
"JER.14.12", "Sɛ wodzi mbuada mpo a, minnketsie hɔn sufrɛ; na sɛ wɔbɔ ɔhyew afɔr na edziban afɔr a, m’enyi ronnsɔ: na mbom medze afona, na ɔkɔm, na ɔyardɔm na medze bɛhyew hɔn.", ""
"JER.14.13", "Nna mesee dɛ, Ao EWURADZE Nyankopɔn hwɛ, nkɔnhyɛfo no see hɔn dɛ, Hom nnkohu afona, eso hom rinndzi kɔm; mbom mebɛma hom asomdwee a osi pi wɔ bea yi do.", ""
"JER.14.14", "Nna EWURADZE see me dɛ, Nkɔnhyɛfo no hyɛ nkɔntor wɔ me dzin mu: nnyɛ emi bi mosomaa hɔn, eso mennhyɛɛ hɔn, eso mennkasaa mennkyerɛɛ hɔn: ator enyiwado adzehu, na mbusu nkɔm, na adze gyangyan, na hɔn akoma mu ndaadaa na wɔhyɛ ho nkɔm kyerɛ hom.", ""
"JER.14.15", "Dɛm ntsi mbrɛ EWURADZE se wɔ nkɔnhyɛfo a wɔdze me dzin hyɛ nkɔm, na nnyɛ emi bi mosomaa hɔn, naaso wɔka dɛ, Afona na ɔkɔm remmba asaase yi do no, nye yi: Afona na ɔkɔm na wɔdze bɛhyew nkɔnhyɛfo no.", ""
"JER.14.16", "Na ɔman a wɔhyɛ nkɔm kyerɛ hɔn no wɔbɔtotow hɔn egugu Jerusalɛm abrɔn no mu wɔ ɔkɔm na afona no ntsi; na wonnkenya obi ma woesie hɔn, hɔnara, hɔn yernom anaa hɔn mbabanyin, anaa hɔn mbabaa: na mubohue hɔn emumuyɛ egu hɔn etsifi.", ""
"JER.14.17", "Na dɛm nsɛm yi ka kyerɛ hɔn, dɛ; Wɔmma m’enyiwa mporoporow nyinsuwa anadwe na adzekyee, na mma wonngyaa da; osiandɛ me babaa ɔbaabun no, me man no, wɔdze ɔbɔbo kɛse ebubu no, woepirapira no yayaayaw dɛ.", ""
"JER.14.18", "Sɛ mifir edzi mokɔ hamu a, nna hwɛ afona ano atɔfo! Na sɛ mekɛhɛn kurow mu a, nna hwɛ, hɔn a wɔyaryar ɔkɔm yarba nye yi! Na nkɔnhyɛnyi na ɔsɔfo nyina wokyin asaase no do, na wonnyi ho nyimdzee.", ""
"JER.14.19", "Aso apow Juda korakora? Aso Zion ho ayɛ wo kra nkɔw? Ɔyɛ dɛn na abɔ hɛn, na ɔyarsa bi nnyi hɔ ma hɛn yi? Yɛhwɛ asomdwee kwan, naaso papa biara mmba; na ɔyarsa ber kwan, na hwɛ akomatu nye yi!", ""
"JER.14.20", "EWURADZE, yɛgye hɛn emumuyɛ to mu hɛn egyanom hɔn ndzeyɛbɔn no: na yɛayɛ bɔn etsia wo.", ""
"JER.14.21", "Wo dzin ntsi mma nnkyir hɛn; mma nngu w’enyimnyam ahengua no enyim ase: kaakaa, na mma nnto w’ahyɛmu a ɔda yɛnye wo ntamu no.", ""
"JER.14.22", "Aso amanamamfo hɔn egyangyandze mu bi wɔ hɔ a obotum ama nsu atɔ? Ana aso ɔsorsor botum ama esusow etue? Ana nnyɛ ɔwo a, ao EWURADZE, hɛn Nyankopɔn? Dɛm ntsi ɔwo na yɛhwɛ wo kwan, osiandɛ ɔwo na ayɛ ndzɛmba yinom nyinara.", ""
