"JER.16.1", "EWURADZE n'asɛm baa mo hɔ so, dɛ,", ""
"JER.16.2", "Mma nnwar yer, eso mma nnya mbabanyin na mbabaa wɔ bea yi do ha.", ""
"JER.16.3", "Na mbrɛ EWURADZE se wɔ mbabanyin na mbabaa a wɔwo hɔn wɔ bea yi do ho, na hɔn nanom a wɔwo hɔn, na hɔn egyanom a wɔwo hɔn wɔ asaase yi do ho no nye yi:", ""
"JER.16.4", "Wobowuwu awerɛhow wu; wonnkosu hɔn, eso wonnkesie hɔn; wɔbɛyɛ dɛ efikyir wɔ daadze enyi; na afona na ɔkɔm bɛhyew hɔn; na hɔn efun bɛyɛ edziban ama ɔsor nnoma, na asaase mbowa.", ""
"JER.16.5", "Na mbrɛ EWURADZE se nye yi, Mma hom nnkɔ eyiadze, eso mma hom nnkosu, eso mma hom nnkegyam hɔn: osiandɛ meyi m'asomdwee efi ɔman yi ho kɔ, EWURADZE na ɔse, mpo m'adɔyɛ na m'ayamuhyehye.", ""
"JER.16.6", "Akɛse na nkakraba nyinara bowuwu wɔ asaase yi do: worinnsie hɔn, eso nyimpa runnsu hɔn, eso wɔrommbɔ hɔnho akam, eso wɔremmpa hɔn etsir mma hɔn:", ""
"JER.16.7", "eso wɔrennkyɛ edziban mmema hɔn eyiyɛ mu mmfa nnkyekye hɔn werɛ wɔ ewufo no ntsi, eso wɔremma hɔn awerɛkyekyer kɔɔpow dɛ wɔnnom wɔ hɔn egya na hɔn na ho.", ""
"JER.16.8", "Na mma nnye hɔn nnkɔ aponto fi mu nnkɛnye hɔn nntsena ase nndzidzi na nnom.", ""
"JER.16.9", "Na mbrɛ dɔm EWURADZE, Israel Nyankopɔn no, ɔse nye yi: Hwɛ, mebɛma ahosɛpɛw ndze, na enyigye ndze, okumfor ndze na ayefor ndze egyaa, wɔ bea yi do ha, wɔ hom enyiwa do na hom ber yi mu.", ""
"JER.16.10", "Na ɔbɛba dɛ, sɛ iyi nsɛm yinom nyinara kyerɛ ɔman yi, na wobisa wo dɛ, Ɔyɛ dɛn ntsi na EWURADZE aka mbusu kɛse yi nyina egu hɛn do yi, na hɛn emumuyɛ nye dɛn? Hɛn bɔn a yɛayɛ etsia EWURADZE hɛn Nyankopɔn enye dɛn a?", ""
"JER.16.11", "Ɔno dze se hɔn dɛ, Osiandɛ hom egyanom adan me egya, EWURADZE na ɔse, na woekedzi abosom afofor bi ekyir, na wɔasom hɔn, na wɔakotow hɔn, na wɔadan me egya, na woenndzi me mbra do;", ""
"JER.16.12", "na hom so abɔ mbusu asen hom egyanom; na, hwɛ, hom mu obiara dzi nankasa n'akoma bɔn ne ntsintsiman ekyir, ma dɛm ntsi na hom mma me aso:", ""
"JER.16.13", "dɛm ntsi na mobɔtow hom efi asaase yi do ekogu asaase bi a hom na hom egyanom nnyim do; na hɔ na hom bɔsom abosom afofor adzekyee na adzesaa; osiandɛ merennyɛ adom biara mma hom.", ""
"JER.16.14", "Dɛm ntsi, hwɛ, nda bi reba a, EWURADZE na ɔse, wɔnnkɛse bio dɛ, Dɛ EWURADZE a oyii Israelmba fii Egypt asaase no do tse ase yi;", ""
"JER.16.15", "na mbom, dɛ, Dɛ EWURADZE a oyii Israelmba fii kwaamu afamu asaase do, na aman a ɔpaam hɔn kɔr hɔ nyina do, tse ase yi: na medze hɔn bɛba asaase a medze maa hɔn egyanom no do bio.", ""
"JER.16.16", "Hwɛ, mobɔsoma ekehyia apofo pii, EWURADZE na ɔse, na wobonu hɔn; na n'ekyir no masoma ekehyia abɔmbɔfo pii, ma wɔbɔtwe hɔn efi bepɔw biara na koko biara do, na abotan mu etu mu.", ""
"JER.16.17", "Osiandɛ m'enyi wɔ hɔn akwan nyinara do: wonnsuma wɔ m'enyi do, eso wommbuabua hɔn emumuyɛ do wɔ m'enyiwa do.", ""
"JER.16.18", "Na mibedzi kan metua hɔn emumuyɛ na hɔn bɔn kaw mbɔho: osiandɛ wɔdze hɔn atantandze n'efun egu m'asaase ho fi, na wɔdze hɔn ekyiwadze ahyɛ m'egyapadze do ma.", ""
"JER.16.19", "Ao EWURADZE, m'ahoɔdzen, na m'akoban, na mo guandɔbea wɔ ahohia da mu, ɔwo na amanaman fi asaase ano bɛba wo nkyɛn abɛse dɛ, Hɛn egyanom ennya ewungyadze biara dɛ atorsɛm nko, mekyerɛ egyangyandze na ndzɛmba a mfaso bi nnyi mu.", ""
"JER.16.20", "Aso dasanyi bɛyɛ enyame bi ama noho? Iyinom nyina nnyɛ enyame bi!", ""
"JER.16.21", "Dɛm ntsi, hwɛ, mebɛma woehu, prɛko yi ara dze mebɛma woehu me nsa na m'ahoɔdzen; na wobohu dɛ me dzin dze EWURADZE.", ""
