"JER.18.1", "Asɛm a ofi EWURADZE hɔ baa Jeremia nkyɛn, dɛ,", ""
"JER.18.2", "Soɛr, na sian kɔ ɔwemfo no ne fie, na hɔ na mebɛma atse me nsɛm.", ""
"JER.18.3", "Nna misianee kɔr ɔwemfo no ne fie, na, hwɛ, nna ɔreyɛ n'edwuma wɔ nhwiir do.", ""
"JER.18.4", "Na ber a ɔsɛn a ɔdze awendɛtse reyɛ no, sɛɛe wɔ ɔwemfo no nsamu no, ɔyɛɛ no ɔsɛn fofor bio, dɛ mbrɛ ɔwemfo noara hwɛ a oye no.", ""
"JER.18.5", "Nna EWURADZE n'asɛm baa mo hɔ, dɛ,", ""
"JER.18.6", "Israelmba, aso murunntum mmfa hom nnyɛ dɛ ɔwemfo yi? EWURADZE na ɔse. Hwɛ, mbrɛ awendɛtse tse wɔ ɔwemfo nsamu no, mbrɛ hom tse wɔ me nsamu ara nye no, Israelmba.", ""
"JER.18.7", "Aber biara a mebɛkasa wɔ ɔman bi ho, na ahendzi bi ho, dɛ mubotutu no, na medwuruw no, na masɛɛ no no;", ""
"JER.18.8", "sɛ ɔman no a makasa hɔn ho no wɔsan fi hɔn emumuyɛ ho a, mebɛsesa m'adwen wɔ mbusu a modween dɛ medze bɔbɔ hɔn no ho.", ""
"JER.18.9", "Na aber biara a mebɛkasa ɔman bi ho na ahendzi bi ho, dɛ mibesi na matsɛw no;", ""
"JER.18.10", "sɛ ɔbɔ mbusu wɔ m'enyi do, dɛ onntsie me ndze a, ɔnodze mebɛsesa m'adwen wɔ papa a mekaa dɛ medze bɛyɛ hɔn mfaso nyinara ho.", ""
"JER.18.11", "Na afei kɔ ɛ, kɛka kyerɛ Juda mbarimba, na Jerusalɛmmba, dɛ, Mbrɛ EWURADZE se nye yi: Hwɛ, merehyehyɛ mbusu bi etsia hom, na merepam apam bi etsia hom: afei hom mu biara nsan mfi no mbusu kwan ho, na hom nyɛ hom akwan na hom ndzeyɛɛ yie.", ""
"JER.18.12", "Naaso hɔn dze, wɔse dɛ, Enyidado bi nnyi hɔ: na yebedzi hɛnankasa hɛn tsirmsɛm ekyir, na hɛn mu biara aka n'akoma bɔn ne ntsintsiman do.", ""
"JER.18.13", "Dɛm ntsi mbrɛ EWURADZE se nye yi: Afei hom mbisa amanaman mu dɛ woana atse dɛm ndzɛmba yi bi da; Israel ɔbaabun no ayɛ adze a ɔyɛ hu papaapa.", ""
"JER.18.14", "Aso Lebanon esukwankyɛba bɛsa wɔ kwaa mu ɔbotan do? Anaa aso amanandze nsubansuba nwinwin a ɔrepem sian no bɔwew a?", ""
"JER.18.15", "Naaso me man werɛ efir me, wɔhyew nduhuam ma egyangyandze; na wɔama woefintsiw hɔn akwan mu, tsetse atsempɔn no do, na wɔakɛnantsew akwamfo do, akwan a wɔmmbɔe do;", ""
"JER.18.16", "reyɛ hɔn asaase amamfo na daa asesardze. Obiara a ɔfa do no no ho bow no, na ɔwosow ne tsir.", ""
"JER.18.17", "Mobɔbɔ hɔn apetse wɔ atamfo enyim dɛ boka mframa; mebɛdan m'ekyir ama hɔn na nnyɛ m'enyim bi a, wɔ hɔn mbusu da no mu.", ""
"JER.18.18", "Nna wɔkaa dɛ, Hom mbra ma yɛnkɛpam Jeremia ne tsir do; osiandɛ mbra no rennhera mmfi ɔsɔfo hɔ, na afotu efi onyansafo hɔ, anaa asɛm no efi nkɔnhyɛnyi hɔ. Hom mbra ma yɛmfa tɛkyerɛma mbɔ no, na mma yenntsie ne nsɛm biara.", ""
"JER.18.19", "Ao EWURADZE, yɛ aso ma me ɛ, na tsie dza hɔn a wɔnye me ridzi esi no ka.", ""
"JER.18.20", "Aso wɔdze mbusu botua papa kaw? Naaso hɔn dze, woefun mona ama me kra. Kaa mbrɛ migyinaa w'enyim dɛ mereka papa ama hɔn, dɛ meredan w'ebufuw efi hɔn do no.", ""
"JER.18.21", "Dɛm ntsi yi hɔn mba ma ɔkɔm, na gyaa hɔn mu hyɛ afona no tum nsa; na ma hɔn yernom ndzi mba ho nsaansa, na wɔnyɛ ekunafo. Ma owuyarba nku hɔn mbarimba, na hɔn mberantsɛ nwu afona ano wɔ ɔko mu.", ""
"JER.18.22", "Ma wɔntse osu nka wɔ hɔn efiefi mu, ber a edze dɔm bɛba hɔn do awerɛfir mu no; osiandɛ woefun mona dɛ wɔdze rekyer me, na woesuasua m'anamɔn mfir.", ""
"JER.18.23", "Naaso ɔwo, Ao EWURADZE, inyim hɔn apam a wɔpam mo do dze eboku me nyinara; mma mmfa hɔn emumuyɛ nnkyɛ hɔn, eso mma mmpepa hɔn bɔn mmfi w'enyi do: na mbom ma wombutuw hɔn wɔ w'enyim; enye hɔn ndzi wɔ w'ebufuw ber no mu.", ""
