"JER.22.1", "Mbrɛ EWURADZE kae nye yi: Sian kɔ Judahen fie, na kɛka asɛm yi wɔ hɔ,", ""
"JER.22.2", "na se dɛ, Tsie EWURADZE n’asɛm, Judahen a etse Juda akɔngua do, ɔwo, na wo nkowaa, na wo man a wodua aponkɛse yi mu ba mu no.", ""
"JER.22.3", "Mbrɛ EWURADZE se nye yi: Hom nyɛ atsɛmbu na ndzeyɛtsenenee, na hom ngye dza wɔafa no afo no mfi ɔhyɛdofo no nsamu: na mma hom nnyɛ ɔhɔho, egyanka, anaa okunafo no bɔn, anaa wonndzi hɔn do etsiɔdzensɛm, eso mma hom nnka bɔgya a odzi bem nngu bea yi do.", ""
"JER.22.4", "Na sɛ hom yɛ adze yi ara ampa a, ɔno na ahemfo a wɔtsetse David akɔngua do no wobodua ofi yi n’aponkɛse no mu ahɛn mu, wɔtsenatsena ntseaseanam mu na mpɔnkɔ do, ɔno, na no nkowaa, na ne man.", ""
"JER.22.5", "Na sɛ hom enntsie nsɛm yinom dze a, meka moho ntam, EWURADZE na ɔse, dɛ ofi yi bɛdan ofitɔw.", "#Mat 23.28; Luk 13.35"
"JER.22.6", "Na mbrɛ EWURADZE ka wɔ Judahen ne fi ho nye yi: Ɔwo yɛ dɛ Gilead ma me, na Lebanon ne tsir: naaso ampaara dɛ mebɛyɛ wo sar, na nkurow a wɔnntsena do.", ""
"JER.22.7", "Na mibesiesie asɛɛfo etsia wo, obiara dze n’akondadze: na wɔbɔtotow wo nkyindur papa no, na wɔatow egu gya mu.", ""
"JER.22.8", "Na amanaman pii botwa mu wɔ kurow yi ho, dɛ, Ɔyɛ dɛn ntsi na EWURADZE ayɛ kurow kɛse yi dɛm yi?", ""
"JER.22.9", "Ɔno na wobobua dɛ, Osiandɛ wɔdaan EWURADZE hɔn Nyankopɔn n’ahyɛmu no gyae, na wɔkotowee maa abosom afofor, na wɔsoom hɔn.", ""
"JER.22.10", "Mma hom nnsu mma owufo no, eso mma hom nngyam no: na mbom hom nsu osu wen mma nyia ɔrokɔ no; na ɔrennsan bio, eso orunnhu asaase a wɔwoo no do no.", ""
"JER.22.11", "Na mbrɛ EWURADZE ka wɔ Judahen Josia ne ba Sallum a odzii hen wɔ n’egya Josia ananmu a ofii bea yi do kɔree no nye yi: Ɔrennsan nnkɔ ara bio;", "#2 Ahe 23.31-34; 2 Mbe 36.1-4"
"JER.22.12", "na bea a wɔafa no ndɔmmum kɔ do no, hɔ ara na obowu, na orunnhu asaase yi bio.", ""
"JER.22.13", "Ndom nka nyia ɔdze ɔbrakyew si ne dan, na ɔdze ntɛnkyew tow ne mpia; nyia ɔma ne nyɛnko yɛ edwuma kwa ma no, na ɔmmfa n’apaafobɔdze mma no;", ""
"JER.22.14", "nyia ɔka dɛ, Mibesi ofi yantamm na mpia atɛtɛr ama moho, na otwitwa no ntokura; na wɔdze nkyindur sɛw enyi, na wɔka mu edur memen.", ""
"JER.22.15", "Aso eyɛ ɔhen, osiandɛ ereper akyerɛ woho wɔ nkyindur mu ntsi? Ana w’egya oenndzidzi na ɔannom, na ɔannyɛ atsɛmbu na pɛrpɛr adze? Nna osii no yie.", ""
"JER.22.16", "Odzii ɔbɔbɔfo na ohianyi asɛm maa no; nna osii yie. Ana nnyɛ mo ho nyimdzee nye yi bi? EWURADZE na ɔse.", ""
"JER.22.17", "Naaso w’enyiwa na w’akoma nnyi hɔ mma hwee, dɛ ebɛper enya mfaso bɔn, na ebɛka bɔgya a odzi bem egu, na dɛ ebɛyɛ nhyɛdo, na etsiɔdzen nko ara.", ""
"JER.22.18", "Dɛm ntsi mbrɛ EWURADZE se wɔ Judahen Josia ne ba Jehoiakim ho nye yi: Wonnkegyam no dɛ, Ao mo nua! Anaadɛ, Ao akyerɛbaa! Wonnkegyam no dɛ, Ao owura! Anaadɛ, Ao onyimnyamfo!", "#2 Ahe 23.36—24.6; 2 Mbe 36.5-7"
"JER.22.19", "Wobesie no asoaso sie, dɛ wobotwuw no adze akɔtow no akyen Jerusalɛm aponkɛse ekyir noho.", ""
"JER.22.20", "Fow kɔ Lebanon, kɛtsea mu; na ma wo ndze do wɔ Bashan: na fi Abarim tsea mu; osiandɛ wɔasɛɛ w’adɔfo nyinara.", ""
"JER.22.21", "Mekasaa mekyerɛɛ wo wɔ w’eyiedzi mu; naaso esee dɛ, Mirinntsie. Wo suban ara nye no ofitsi wo mbofrabermu, dɛ irinntsie me ndze.", ""
"JER.22.22", "Aahow bɛnyɛn wo nguanhwɛfo nyinara, na w’adɔfo bɔkɔ ndɔmmum: ɔno na w’enyi bɔto na w’enyim egu ase ara ampa wɔ w’emumuyɛ nyinara ntsi.", ""
"JER.22.23", "Ao ɔwo a etse Lebanon, a ayɛ wo berɛbuw wɔ nkyindur do, mbrɛ ibodua ayɛ mbɔbɔr kɛse, ber a ngyam bɛba wo do a, yaw a ɔtse dɛ ɔbaa a ɔroko awoo ne dze!", ""
