"JER.23.1", "Ndom nka nguanhwɛfo a wɔsɛɛ m'edzidzibea do nguan na wɔbɔ hɔn petse no! EWURADZE na ɔse.", ""
"JER.23.2", "Dɛm ntsi mbrɛ EWURADZE, Israel Nyankopɔn no, ka dze tsia nguanhwɛfo a wɔnyɛn me man no nye yi: Hom abɔ mo nguankuw apetse, na hom apam hɔn, na hom annsera hɔn; hwɛ, medze hom ndzeyɛɛ no mbusu mebɛba abɛsera hom, EWURADZE na ɔse.", ""
"JER.23.3", "Na emi mara mobɔboa mo nguankuw nkaa no ano mefi asaase nyina a mapam hɔn makɔ hɔ no do, na medze hɔn aba hɔn nguamban mu bio; na wɔawowo na wɔadɔr.", ""
"JER.23.4", "Na mibesisi hɔn do nguanhwɛfo a wɔbɛnyɛn hɔn; na worunnsuro bio, eso wɔrommbɔ hu, eso hɔn mu obiara rennka, EWURADZE na ɔse.", ""
"JER.23.5", "Hwɛ, nda reba a, EWURADZE na ɔse, mebɛma Odubaa tsenenee bi do mama David, na obedzi hen dɛ ɔhen a ɔyɛ enyansadze, na ɔayɛ atsɛmbu na pɛrpɛr wɔ asaase no do.", "#Jer 33.14-16"
"JER.23.6", "Ne nda no mu na wɔbɛgye Juda nkwa, na Israel atsena ase dwudwoodwo na iyi nye dzin a wɔdze bɛfrɛ no; EWURADZE hɛn tsenenee.", ""
"JER.23.7", "Dɛm ntsi, hwɛ, nda reba a, EWURADZE na ɔse, wɔrennse bio dɛ, Dɛ EWURADZE a oyii Israelmba fii Egypt asaase do tse ase yi;", ""
"JER.23.8", "na mbom, dɛ, Dɛ EWURADZE a okeyii Israel fi asefo fii kwaamu afamu mbew do bae no tse ase yi; na wɔbɛtsena hɔnankasa hɔn asaase do.", ""
"JER.23.9", "Na nkɔnhyɛfo no ho dze: M'akoma a ɔda mo mu ebubu, me mbiew nyinara him biribiriw; mayɛ dɛ ɔsabofo, na dɛ nyimpa a nsa etum no; wɔ EWURADZE ntsi, na ne nsɛm krɔnkrɔn ntsi.", ""
"JER.23.10", "Na awartofo ayɛ asaase no ma; na mpaamba ntsi, asaase no dzi awerɛhow; sar do edzidzibea akyenkyen; na hɔn anamɔnkwan yɛ mbusu, na hɔn mbɔdzen so nntsen.", ""
"JER.23.11", "Na nkɔnhyɛnyi na ɔsɔfo nyina ho ekum; nyew, me fie mpo, mehu hɔn emumuyɛ, EWURADZE na ɔse.", ""
"JER.23.12", "Dɛm ntsi hɔn kwan bɛyɛ hɔn dɛ mbea a ɔyɛ tortor wɔ sum mu: wɔbɔtwe hɔn akɔ ma wɔakɔhwehwe ase wɔ mu: na medze mbusu mebɛba hɔn do, mekyerɛ hɔn asotwe afe no, EWURADZE na ɔse.", ""
"JER.23.13", "Na mehu nkwaseasɛm wɔ Samaria nkɔnhyɛfo no mu; wɔdze Baal hyɛɛ nkɔm na wɔmaa me man Israel fomee.", ""
"JER.23.14", "Jerusalɛm nkɔnhyɛfo no mu so, mehu dza ɔyɛ hu mbordo bi; wɔto awar, na wɔnantsew ator mu, na wɔhyɛ emumuyɛfo nsa dzen, amma obiara emmfi n'emumuyɛ mu annsan: hɔn nyinara ayɛ me dɛ Sodom, na hɔn mu hɔn a wɔtse hɔ no ayɛ dɛ Gomora.", "#Gye 18.20; Eze 16.49"
"JER.23.15", "Dɛm ntsi mbrɛ dɔm EWURADZE se wɔ nkɔnhyɛfo no ho nye yi: Medze ɔbɔwen bɛnyɛn hɔn, na mama wɔanom ewudur nsu: na ahokum fi Jerusalɛm nkɔnhyɛfo no nkyɛn akɔ asaase no nyina do.", ""
"JER.23.16", "Mbrɛ dɔm EWURADZE se nye yi, Mma hom nntsie nkɔnhyɛfo no a wɔhyɛ hom nkɔm no hɔn nsɛm no; wɔkyerɛkyerɛ hom adze huhuw: hɔnankasa hɔn akoma enyido adzehu na wɔka, na ommfi EWURADZE anomu.", ""
"JER.23.17", "Wɔka daa kyerɛ hɔn a wommbu me bi dɛ, EWURADZE na ɔse, Hom benya asomdwee; na obiara a ɔnantsew noara n'akoma ne ntsintsiman mu no so wɔse no dɛ, Mbusu bi nnkɛba hom do.", ""
"JER.23.18", "Na woana na oegyina EWURADZE n'egyinamu, ama oeehu na ɔaatse n'asɛm? Woana na woetsie n'asɛm, ama wɔaapaa mu aka?", ""
"JER.23.19", "Hwɛ, EWURADZE n'ehum, mekyerɛ n'ebufuhyew no, efir edzi, nyew, ekyinehyia ehum a ɔbɔbɔ ebesi emumuyɛfo etsifi a.", ""
"JER.23.20", "EWURADZE n'ebufuw rennsan n'ekyir, ma ekodu dɛ obowie na ɔayɛ dza ɔahyehyɛ wɔ n'akoma mu nyina: nda a odzi ekyir no mu na hom bɛtse ase kofee.", ""
"JER.23.21", "Nnyɛ emi mosomaa nkɔnhyɛfo no, naaso wotuu mbirika: emi mankasa annkyerɛ hɔn, naaso wɔhyɛɛ nkɔm.", ""
"JER.23.22", "Na sɛ wogyinaa m'egyinatu mu a, nkyɛ wɔmaa me man tsiee me nsɛm, na wɔsaan hɔn fii hɔn kwan bɔn na hɔn ndzeyɛɛ bɔn no ho.", ""
"JER.23.23", "Aso meyɛ Nyankopɔn a ɔbɛn, EWURADZE na ɔse, na nnyɛ Nyankopɔn a ɔwɔ ekyirekyir?", ""
"JER.23.24", "Aso obi botum ehuntsa noho wɔ huntsabea bi a emi murunnhu no? EWURADZE na ɔse. Ana mennhyɛ ɔsor na asaase ma? EWURADZE na ɔse.", ""
"JER.23.25", "Matse dza nkɔnhyɛfo a wɔhyɛ ator nkɔm wɔ me dzin mu aka, dɛ, Maso daa, maso daa.", ""
"JER.23.26", "Ɔnkyɛr nkodu dabɛn ara na iyi bɔko nkɔnhyɛfo a wɔhyɛ ator nkɔm no akoma mu; nkɔnhyɛfo a wɔhyɛ hɔnankasa hɔn akoma mu ndaadaa nkɔm no a?", ""
"JER.23.27", "Wɔdwen dɛ wɔbɛma me man werɛ efir me dzin wɔ hɔn adaaso a hɔn mu nyimpa biara ka kyerɛ ne nyɛnko no ntsi, dɛ mbrɛ hɔn egyanom werɛ fiir me dzin wɔ Baal ntsi no.", ""
"JER.23.28", "Nkɔnhyɛnyi a ɔwɔ adaaso bi, ma ɔnka n'adaaso; na nyia ɔwɔ m'asɛm, ma ɔnka m'asɛm nokwar mu. Ebɛn na ntsɛw nye ewifua wɔ yɛ? EWURADZE na ɔse.", ""
"JER.23.29", "Ana m'asɛm nntse dɛ ogya? EWURADZE na ɔse; na dɛ hamɛr a opuepue ɔbotan mu esinesin?", ""
