"JER.26.1", "Josia ba Jehoiakim, Judahen no, n’ahendzi ahyɛse no, na asɛm yi fii EWURADZE nkyɛn bae, dɛ,", "#2 Ahe 23.36—24.6; 2 Mbe 36.5-7"
"JER.26.2", "Mbrɛ EWURADZE se nye yi: Kegyina EWURADZE fie abanguado, na Juda nkurow nyinara a wɔba bɔsɔr EWURADZE fie no, ka nsɛm a mehyɛ wo dɛ ka kyerɛ hɔn no nyinara kyerɛ hɔn; mma mmfa asɛm biara nnsuma ekyir.", ""
"JER.26.3", "Annyɛ a wobetsie, na hɔn mu nyimpa biara adan efi n’akwan bɔn no mu; ma meenu moho wɔ mbusu a mesua me tsirmu dɛ medze mobɔbɔ hɔn wɔ hɔn ndzeyɛɛ bɔn ntsi no ho.", ""
"JER.26.4", "Na ka kyerɛ hɔn dɛ, Mbrɛ EWURADZE se nye yi: Sɛ hom enntsie me, dɛ hom bedzi me mbra a medze esi m’enyim no do,", ""
"JER.26.5", "dɛ hom betsie mo nkowaa nkɔnhyɛfo a mosoma hɔn hom nkyɛn a, mosoɛr ahema mpo na mosoma hɔn, na hom enntsie me nsɛm a;", ""
"JER.26.6", "ɔnodze mebɛyɛ ofi yi dɛ Siloh, na mayɛ kurow yi ndom ama asaase do amanaman nyina.", "#Jos 18.1; Dwom 78.60; Jer 7.12-14"
"JER.26.7", "Na asɔfo na nkɔnhyɛfo na ɔman no nyina tsee dɛ Jeremia reka nsɛm yi wɔ EWURADZE fie.", ""
"JER.26.8", "Na ɔbaa dɛ Jeremia wiee dza EWURADZE hyɛɛ no dɛ ɔnka nkyerɛ ɔman na asɔfo no, na nkɔnhyɛfo no, na ɔman no nyina suoo no mu, dɛ, Owu ara na obowu.", ""
"JER.26.9", "Ebɛn ntsi na edze EWURADZE dzin ahyɛ nkɔm, dɛ, Ofi yi bɛyɛ dɛ Siloh na kurow yi ayɛ ekurofo a obi nntsena do? Na ɔman no nyinara behyiaa Jeremia nkyɛn wɔ EWURADZE fie.", ""
"JER.26.10", "Na Juda mbapɔmba tsee ndzɛmba yinom no, wofii ahemfie fowee baa EWURADZE fie ɔponkɛse fofor no ano.", ""
"JER.26.11", "Nna asɔfo no na nkɔnhyɛfo no kasaa kyerɛɛ mbapɔmba na ɔman no nyina, dɛ, Ɔbarimba yi sɛ owu; osiandɛ ɔahyɛ nkɔm etsia kurow yi, dɛ mbrɛ hom aso atse yi.", ""
"JER.26.12", "Nna Jeremia kasaa kyerɛɛ mbapɔmba nyinara na ɔman no nyinara, dɛ, EWURADZE na ɔsomaa me dɛ membɛhyɛ asɛm a hom atse yi nyina ho nkɔm ntsia ofi yi na kurow yi.", ""
"JER.26.13", "Dɛm ntsi afei hom nyeyɛ hom akwan na hom nyɛe yie, na hom ntsie EWURADZE hom Nyankopɔn ne ndze; na EWURADZE bonu noho wɔ mbusu a ɔaka etsia hom no ho.", ""
"JER.26.14", "Na emi dze, hwɛ, mowɔ hom nsamu; hom nyɛ me dɛ mbrɛ oye na ɔtsen wɔ hom enyi do.", ""
"JER.26.15", "Ohu ara na hom nhu no ampa dɛ, sɛ hom ku me a, hom dze bɔgya a odzi bem bɛba homankasa, na kurow yi, na no mu atsefo nyina do: na nokwar mu ara, EWURADZE na ɔasoma me hom nkyɛn dɛ membɛka nsɛm yi nyina wɔ hom asomu.", ""
"JER.26.16", "Nna mbapɔmba na ɔman no nyina kaa kyerɛɛ asɔfo na nkɔnhyɛfo no dɛ: Ɔbarimba yi nnsɛ wu; osiandɛ EWURADZE hɛn Nyankopɔn dzin mu na ɔakasa akyerɛ hɛn.", ""
"JER.26.17", "Na binom fi asaase no do mpanyimfo no mu soɛree na wɔkaa kyerɛɛ ɔman baguafo no, dɛ,", ""
"JER.26.18", "Moresɛtnyi Mikaia hyɛɛ nkɔm wɔ Judahen Hezekia ne nda mu; na ɔkaa kyerɛɛ Judaman no nyina dɛ, Mbrɛ dɔm EWURADZE se nye yi: Wobofuntum Zion dɛ mfuwa, na Jerusalɛm adan ekurofo na ofi no ne bepɔw no ayɛ dɛ kwaa mu nsorɔnsorɔmbea.", ""
"JER.26.19", "Aso Judahen Hezekia na Judafo nyina kum no? Ana nnyɛ EWURADZE na osuroo no, na ɔdze nkotoserɛ bisaa EWURADZE n’enyimpa, na EWURADZE so nuu noho wɔ mbusu a ɔkae tsiaa hɔn no ho. Dɛm na yɛdze bɔbɔ mbusu kɛse etsia hɛnankasa hɛn akra.", ""
"JER.26.20", "Na ɔbarimba bi so wɔ hɔ a ɔhyɛɛ nkɔm wɔ EWURADZE dzin mu, Semaia a ofi Kiriat-jearim no ne ba Uria; na ɔhyɛɛ nkɔm tsiaa kurow yi na asaase yi, dɛ mbrɛ Jeremia ne nsɛm nyina tse:", ""
"JER.26.21", "na ɔhen Jehoiakim, na ne mbarimba akatakyi nyinara, na mbapɔmba nyinara, wɔtsee ne nsɛm no, ɔhen no hwehwɛɛ dɛ oku no; na Uria tsee no, osuroi, na oguanee, na ɔkɔr Egypt:", ""
"JER.26.22", "na ɔhen Jehoiakim somaa mbarimba bi kɔr Egypt, mekyerɛ Akbor ne ba Elnatan, na mbarimba bi wɔka no ho kɔr Egypt:", ""
"JER.26.23", "na wɔkɛfaa Uria fii Egypt, na wɔdze no brɛɛ ɔhen Jehoiakim; ɔno na ɔdze afona kum no, na ɔtoow no fun kyeen amansuon esiei.", ""
"JER.26.24", "Na Safan ba Ahikam ne nsa wɔ Jeremia afa, dɛ mma wonnyi no nnhyɛ ɔman no nsa mma wonnku no.", ""
