"JER.30.1", "Asɛm a ofi EWURADZE nkyɛn baa Jeremia hɔ, dɛ,", ""
"JER.30.2", "Mbrɛ EWURADZE, Israel Nyankopɔn se nye yi, dɛ, Kyerɛw nsɛm a maka makyerɛ wo nyina wɔ nwoma mu.", ""
"JER.30.3", "Na, hwɛ, nda reba a, EWURADZE na ɔse, medze me man Israel na Juda ndɔmmumfo bɛsan aba, EWURADZE na ɔse: na mama wɔasan asaase a medze memaa hɔn egyanom no do, na woenya edzi.", ""
"JER.30.4", "Na yinom nye nsɛm a EWURADZE kae wɔ Israel ho na Juda ho.", ""
"JER.30.5", "Na mbrɛ EWURADZE se nye yi: Yɛatse ahopopo ndze, na suro nka, na nnyɛ asomdwee dze bi a.", ""
"JER.30.6", "Afei hom mbisa na hom nhu kyerɛ dɛ ɔbarimba botum awo ba anaa: ɔyɛ dɛn ntsi na muhu ɔbarimba biara dɛ ne nsa dze ne sisiw mu dɛ ɔbaa a awoo aka no yi? Ɔyɛ dɛn ntsi na enyim nyinara atotow fitaa yi?", ""
"JER.30.7", "Due! Na da no yɛ hu dodow a biara nntse dɛ ɔno: Jakob no fona ber a; naaso wɔbɛgye no nkwa efi mu.", ""
"JER.30.8", "Na ɔbɛba dɛ da no mu no, Dɔm EWURADZE na ɔse, mubobubu no kɔndua efi wo kɔn ho, na matsetsew wo nkyehoma no mu; na ananaben nnkedzi no nya bio:", ""
"JER.30.9", "na wɔbɔsom EWURADZE hɔn Nyankopɔn, na hɔn hen David a mebɛma no do ama hɔn no.", ""
"JER.30.10", "Dɛm ntsi m'akowaa Jakob, mma nnsuro, EWURADZE na ɔse; eso, Israel, mma wo bo nntu: na, hwɛ, mebɛgye wo nkwa mefi ekyirekyir na w'asefo mefi hɔn ndɔmmumfafo asaase do; na Jakob bɛsan aba, ebenya asomdwee na ahotɔ, na obiara rinnyi no hu.", "#Jer 46.27, 28"
"JER.30.11", "Na menye wo nam, EWURADZE na ɔse, dɛ mebɛgye wo nkwa: na mebɛma amanaman a mabɔ wo apetse hɔ nyina asa koraa, na ɔwoara dze, meremma ennsa koraa; na mbom medze atsɛmbu mebɛtsea wo, na meremma emmfa woho tɔtrɔtɔ ara da.", ""
"JER.30.12", "Na mbrɛ EWURADZE se nye yi, Wo pira nnyi edur, na wo pirakur adzen wo.", ""
"JER.30.13", "Obi nnyi hɔ a odzi w'asɛm ma wo ayarsadur biara innyi hɔ ma w'epirakur, na ayarsa biara innyi hɔ ma wo.", ""
"JER.30.14", "W'adɔfo nyinara werɛ efir wo; wɔnnhwehwɛ wo: osiandɛ medze ɔtamfo epirakur mepira wo, medze otsiɔdzennyi ntsea matsea wo; wɔ w'emumuyɛ ne kɛse ntsi, osiandɛ wo bɔn adɔɔ so pii.", ""
"JER.30.15", "Ɔyɛ dɛn ntsi na erekeka mu wɔ wo pira ntsi? Wo kur nnyi edur: wɔ w'emumuyɛ ne kɛse ntsi, osiandɛ wo bɔn adɔɔ so ntsi na medze ndzɛmba yinom ayɛ wo.", ""
"JER.30.16", "Dɛm ntsi hɔn a wɔmemen wo nyina wɔbɛmen hɔn; na w'atamfo no nyinara mu obiara bɔkɔ ndɔmmum; na hɔn a wɔsoɛr wo no wɔbɔsoɛr hɔn do; na hɔn a wɔfa wo afo nyinara wɔbɛfa hɔn afo.", ""
"JER.30.17", "Na mebɛma wo apɔwmudzen bio, na masa w'epirakur, EWURADZE na ɔse; osiandɛ wɔafrɛ wo nyia woeyi no tokyen, dɛ, Zion a obi nnhwehwɛ n'ekyir kwan a.", ""
"JER.30.18", "Mbrɛ EWURADZE se nye yi: Hwɛ, medze Jakob ntamadan mu ndɔmmum mebɛsan aba bio, na menya ayamuhyehye wɔ ne tsenabea ho; na wɔbɛkyekyer kurow no wɔ ne ndamfo no ara do, na ahemfi no besi hɔ dɛ mbrɛ ɔtse no ara.", ""
"JER.30.19", "Na ndaase na hɔn a hɔn enyi agye ndze befir edzi wɔ mu: na mebɛma wɔadɔr, na worunnsuar; mebɛhyɛ hɔn enyimnyam so, na wonnkobu hɔn enyimtsia.", ""
"JER.30.20", "Hɔn mba so bɛyɛ dɛ asɔpɔn no, na hɔn mboanofo betsim wɔ m'enyim, na mebɛtsea hɔn a wɔhaw hɔn no nyinara.", ""
"JER.30.21", "Na hɔn hen bɛyɛ hɔnankasa hɔn bi, na hɔn hwɛdofo efir hɔn mu; na mebɛma wɔatwe epin me, na wɔbɛbɛn me nkyɛn: na woana nye nyia woesi no bo dɛ ɔbɛbɛn me? EWURADZE na ɔse.", ""
"JER.30.22", "Na hom bɛyɛ me man, na emi mayɛ hom Nyankopɔn.", ""
"JER.30.23", "Hwɛ, EWURADZE n'ehum, mekyerɛ n'ebufuhyew no, etu, ekyinehyia ehum a: obotu abɔ emumuyɛfo etsifi.", ""
"JER.30.24", "EWURADZE n'ebufuw hyeehyew no rennsan, gyedɛ oewie yɛ, na ɔama n'akoma mu esusudze aba mu ansaana. Nda a odzi ekyir no mu na hom bɛtse ase.", ""
