"JER.35.1", "Asɛm a ofi EWURADZE nkyɛn baa Jeremia hɔ wɔ Judahen Josia ne ba Jehoiakim ne nda no mu dɛ,", "#2 Ahe 23.36—24.6; 2 Mbe 36.5-7"
"JER.35.2", "Kɔ Rekabfo fie, na kɛkasa kyerɛ hɔn, na fa hɔn bra EWURADZE fie mpia no kor mu, na ma hɔn nsa ma wɔnnom.", ""
"JER.35.3", "Nna mefaa Habazinia ba Jeremia ne ba Jaazania, na no nuanom, na ne mbabanyin nyinara, na Rekabfo fie nyinara;", ""
"JER.35.4", "na medze hɔn mebaa EWURADZE fie, wɔ Nyame nyimpa Igdalia ba Hanan ne mbabanyin hɔn pia no a ɔwɔ abowanohwɛfo Sallum ba Maaseia ne pia etsifi no mu:", ""
"JER.35.5", "na medze kuraba a nsa ahyehyɛ no amaama, na nkɔɔpow sisii hɔn enyim, na mesee hɔn dɛ, Hom nnom nsa ɛ.", ""
"JER.35.6", "Na wɔkaa dɛ, Yɛnnkɔnom nsa biara: na hɛn egya Rekab ne ba Jonadab hyɛɛ hɛn, dɛ, Hom o, hom mbabanyin o, mma hom nnom nsa dabiarada:", ""
"JER.35.7", "eso mma hom nnsi dan, na wonndua aba, anaa wɔnntsɛw wenyin ture, anaa wonnya bi: na mbom hom ntsena asese mu hom nda nyina; ama hom aatsena ase nda pii wɔ asaase a hom yɛ do amamforafo no mu.", ""
"JER.35.8", "Na yɛayɛ setsie ama hɛn egya Rekab ne ba Jonadab wɔ dza ɔdze hyɛɛ hɛn nyinara ho dɛ, mma yɛnnom nsa hɛn nda nyinara, hɛnara, hɛn yernom, hɛn mbabanyin, na hɛn mbabaa;", ""
"JER.35.9", "anaaso yennsisi adan yɛnntsena mu: eso yennyi wenyin ture, na mfuwa, na aba:", ""
"JER.35.10", "mbom yɛatsenatsena asese mu, na yɛayɛ setsie, na yɛayɛ dɛ mbrɛ hɛn egya Jonadab hyɛɛ hɛn no nyinara.", ""
"JER.35.11", "Na ɔbaa dɛ, ber a Babilɔnhen Nebukadenezar tui baa asaase yi do no, nna yɛsee dɛ, Hom mbra ma yɛnkɔ Jerusalɛm wɔ Kaldeafo dɔm ho hu ntsi, na Siriafo dɔm ho hu ntsi; nna yɛtse Jerusalɛm yi.", ""
"JER.35.12", "Nna EWURADZE n’asɛm baa Jeremia hɔ, dɛ,", ""
"JER.35.13", "Mbrɛ dɔm EWURADZE, Israel Nyankopɔn, se nye yi: Kɔ, na kɛse Juda mbarimba na Jerusalɛm atsefo dɛ, Aso hom nnkɛgye nkyerɛkyerɛ dɛ hom betsie me nsɛm bi a? EWURADZE na ɔse.", ""
"JER.35.14", "Nsɛm a Rekab ba Jonadab dze hyɛɛ ne mbabanyin dɛ mma wɔnnom nsa no, woedzi do, na ɔdze bodu ndɛ da yi wɔnnoom bi, osiandɛ wodzi hɔn egya ne mbrasɛm do: na emi dze, makasa makyerɛ hom, mosoɛr ahema na mekasa; na hom enntsie me.", ""
"JER.35.15", "Masoma mo nkowaa nkɔnhyɛfo no nyinara aba hom nkyɛn, eso mosoɛr ahema na mosoma hɔn, dɛ, Afei hom mu nyimpa biara nsan mfi no kwan bɔn no do, na ɔnyɛ ne nyɛe yie, na mma onnkedzi abosom afofor bi ekyir nnkɔsom hɔn, na hom atsena asaase a medze mama hom na hom egyanom no do: na mbom hom ammbrɛ hom aso adze, eso hom enntsie me.", ""
"JER.35.16", "Susuampaara dɛ Rekab na Jonadab ne mba woedzi mbrasɛm a hɔn egya dze hyɛɛ hɔn no do no, na ɔman yi dze, woenntsie me yi;", ""
"JER.35.17", "dɛm ntsi mbrɛ EWURADZE, dɔm Nyankopɔn, Israel Nyankopɔn, ɔse nye yi: Hwɛ, medze mbusu nyina a maka etsia Juda na Jerusalɛm atsefo nyinara no mebɛba hɔn do: osiandɛ makasa akyerɛ hɔn, na woenntsie; mafrɛ hɔn so, na wɔanngye do.", ""
"JER.35.18", "Na Jeremia see Rekabfo fi no dɛ, Mbrɛ dɔm EWURADZE, Israel Nyankopɔn, se nye yi: Osiandɛ hom etsie hom egya Jonadab ne mbrasɛm, na hom edzi n’ahyɛdze nyinara do, na hom ayɛ dɛ mbrɛ ɔhyɛɛ hom nyinara ntsi;", ""
"JER.35.19", "dɛm ntsi mbrɛ dɔm EWURADZE, Israel Nyankopɔn, se nye yi: Ɔbarimba a ogyina m’enyim nnkɔbɔ Rekab ba Jonadab ara da.", ""
