"JER.50.1", "Asɛm a EWURADZE nam nkɔnhyɛnyi Jeremia do kaa tsiaa Babilɔn wɔ Kaldeafo asaase ho no.", ""
"JER.50.2", "Hom mpaa mu nka wɔ amanaman mu na hom mfa ntahye, na hom nsi frankaa; hom mfa ntahye, na mma hom nnsiw do: hom nse dɛ, Wɔafa Babilɔn, woegu Bel n'enyim ase, Merodak no bo etu; woegu n'ehonyi enyim ase, n'abosom akoma etutu.", ""
"JER.50.3", "Na ɔman bi fii kwaamu afamu rutu no do ɔsa a wɔbɛma n'asaase ayɛ amamfo, na obiara renntsena do: woeguanguan, wɔkɔ, nyimpa na mbowa nyina.", ""
"JER.50.4", "Nda no mu na aber no mu, EWURADZE na ɔse, Israelmba bɛba, hɔn na Judamba nyina; wɔdze osu botu hɔn kwan wɔakɔhwehwɛ EWURADZE hɔn Nyankopɔn.", ""
"JER.50.5", "Wɔbɛdan hɔn enyim akyerɛ Zion do, woebisa ekyir kwan, dɛ, Hom mbra mfa homho mbɔbɔ EWURADZE ho, wɔ daa ahyɛmudzi a werɛ rimmfir no mu.", ""
"JER.50.6", "Me man ayɛ nguan a wɔayew: hɔn nguanhwɛfo ama wɔatotɔ gon, na wɔama wɔafomfom kwan wɔ mbepɔw no do: woefi bepɔw do kɔ koko do, hɔn werɛ efir hɔn ahomgyebea.", ""
"JER.50.7", "Hɔn a wɔtoo hɔn nyina amemen hɔn: na hɔn atamfo see dɛ, Yɛmmfom, osiandɛ wɔayɛ bɔn etsia EWURADZE, pɛrpɛr tsenabea, mekyerɛ EWURADZE, hɔn egyanom enyidado no.", ""
"JER.50.8", "Hom nguan mfi Babilɔn finimfin, na hom mfir edzi mfi Kaldeafo asaase do nkɔ, na hom nyɛ dɛ mpɔnkyenyin a wodzi nguankuw enyim.", ""
"JER.50.9", "Na, hwɛ, mibekenyan amanaman akɛse mboanofo ma wofi kwaamu afamu asaase do aba Babilɔn do; na wobotwa no ho mpasuar; na nkyii wɔbɛfa kurow no: hɔn egyen menaba tse dɛ ɔbarimba katakyi nedze; no mu biara nnsan ekyir kwa.", ""
"JER.50.10", "Na Kaldea bɛyɛ afonam: hɔn a wɔfa no afo nyinara bɛmee, EWURADZE na ɔse.", ""
"JER.50.11", "Hom a hom foom m'egyapadze fae, kaansa hom enyi agye, na hom ridzi ehurusi, kaansa hom adodɔ seradze dɛ nantwifɔr a ɔroporow eburow, na hom su dɛ mpɔnkɔ abran mpo a;", ""
"JER.50.12", "hom na n'enyi bɔto papaara; nyia ɔwoo hom no n'enyim bogu ase. Hwɛ, ɔbɛyɛ amanaman mu ekyirkafo, sar, asaase kɛsɛɛ, na sar pradada.", ""
"JER.50.13", "Osian EWURADZE n'ebufuw ntsi wɔrenntsena do, na ɔbɛyɛ amamfo koraa: obiara a otwa mu wɔ Babilɔn no no ho bɔbow no, na ɔabɔ nhwiroma wɔ n'amandzehu nyinara ntsi.", ""
"JER.50.14", "Hom a hom kontom egyen nyinara, hom mbaa mpasuar ntwa nhyia Babilɔn ho; hom ntotow mbobɔ no, mma hom nnkam hom egyen menaba do: na ɔayɛ bɔn etsia EWURADZE.", ""
"JER.50.15", "Hom mbɔ ose ngu no do ntwa nhyia; ɔdze noho ama; n'aban ahwehwe ase, n'afasu edwuruw; na EWURADZE n'awerdzi nye no; hom ndzi no wer; dɛ mbrɛ ɔayɛ no, hom so nyɛ no bi.", ""
"JER.50.16", "Hom ntwa duafo no mfi Babilɔn, na nyia osuo kantankrankye no mu wɔ twaber mu no: ahyɛdo afona no ho suro ntsi, hɔn mu biara bɛdan noho akɔ no nkorɔfo hɔ, na hɔn mu obiara eguan akɔ nankasa n'asaase do.", ""
"JER.50.17", "Israel yɛ nguantsen a wɔabɔ apetse; ngyata no apam no kɔ; asɔpɔn no Asiriahen bɛtsetseew no mu; na ekyirii Babilɔnhen Nebukadenezar yi bobubuu ne mbiew mu.", ""
"JER.50.18", "Dɛm ntsi mbrɛ dɔm EWURADZE Israel Nyankopɔn no se nye yi: Hwɛ, mebɛtsea Babilɔnhen na n'asaase, dɛ mbrɛ matsea Asiriahen yi.", ""
"JER.50.19", "Na medze Israel bɛsan aba n'edzidzibea, na oedzidzi wɔ Karmel na Basan, na ne kra amee wɔ Efraim akoko do na Gilead.", ""
"JER.50.20", "Nda no mu, na aber no mu, EWURADZE na ɔse, wɔbɔhwehwɛ Israel emumuyɛ ekyir kwan, na worinnya bi; na Juda no bɔn so, na wonnkohu: na medze befir hɔn a mebɛdan hɔn megya dɛ nkaasefo no.", ""
"JER.50.21", "Tu Merataim asaase no do sa, ɔnoara no do a, na Pekod atsefo no do: kuku na sɛɛ nkaasefo no korakora, EWURADZE na ɔse, na yɛ dɛ mbrɛ mahyɛ wo nyinara.", ""
"JER.50.22", "Ɔko ne dede gyegye asaase no do, na ɔsɛɛ kɛse so dze.", ""
