"JER.51.1", "Mbrɛ EWURADZE se nye yi: Hwɛ, mobɔbɔ ɔsɛɛ mframa aba Babilɔn do, na hɔn a wɔtse Leb-kamai do.", ""
"JER.51.2", "Na mobɔsoma ahɔho akɔ Babilɔn, na woekohuw no. Wɔbɔto n’asaase no pan: na ɔfona da no mu wobotwa no ho ehyia etsia no.", ""
"JER.51.3", "Mma egyentonyi no nnkontom n’egyen, na mma ɔmmema noho do wɔ ne dadzetar no mu: na mma hom nngyaa ne mberantsɛ no; hom nsɛɛ no dɔm nyinara huntuhuntu.", ""
"JER.51.4", "Na wɔbɔtotɔ ahwehwe ase wɔ Kaldeafo asaase do, na woeehwirahwira hɔn mu wɔ n’abrɔn mu.", ""
"JER.51.5", "Na Israel anaa Juda hɔn Nyankopɔn, dɔm EWURADZE no, ɔnndaan hɔn nngyaae; kaansa afɔdzi ahyɛ hɔn asaase do ma etsia Israel Krɔnkrɔnnyi no mpo a.", ""
"JER.51.6", "Hom nguan mfi Babilɔn mu, na nyimpa biara ngye noho nkwa; mma wonntwa hom nkyen wɔ n’emumuyɛ mu; na EWURADZE n’awerdziber nye no; obotua no n’ahyɛnanmu kaw no.", ""
"JER.51.7", "Nna Babilɔn yɛ sika kɔɔpow wɔ EWURADZE nsamu a ɔmaa asaase nyinara bowee: amanaman anom ne nsa bi; dɛm ntsi na amanaman abobɔ adam.", "#Nyi 17.2-4; 18.3"
"JER.51.8", "Babilɔn ahwe ase awerɛfir mu asɛɛ: hom ntwa ewuo mma no; hom mfa ne yaw n’ano edur mbra, bi a wɔsa no yarba a ɔbɛyɛ yie.", ""
"JER.51.9", "Nkyɛ yɛresa Babilɔn yarba, naaso annsa. Hom ndan no ngya, na hom mma hɛn mu biara nkɔ nankasa no kurow mu: osiandɛ n’atsɛmbu edu ɔsor, na wɔama do ekodu wimu wimu mpo.", "#Nyi 18.5"
"JER.51.10", "EWURADZE eyi hɛn tsenenee edzi: hom mbra, ma yɛnkɛka EWURADZE hɛn Nyankopɔn n’edwuma nkyerɛ wɔ Zion.", ""
"JER.51.11", "Hom nsew egyen menaba no ano; hom nsuo akokyɛm no mu dzen: EWURADZE ekenyan Media ahemfo hɔn sunsum; osiandɛ wɔabɔ Babilɔn ho tsirmpɔw dɛ ɔbɛsɛɛ no: na EWURADZE n’awerdzi, n’asɔrfi ho awerdzi nye no.", ""
"JER.51.12", "Hom nsi frankaa ntsia Babilɔn afasu, hom mma aweɔn mu nyɛ dzen, hom mfa aweɔmfo nsisi, hom nsiesie atsɛwfo: na EWURADZE ahyehyɛ wɔ ne tsirmu, na eso ɔayɛ dza ɔkae wɔ Babilɔnfo ho no.", ""
"JER.51.13", "Ao ɔwo a etse esu pii do, w’akoradze dɔɔ so, w’ewiei aba, w’enyikaber esusudze no a.", "#Nyi 17.1"
"JER.51.14", "Dɔm EWURADZE aka noho ntam, dɛ, Ampaara medze nyimpa mebɛhyɛ wo ma, dɛ mbɛbɛw; na wɔabɔ wo do ose.", ""
"JER.51.15", "Ɔno na ɔdze no tum ayɛ asaase, ɔno na ɔdze ne nyansaa etsintsim wiadze, na ɔdze ne ntseasee atserɛw ɔsorsor mu.", ""
"JER.51.16", "Sɛ ɔbɔ ne ndze mu a, esu no weɔɔyɛ ba ɔsorsor, na ɔma ehubɔhubɔw tu fi asaase ano fa sor; ɔno na ɔyɛ enyinam na nyankom, na ɔdze mframa fi n’adzekorabea ba.", ""
"JER.51.17", "Nyimpa biara abɛyɛ dɛ abowa na onnyim dze; osikadwinnyi biara ne sianhonyi hyɛ no enyito: na no guhonyi yɛ ator, na ahom biara nnyi hɔn mu.", ""
"JER.51.18", "Wɔyɛ egyangyandze, ndaadaa dwuma a: hɔn asotweber mu wɔbɛhera.", ""
"JER.51.19", "Jakob ne kyɛfa nntse dɛ iyinom; na ɔno nye adze nyinara ne yɛfo; na Israel nye n’egyapadze ebusuakuw; dɔm EWURADZE nye ne dzin.", ""
"JER.51.20", "Ɔwo nye m’ekuma na m’akondadze; ɔwo na medze mubobubu amanaman mu esinesin; na medze ɔwo mebɛsɛɛ ahendzi;", ""
"JER.51.21", "na medze ɔwo mubobubu pɔnkɔ na nyia ɔtse no do no mu esinesin;", ""
"JER.51.22", "na medze ɔwo mubobubu tseaseanam na nyia ɔtse mu no mu esinesin; na medze ɔwo mubobubu ɔbanyin na ɔbaa mu esinesin; na medze ɔwo mubobubu akɔdaa na abofra mu esinesin; na medze ɔwo mubobubu aberantsɛ na ababaawa no mu esinesin;", ""
"JER.51.23", "na medze ɔwo mubobubu oguanhwɛfo na no nguankuw no mu esinesin; na medze ɔwo mubobubu ɔnantwi na ne mpamho no mu esinesin; na medze ɔwo mubobubu ambradofo na amampanyin no mu esinesin.", ""
"JER.51.24", "Na mubotua Babilɔn na Kaldeafo no nyinara kaw wɔ hɔn mbusu a wɔabɔ no hom enyim wɔ Zion no nyinara ho, EWURADZE na ɔse.", ""
"JER.51.25", "Hwɛ, menye wo enya, bepɔw sɛɛfo, EWURADZE na ɔse, ɔwo esɛɛ asaase nyinara: na mebɛtsen me nsa wɔ wo do, na mepirepirew wo mefi abotan no do, na mayɛ wo bepɔw hyewee.", ""
"JER.51.26", "Na wɔremmfa wo mu ɔbo bi nnto kutuwdo, anaa ɔbo bi nnto fapem; na ebɛyɛ amamfo daa, EWURADZE na ɔse.", ""
"JER.51.27", "Hom nsi frankaa wɔ asaase no do, hom nhɛn akasamu no wɔ amanaman mu, hom nsiesie amanaman nkyer no ho sa, hom nhyia Ararat, Minni, na Askenaz ahendzi nyinara mbra no do; hom nhyɛ ɔsahen mbra no do; hom mfa mpɔnkɔ mbra dɛ mbɛbɛw wirikyee.", ""
"JER.51.28", "Hom nsiesie amanaman ntu no do ɔsa, Media ahemfo hɔn ambradofo, na hɔn amampanyin nyinara, na no tumdzi asaase no nyinara.", ""
"JER.51.29", "Na asaase no ho popo na ɔtseetsee: osiandɛ EWURADZE ne tsirmpɔw a ɔwɔ Babilɔn do no osi pi, dɛ ɔbɛyɛ Babilɔn amamfo a obiara nnyi mu.", ""
"JER.51.30", "Babilɔn akatakyi no woegyaa ko, wɔaka hɔn akoban no mu; hɔn ahoɔdzen apa; wɔayɛ dɛ mbasiafo; wɔato ne tsenabea mu ogya; woebubu n’adaban mu.", ""
"JER.51.31", "Mbirikatufo baako botu mbirika ekehyia ɔbaako so, na ɔbɔfo baako ekehyia ɔbaako so akɔbɔ amandzɛɛ akyerɛ Babilɔnhen dɛ wɔagye no kurow no wɔ mbea nyinara:", ""
"JER.51.32", "na wɔagye etwae no, na wɔdze ogya ahyew ndzɛmbir no, na mbarimba akofo no bo etutu.", ""
"JER.51.33", "Na mbrɛ dɔm EWURADZE, Israel Nyankopɔn no se nye yi: Babilɔn babaa tse dɛ ewuporoweebea ber a wotsiatsia do no; aka mber kakra, ma twaber edu ama no.", ""
"JER.51.34", "Babilɔnhen Nebukadenezar awe me, ɔadwerew me, ɔayɛ me dɛ kyɛnse pan, ɔamen me dɛ nsu mu abowapɔn ɔdze m’akɔndɔdze ahyɛ ne yafun ma; oepuw me egu.", ""
"JER.51.35", "Nyia a ɔtse Zion bɛka dɛ, Etsirmɔdzendze a wɔdze ayɛ emi na mo honam no ɔmbra Babilɔn do; na Jerusalɛm bɛka dɛ, Mo bɔgyaa ngu Kaldeafo do.", ""
"JER.51.36", "Dɛm ntsi mbrɛ EWURADZE se nye yi: Hwɛ, mibedzi w’asɛm ama wo, na medzi wer ama wo; na mobɔwew no po, na mama no nsunyiwa ayɛ wesee.", ""
"JER.51.37", "Na Babilɔn bɛdan amamfo, mpataku tsenabea, ahobowdze, na asesardze a obiara nntse mu.", ""
"JER.51.38", "Hɔn nyinara bɔbobɔ mu awor dɛ ngyatafɔr; wɔbɔpɔw dɛ ngyatamba.", ""
"JER.51.39", "Sɛ hɔn ho hyehye hɔn a, mobɔto hɔn pon, na mama wɔabobow, na woedzi ehurusi, na wɔada daa nda prɛko, na wonnkenyan, EWURADZE na ɔse.", ""
"JER.51.40", "Medze hɔn besian dɛ nguambaa akɔ ekumii, dɛ nguannyin ɔnye mpɔnkyenyin.", ""
"JER.51.41", "Mbrɛ woedua agye Sesak  a! Mbrɛ asaase nyina ayɛyi no wɔafa no mprase a! Mbrɛ Babilɔn edua adan amamfo wɔ amanaman mu a!", "#51.41 SESAK: Ɔyɛ dzin bi so a wɔdze frɛ Babilɔn."
"JER.51.42", "Po abɛseram Babilɔn do: n’asorɛkye dodow akɛtaa no do.", ""
"JER.51.43", "No nkurow adan afo, asaase kɛsɛɛ, na sar, asaase a ɔdasanyi biara nntsena do, eso nyimpa ne ba biara nntwa mu wɔ hɔ.", ""
"JER.51.44", "Na mubobu atsɛn megu Bel do wɔ Babilɔn, na meyi dza ɔamemen no mefi n’anomu epue; na amanaman nnkɔbɔ mu apem akɔ ne nkyɛn ara bio: nyew, Babilɔn ɔfasu ahwe ase!", ""
"JER.51.45", "Me man, hom mfi no mu mfir, na hom mu nyimpa biara ngye noho mfi EWURADZE n’ebufuhyew mu.", ""
"JER.51.46", "Eso mma hom akoma nntu, eso mma hom nnsuro wɔ akwansosɛm a hom bɛtse wɔ asaase no do no ho; na akwansosɛm kor bɛba afe kor mu, na n’ekyir afe kor so mu akwansosɛm, na akatabansɛm aba asaase no do, nyia odzi tum oetsia nyia odzi tum.", ""
"JER.51.47", "Dɛm ntsi, hwɛ, nda reba a mubobubu atsɛn egu Babilɔn sianhonyi do, na n’asaase no nyina n’enyi bɔto; na n’atɔfoe nyina bɔhwehwe ase wɔ ne finimfin.", ""
