"JHN.1.1", "Ahyɛse no nna Asɛm  no wɔ hɔ, na Asɛm no nye Nyame wɔ hɔ, na Asɛm no ankasa so nye Nyame.", "#1.1 DƐM ASƐM yi gyina hɔ ma Griik kasa LOGOS a ne nkyerɛasee yɛ dzen papaapa. Dza ɔbɛn LOGOS yi nye NKWA FARBAE. Dɛm Griik kasa LOGOS yi na akyerɛwfo binom kyerɛ ase dɛ ASƐM no."
"JHN.1.2", "Ɔnoara na ahyɛse no ɔnye Nyame wɔ hɔ.", ""
"JHN.1.3", "Wɔnam no do yɛɛ adze nyina na woennkwetsi no annyɛ biribiara a wɔyɛe.", ""
"JHN.1.4", "No mu na nkwa wɔ, na nkwa no nye nyimpa ne kan.", ""
"JHN.1.5", "Na kan no hyerɛn wɔ sum mu, na sum no enntum annhyɛ no do.", ""
"JHN.1.6", "Nyimpa bi bae a Nyankopɔn somaa no a ne dzin dze John.", "#Mat 3.1; Mar 1.4; Luk 3.1, 2"
"JHN.1.7", "Ɔnoara na ɔbaa adasedzi, dɛ oribedzi kan no ho dase, ama nyimpa nyina eedua no do agye edzi.", ""
"JHN.1.8", "Nnyɛ ɔno nye kan no bi, na obedzii kan no ho dase.", ""
"JHN.1.9", "Nokwar kan no a ɔhyerɛn ma nyimpa nyina no na ɔreba wiadze no.", ""
"JHN.1.10", "Ɔwɔ wiadze, na wɔnam no do yɛɛ wiadze, naaso wiadze ennhu no.", ""
"JHN.1.11", "Ɔbaa dza ɔyɛ nedze hɔ, naaso hɔn a wɔyɛ nedze no anngye no.", ""
"JHN.1.12", "Na dodow a wɔgyee no no, ɔmaa hɔn tum dɛ wɔnyɛ Nyankopɔn mba, mekyerɛ hɔn a wɔgye ne dzin dzi no a,", ""
"JHN.1.13", "wommfi bɔgya anaa honam ne pɛ anaa ɔbarimba ne pɛ mu, na ofi Nyankopɔn mu na wɔwoo hɔn.", ""
"JHN.1.14", "Na Asɛm no bɛyɛɛ honam, na ɔbɔsoɛɛ hɛn mu, na yehun n’enyimnyam dɛ Egya no ne Ba kortsee no n’enyimnyam a adom nye nokwar ahyɛ no ma.", ""
"JHN.1.15", "(John dzii no ho dase na ɔtseaa mu dɛ: Oyi nye nyia mekae wɔ no ho dɛ, Nyia odzi m’ekyir reba no, ɔkyɛn me, osiandɛ odzii me kan no.)", ""
"JHN.1.16", "Ofi adom a ahyɛ no ma no mu na hɛn nyina yeenya adom abɔ adom do yi;", ""
"JHN.1.17", "na mbra no dze, wɔnam Moses do dze mae, na adom nye nokwar no dze, ɔnam Jesus Kraest do na ɔbae.", ""
"JHN.1.18", "Obi nnhun Nyankopɔn pɛn; Ɔba a wɔwoo no kor no a ɔtwer Egya no bo mu no, ɔno na oeyi no akyerɛ.", ""
"JHN.1.19", "John dzii dase yi wɔ ber a Jewfo fi Jerusalɛm somaa asɔfo nye Levifo dɛ wonkebisa no dɛ, Woana nye wo no?", ""
"JHN.1.20", "Ɔpaa mu kae na ɔannsan; ɔpaa mu kaa no kofee dɛ, Nnyɛ emi nye Kraest no.", ""
"JHN.1.21", "Wobisaa no dɛ, Woana nye wo? Elija nye wo a? Na ɔsee dɛ, Nnyɛ emi nye no. Nkɔnhyɛnyi no nye wo a? Na obuaa dɛ, Oho.", "#Mal 4.5; Deut 18.15, 18"
"JHN.1.22", "Na wɔsee no dɛ, Dɛm a nna woana koraa nye wo? Ama yeenya bi akɛka akyerɛ hɔn a wɔsomaa hɛn. Eka dɛn wɔ woho?", ""
"JHN.1.23", "Ɔsee dɛ, Emi nye obi ne ndze a ɔretsea mu wɔ sar no do dɛ, Hom ntsentsen Ewuradze no kwan no, dɛ mbrɛ nkɔnhyɛnyi Isaia kae no.", ""
"JHN.1.24", "Nna hɔn a wɔsomaa hɔn no fi Farisiifo mu.", ""
"JHN.1.25", "Na wobisaa no see no dɛ, Sɛ nnyɛ ɔwo nye Kraest anaa Elija anaa nkɔnhyɛnyi no a, ebɛnadze ntsi na inuma?", ""
"JHN.1.26", "John buaa hɔn dɛ, Emi dze, munuma hom nsu mu, na obi gyina hom finimfin a hom nnyim no,", ""
"JHN.1.27", "ɔno nye nyia odzi m’ekyir reba no a ne mpaboa ho ahoma mpo mennsɛ dɛ mesan.", ""
"JHN.1.28", "Iyi sii no wɔ Bɛtani Jordan egya mbrɛ John runuma no.", ""
"JHN.1.29", "Na adze kyee no, John hun Jesus dɛ ɔreba ne nkyɛn, na ɔsee dɛ, Hom nhwɛ, Nyankopɔn Eguambaa a oyi wiadze bɔn kɔ no.", ""
"JHN.1.30", "Oyi nye nyia mekae wɔ no ho dɛ, Ɔbarimba bi dzi m’ekyir reba a ɔkyɛn me mpo no, osiandɛ odzii me kan.", ""
"JHN.1.31", "Nna emi mara so minnyim no, na dɛ wobeyi no akyerɛ Israel ntsi na mebae mubonumae wɔ nsu mu.", ""
"JHN.1.32", "Na John dzii dase dɛ, Muhun Sunsum no dɛ ofi sor sianee dɛ ebubur na ɔbɛtsenaa no do.", ""
"JHN.1.33", "Nna emi dze minnyim no, na nyia ɔsomaa me ma mubonumae wɔ nsu mu no, ɔnoara na ɔsee me dɛ, Nyia ibohu dɛ Sunsum no besian abɛtsena no do no, ɔno nye nyia onuma wɔ Sunsum Krɔnkrɔn mu no.", ""
"JHN.1.34", "Na mehu na medzi dase dɛ ɔno nye Nyankopɔn Ba no.", ""
"JHN.1.35", "Na adze kyee bio no, nna John nye n’esuafo beenu gyina hɔ;", ""
"JHN.1.36", "na ohun Jesus dɛ ɔnenam hɔ no, ɔsee dɛ, Hom nhwɛ, Nyankopɔn Eguambaa no!", ""
"JHN.1.37", "Na ɔrekasa no n’esuafo beenu tsee na wɔkɛkaa Jesus do.", ""
"JHN.1.38", "Na Jesus daan noho, na ohun dɛ wɔka no do no, obisaa hɔn dɛ,  Hom rohwehwɛ ebɛnadze? Na wɔsee no dɛ, Rabae, (ase nye dɛ, Kyerɛkyerɛfo) etse hen?", ""
"JHN.1.39", "Obuaa hɔn dɛ,  Hom mbra mbɔhwɛ.  Na wɔbae bohun mbrɛ ɔtse, na wɔnye no tsenaa hɔ da no; nna wɔabɔ bɛyɛ ewimbir ndɔnnan.", ""
