"JHN.2.1", "Na da a otsia ebiasa no, wohyiaa ayefor wɔ Kaana a ɔwɔ Galilii, nna Jesus ne na wɔ hɔ;", ""
"JHN.2.2", "na wɔtoo nsa frɛɛ Jesus nye n’esuafo no so baa ayefor no ase.", ""
"JHN.2.3", "Na nsa no annso no, Jesus ne na kɛkaa kyerɛɛ no dɛ, Hɔn nsa asa.", ""
"JHN.2.4", "Na Jesus buaa no dɛ,  Ɔbaa, menye wo wɔ ebɛn nhyehyɛɛ? Me ber nnyae nndurii.", ""
"JHN.2.5", "Ne na see asomfo no dɛ, Biribiara a ɔbɛse hom no, hom nyɛ.", ""
"JHN.2.6", "Nna abo esuhina esia sisi hɔ, dɛ mbrɛ Jewfo hɔn ahoguar tse, kor bedzi etwahina ebien anaa ebiasa.", ""
"JHN.2.7", "Jesus see hɔn dɛ,  Hom mfa nsu nhyehyɛ esuhina no amaama.  Na wɔhyehyɛɛ no amaama tɛntɛn.", ""
"JHN.2.8", "Na ɔsee hɔn dɛ,  Afei hom nsesaw nkɛma edzidziase panyin no.  Na wɔdze kɔree.", ""
"JHN.2.9", "Na edzidziase panyin no kaa n’ano nsu a ɔadan nsa no hwɛe no, na onnyim mbrɛ ofir no (nna asomfo no a wɔsesaw nsu no dze wonyim), ɔfrɛɛ ayeforkun no,", ""
"JHN.2.10", "na ɔsee no dɛ, Nyimpa biara dze nsa papa no dzi kan besisi hɔ, na wɔanom abobow no, nna wɔdze dza onnye no ba, na ɔwo dze, edze nsa papa no esie ebodu sesei.", ""
"JHN.2.11", "Nsɛnkyerɛdze a odzi kan yi Jesus yɛe wɔ Kaana a ɔwɔ Galilii, na oyii n’enyimnyam kyerɛe; na n’esuafo no gyee no dzii.", ""
"JHN.2.12", "Iyi ekyir no, Jesus kɔr Karpernaum, ɔno nye ne na nye no nuanom nye n’esuafo, na wɔtsenaa hɔ nda kakra ara.", "#Mat 4.13"
"JHN.2.13", "Na Jewfo apaho no bɛnee; na Jesus kɔr Jerusalɛm.", "#Eks 12.1-27"
"JHN.2.14", "Na okohun hɔn a wɔtɔn anantwi, nye nguan, nye mbubur, nye sikasesafo wɔ asɔrdan no mu dɛ wɔtsenatsena hɔ.", ""
"JHN.2.15", "Ɔdze ahoma yɛɛ mpire paam hɔn nyina, nguan no nye anantwi no, na ohuee sikasesafo sika gui, na ɔkaa hɔn apon butubutuwii.", ""
"JHN.2.16", "Na hɔn a wɔtɔn mbubur no, ɔsee hɔn dɛ,  Hom mfa yinom mfi ha! Mma hom nnyɛ m’Egya fie eguadzi fie!", ""
"JHN.2.17", "Na n’esuafo no kaae dɛ wɔakyerɛw dɛ, Wo fie ho mbɔdzembɔ bɛhyɛ me ma.", ""
"JHN.2.18", "Iyi ntsi Jewfo no buae see no dɛ, Ebɛn asɛnkyerɛdze na edze kyerɛ hɛn dɛ ewɔ ho kwan dɛ eyɛ iyi?", ""
"JHN.2.19", "Jesus buaa hɔn dɛ,  Hom ndwuruw asɔrdan yi, na ndaansa mu mebɛma do bio.", "#Mat 26.61; 27.40; Mar 14.58; 15.29"
"JHN.2.20", "Nna Jewfo no see no dɛ, Mfe eduanan esia mu na wɔdze sii asɔrdan yi, na ɔwo ebɛma do nda ebiasa mu?", ""
"JHN.2.21", "Naaso ɔno dze, ɔkaa ne nyimpadua asɔrdan no ho asɛm.", ""
"JHN.2.22", "Dɛm ntsi ɔsoɛree fii ewufo mu no, n’esuafo no kaae dɛ ɔkaa iyi kyerɛɛ hɔn, na wɔgyee kyerɛwsɛm no nye asɛm a Jesus kae no dzii.", ""
"JHN.2.23", "Na ɔwɔ Jerusalɛm apaho afahyɛ no mu no dodowara hun ne nsɛnkyerɛdze a ɔyɛe no, na wɔgyee ne dzin dzii;", ""
"JHN.2.24", "na Jesus dze, ɔammfa noho amma hɔn, osiandɛ onyim nyimpa nyina,", ""
"JHN.2.25", "na onnhia no dɛ obi dzi nyimpa ho dase, osiandɛ nankasa nyim dza ɔwɔ nyimpa mu.", ""
