"JHN.3.1", "Nna nyimpa bi fi Farisiifo no mu wɔ hɔ a ne dzin dze Nikodemɔs a ɔyɛ Jewfo panyin bi;", ""
"JHN.3.2", "ɔnoara na ɔbaa Jesus nkyɛn anadwe, na ɔbɛsee no dɛ, Rabae, yenyim dɛ ifi Nyankopɔn nkyɛn na aba dɛ kyerɛkyerɛnyi; osiandɛ obi nntum nnyɛ nsɛnkyerɛdze a eyɛ yi, gyedɛ Nyankopɔn ka no ho.", ""
"JHN.3.3", "Jesus buae see no dɛ,  Meka no nokwar mu kyerɛ wo dɛ, Sɛ wɔannwo nyimpa fofor a,  orunntum nnhu Nyankopɔn ahenman no.", "#3.3: Anaadɛ, Sɛ woemmfi sor annwo nyimpa a."
"JHN.3.4", "Nikodemɔs kaa kyerɛɛ no dɛ, Ɔbɛyɛ dɛn na nyimpa a oenyin no, wobotum awo no bio? Obotum akɔ ne na yamu bio ma wɔasan awo no anaa?", ""
"JHN.3.5", "Jesus buaa dɛ,  Meka no nokwar mu pefee kyerɛ wo dɛ, Sɛ woemmfi nsu nye Sunsum mu annwo nyimpa a, orunntum nnhɛn Nyankopɔn ahenman mu.", ""
"JHN.3.6", "Nyia wofi honam mu awo no no, ɔyɛ honam; na nyia wofi Sunsum mu awo no no, ɔyɛ Sunsum.", ""
"JHN.3.7", "Mma ɔnnyɛ wo nwanwa dɛ mese wo dɛ, Otwar dɛ wɔwo hom fofor.", "#3.7 Anaadɛ Otwar dɛ wofi sor wo hom."
"JHN.3.8", "Mframa bɔ wɔ mbrɛ ɔpɛ, na etse ne ndze, naaso innyim mbrɛ ofi ba, na mbrɛ ɔkɔ. Mbrɛ obiara a wofi Sunsum mu awo no tse nye no.", ""
"JHN.3.9", "Nikodemɔs bisaa no dɛ, Yinom besi dɛn ayɛ hɔ?", ""
"JHN.3.10", "Jesus buaa no dɛ,  Ana eyɛ Israel kyerɛkyerɛnyi na innyim yinom yi?", ""
"JHN.3.11", "Ampaara, mese wo dɛ, yɛka dza yenyim na yedzi dza yeehu ho dase; na hom nngye hɛn dasee no nndzi.", ""
"JHN.3.12", "Sɛ meka hom asaase afamu ndzɛmba na hom nngye nndzi a, ɔbɛyɛ dɛn na sɛ meka ɔsor ndzɛmba kyerɛ hom a, hom bɛgye edzi.", ""
"JHN.3.13", "Na obi mmfoow sor, gyedɛ nyia ofi sor sianee no, mekyerɛ, nyimpa Ba no a.", ""
"JHN.3.14", "Na dɛ mbrɛ Moses maa ɔwɔ no do wɔ sar no do no, dɛmara so na otwar dɛ wɔma nyimpa Ba no do,", ""
"JHN.3.15", "ama obiara a ɔgye no dzi no eenya onnyiewiei nkwa.", ""
"JHN.3.16", "Na mbrɛ Nyankopɔn sii dɔɔ wiadze nye yi, dɛ ɔdze ne Ba a ɔwoo no kor no mae, ama obiara a ɔgye no dzi no aannhera, na oeenya onnyiewiei nkwa.", ""
"JHN.3.17", "Na Nyankopɔn annsoma ne Ba wɔ wiadze dɛ ombobu wiadze atsɛn, na dɛ wondua no do ngye wiadze nkwa.", ""
"JHN.3.18", "Nyia ɔgye no dzi no, wommbu no atsɛn; nyia ɔnngye no nndzi no, woebu no atsɛn dada; osiandɛ ɔnngyee Nyankopɔn ne Ba kortsee no ne dzin nndzii.", ""
"JHN.3.19", "Na iyi nye atsɛmbu no, dɛ kan no aba wiadze, na nyimpa adɔ sum akyɛn kan no; osiandɛ hɔn ndwuma yɛ bɔn.", ""
"JHN.3.20", "Na obiara a ɔyɛ dza ɔmmfata no, okyir kan, eso ɔmmba kan no ho, amma woeennyi no atsɛn wɔ no ndwuma ho.", ""
"JHN.3.21", "Na nyia ɔyɛ nokwar no, ɔba kan no ho, ma no ndwuma aada edzi dɛ Nyankopɔn mu na ɔayɛ.", ""
"JHN.3.22", "Iyi ekyir no Jesus nye n'esuafo baa Judea asaase do, na ɔnye hɔn tsenaa hɔ, na onumae.", ""
"JHN.3.23", "Nna John so runuma wɔ Aenon a ɔbɛn Salim, osiandɛ nsu pii wɔ hɔ; na binom baa hɔ ma onumaa hɔn.", ""
"JHN.3.24", "Nna wonnyae mmfaa John nntoo efiadze.", "#Mat 14.3; Mar 6.17; Luk 3.19, 20"
"JHN.3.25", "Na ekyingyegye bi baa John n'esuafo nye Jewnyi bi afamu a ɔfa ahoguar ho.", ""
"JHN.3.26", "Na wɔbaa John nkyɛn bɛsee no dɛ, Rabae, nyia ɔkaa wo ho wɔ Jordan egya no a egyee no ho dase no, hwɛ, ɔno so runuma na nyimpa nyina reba no hɔ.", ""
"JHN.3.27", "John buae na ɔsee dɛ, Nyimpa runntum nnya biribi, gyedɛ wɔdze fi sor ma no.", ""
"JHN.3.28", "Homankasa gye me dase dɛ mekaa dɛ, Nnyɛ emi nye Kraest no, na wɔsomaa me dzii n'enyim.", ""
"JHN.3.29", "Nyia ɔwɔ ayefor no nye ayeforkun; na ayeforkun ne nyɛnko a ogyina hɔ na otsie no, n'enyi gye kɛse wɔ ayeforkun no ne ndze ntsi; afei na m'enyigye yi ahyɛ ma.", ""
"JHN.3.30", "Ɔno dze, otwar dɛ ɔkɔ kan kyɛn me, na emi dze, midzi ekyir.", ""
"JHN.3.31", "Nyia ofi sor bae no kyɛn nyimpa nyina; nyia ofi famu no, ɔyɛ famunyi, na ɔkasa dɛ famunyi. Nyia ofi sor bae no kyɛn nyimpa nyina;", ""
"JHN.3.32", "dza oehu na ɔatse no na ɔgye ho dase, na obiara nngye ne dasee nndzi.", ""
"JHN.3.33", "Nyia ɔagye ne dase no, ɔasɔw ano dɛ Nyankopɔn yɛ nokwafo.", ""
"JHN.3.34", "Na nyia Nyankopɔn somaa no no, ɔka Nyankopɔn ne nsɛm, na Nyankopɔn dze Sunsum no ma no mbordo.", ""
"JHN.3.35", "Egya no dɔ Ɔba no, na ɔdze ndzɛmba nyina ahyɛ ne nsa.", ""
"JHN.3.36", "Nyia ɔgye Ɔba no dzi no, ɔwɔ onnyiewiei nkwa; na nyia onndzi Ɔba no n'asɛm do no dze, orinnya nkwa, na Nyankopɔn n'ebufuw wɔ no do.", ""
