"JHN.4.1", "Afei Jesus  hun dɛ Farisiifo no atse dɛ ɔno Jesus rinya esuafo pii na orunuma nyimpa sen John no", "#4.1 Tsetse akyerɛwfo no binom ka dɛ: Ewuradze."
"JHN.4.2", "(naaso Jesus nankasa ennuma na n’esuafo a),", ""
"JHN.4.3", "ofii Judea na osii mu kɔr Galilii bio.", ""
"JHN.4.4", "Nna otwar dɛ ɔfa Samaria.", ""
"JHN.4.5", "Na afei okodur Samaria kurow bi a wɔfrɛ no Sikaar a ɔbɛn asaase a Jakob dze kyɛɛ ne ba Josef no ho;", "#Gye 33.19; Jos 24.32"
"JHN.4.6", "nna Jakob bura so wɔ hɔ. Nna Jesus aberɛ wɔ n’akwantu mu ntsi, ɔtsenaa bura no do dɛmara; bɛyɛ ewiaber duebien no.", ""
"JHN.4.7", "Na ɔbaa bi a ofi Samaria bae bɔtoow nsu. Jesus see no dɛ,  Ma me bi monnom.", ""
"JHN.4.8", "(Nna n’esuafo no kɔ kurow mu rokɔtɔ edziban.)", ""
"JHN.4.9", "Na Samarianyi ɔbaa no see no dɛ, Ɔyɛ dɛn na ɔwo a eyɛ Jewnyi ibisa emi a meyɛ Samarianyi ɔbaa hɔ nsu anom? (Ɔkaa dɛm osiandɛ nna Jewfo nye Samariafo nnka.)", "#Ezra 4.1-5; Neh 4.1, 2 #4.9 Tsetse akyerɛwfo no binom mmfa iyi nnka ho."
"JHN.4.10", "Jesus buae see no dɛ,  Sɛ inyim Nyankopɔn akyɛdze no, nye nyia ɔse wo dɛ, Ma me bi monnom yi a, nkyɛ ibebisa no ma ɔaama wo nkwa nsu.", ""
"JHN.4.11", "Ɔbaa no see no dɛ, Owura, Innyi adze a edze rotow, na bura no mu so dɔ; hen koraa na ibenya nkwa nsu no?", ""
"JHN.4.12", "Ana ɔwo eso kyɛn hɛn egya Jakob a ɔkyɛɛ hɛn bura yi, na nankasa nye ne mba nye no mbowa noom bi?", ""
"JHN.4.13", "Jesus buae see no dɛ,  Obiara a ɔbɔnom nsu yi bi no, nsukɔm bɛdze no bio.", ""
"JHN.4.14", "Na nyia ɔbɔnom nsu a mebɛma no no, nsukɔm nnkɛdze no da, na nsu a mebɛma no no bɛyɛ no mu nsubura a opuw nsu kɔ onnyiewiei nkwa mu.", ""
"JHN.4.15", "Ɔbaa no see no dɛ, Ma me dɛm nsu yi ɛ, amma nsukɔm anndze me ma mammba ammbɔtow nsu yi bi.", ""
"JHN.4.16", "Jesus see no dɛ,  Kɔ kɛfrɛ wo kun na bra ha.", ""
"JHN.4.17", "Ɔbaa no buae see no dɛ, Minnyi kun. Jesus see no dɛ,  Aka no yie dɛ, Minnyi kun:", ""
"JHN.4.18", "na nye mbanyin beenum atsena; na nyia enye no wɔ hɔ sesei yi mpo, ɔnnyɛ wo kun bi a; iyi dze, aka no nokwar ankasa.", ""
"JHN.4.19", "Ɔbaa no see no dɛ, Mo wura, muhu dɛ eyɛ nkɔnhyɛnyi.", ""
"JHN.4.20", "Hɛn egyanom sɔree wɔ bepɔw yi do, na hom dze, hom se dɛ Jerusalɛm nye bea a ɔsɛ dɛ nyimpa sɔr wɔ hɔ.", ""
"JHN.4.21", "Jesus see no dɛ,  Ɔbaa, gye me dzi dɛ dɔn no reba a nnyɛ bepɔw yi do, eso nnyɛ Jerusalɛm na hom bɔsɔr Egya no.", ""
"JHN.4.22", "Hom sɔr dza hom nnyim; hɛn dze, yɛsɔr dza yenyim, osiandɛ nkwagye fi Jewfo mu.", ""
"JHN.4.23", "Na dɔn no reba, na oenya edu, dɛ hɔn a wɔsɔr nokwar mu no bɔsɔr Egya no wɔ sunsum nye nokwar mu: na iyinom dɛm na Egya no rohwehwɛ dɛ hɔn a wɔsɔr no no yɛ.", ""
"JHN.4.24", "Nyankopɔn yɛ sunsum, na hɔn a wɔsɔr no no, ɔsɛ dɛ wɔsɔr no wɔ sunsum nye nokwar mu.", ""
"JHN.4.25", "Ɔbaa no see no dɛ, Minyim dɛ Messia no (a wɔfrɛ no Kraest no) reba; na ɔnodze, sɛ ɔba a, ɔbɛpaa mu aka adze nyina akyerɛ hɛn.", ""
"JHN.4.26", "Jesus buaa no dɛ,  Emi a menye wo rekasa yi, emi nye ɔno.", ""
"JHN.4.27", "Na ha yi na n’esuafo no bae; na ɔyɛɛ hɔn ahobow dɛ ɔnye ɔbaa no rekasa, naaso obi emmbisa no dɛ, Erohwehwɛ ebɛnadze, anaa, Ɔyɛ dɛn na enye no rekasa yi?", ""
"JHN.4.28", "Na ɔbaa no gyaa n’ehina no hɔ na osii mu kɔr kurow no mu, na ɔsee kuromba no dɛ,", ""
"JHN.4.29", "Hom mbra mbɔhwɛ nyimpa bi a ɔaka dza mayɛ nyina akyerɛ me. Ana nnyɛ oyi nye Kraest no bi a?", ""
"JHN.4.30", "Nna nyimpa fii kurow no mu dɛ wɔreba ne nkyɛn.", ""
