"JHN.6.1", "Iyi ekyir no, Jesus sii mu kɔr Galilii po a ɔyɛ Tiberias po no egya.", ""
"JHN.6.2", "Na nyimpadodow pii dzii n'ekyir, osiandɛ wohun nsɛnkyerɛdze a ɔyɛe wɔ hɔn a wɔyar ho.", ""
"JHN.6.3", "Na Jesus kɔr koko no do na ɔnye n'esuafo kɛtsenaa hɔ.", ""
"JHN.6.4", "Nna apaho no, Jewfo afahyɛ no, abɛn.", ""
"JHN.6.5", "Na afei, Jesus maa n'enyi do, na ohun dɛ nyimpadodow kɛse reba ne nkyɛn no, ɔsee Filip dɛ,  Hen na yebenya paanoo atɔ ama yinom eedzi?", ""
"JHN.6.6", "Na iyi dze ɔkae ara dze sɔɔ no hwɛe, osiandɛ nna nankasa nyim dza ɔrebɛyɛ.", ""
"JHN.6.7", "Filip buaa no dɛ, Paanoo Denare  ahaebien mpo nnkɔso hɔn dɛ hɔn nyina benya nkakrankakra.", "#6.7 DENARE: Dɛm Denare yi yɛ Griik kasa a ɔkyerɛ dɛ ɔpaanyi no bosoom esia akatua."
"JHN.6.8", "Na n'esuafo no mu baako, Andrew a ɔyɛ Simon Peter no nua no, see no dɛ,", ""
"JHN.6.9", "Banyimba bi wɔ ha a ɔwɔ atoko paanoo enum na esunam nkakraba ebien; na iyi dze, ebɛnadze na ɔbɛyɛ ama nyimpa pii yi?", ""
"JHN.6.10", "Jesus see dɛ,  Hom mma nyimpa no ntsenatsena famu.  Eso nna sar pii wɔ hɔ. Na dɔm no tsenatsenaa famu ma hɔn dodow bɛyɛ mpemenum.", ""
"JHN.6.11", "Na Jesus faa paanoo no nye esunam no na ɔdaa ase no, ɔkyɛe maa hɔn a wɔtsetse hɔ no, dɛ dodow biara a obiara hia.", ""
"JHN.6.12", "Na wɔmee no, ɔsee n'esuafo dɛ,  Hom mboaboa mporoporoba a ɔaka no ano, amma biribiara aannyɛ gyan.", ""
"JHN.6.13", "Na wɔboaboaa ano, na wɔdze atoko paanoo enum no no mporoporoba a hɔn a wodzidzii no gyaae no hyɛɛ mbirefi duebien amaama.", ""
"JHN.6.14", "Na nyimpa no hun asɛnkyerɛdze a ɔyɛe no, wɔkaa dɛ, Ampa, oyi nye nkɔnhyɛnyi a ɔreba wiadze no.", ""
"JHN.6.15", "Na Jesus hun dɛ wɔreba abɛfa no ahyɛ no dze no ekedzi hen ntsi, ɔno nko twee noho kɔr koko no do bio.", ""
"JHN.6.16", "Na odur ewimbir no, n'esuafo no kɔr mpoano;", ""
"JHN.6.17", "na wɔkɔr hɛn mu twaa po no dɛ wɔrokɔ Karpernaum. Nna sum agye, naaso Jesus nnyae mmbaa hɔn nkyɛn,", ""
"JHN.6.18", "na po no hurii wɔ mframa kɛse a ɔbɔe no ntsi.", ""
"JHN.6.19", "Na wɔkwaan bɛyɛ akwansimba eduonu enum anaadɛ eduasa no, wohun Jesus dɛ ɔnam po no do, na ɔrotwe abɛn hɛn no, na wosuroi.", ""
"JHN.6.20", "Na ɔsee hɔn dɛ,  Mara a, mma hom nnsuro.", ""
"JHN.6.21", "Afei ɔbaa hɔ nkyɛn wɔ hɛn no mu, na ntsɛmara na hɛn no dur asaase a wɔrokɔ do no do.", ""
"JHN.6.22", "Adze kyee no, nyimpadodow a wogyinagyina po no egya no hun dɛ hɛn nnyi hɔ dɛ kor pɛr, naaso Jesus annka n'esuafo no ho annkɔ hɛn no mu, na n'esuafo nko na wɔkɔree.", ""
"JHN.6.23", "Na ahɛn bi fii Tiberias baa mbrɛ Ewuradze daa ase na wodzii paanoo wɔ hɔ no.", ""
"JHN.6.24", "Ntsi nyimpadodow no hun dɛ Jesus nnyi hɔ na n'esuafo so nnyi hɔ no, hɔn so wɔkɔr hɛn mu na wɔbaa Karpernaum bɔhwehwɛɛ Jesus.", ""
"JHN.6.25", "Na wobohun no wɔ po no egya no, wobisaa no dɛ, Rabae, aber bɛn na ebaa ha?", ""
"JHN.6.26", "Jesus buaa hɔn dɛ,  Meka no nokwar mu kyerɛ hom dɛ, Nnyɛ hom hun nsɛnkyerɛdze ntsi na hom rohwehwɛ me, na mbom hom dzii paanoo na hom mee no ntsi a.", ""
"JHN.6.27", "Mma hom nnyɛ edwuma wɔ edziban a ɔsɛɛ ho, na mbom hom nyɛ wɔ edziban a ɔtsena hɔ kodu onnyiewiei nkwa mu a nyimpa Ba dze bɛma hom no ho; na ɔno na Egya Nyankopɔn asɔw n'ano.", ""
"JHN.6.28", "Na wobisaa no dɛ, Ebɛnadze na yɛnyɛ na yaayɛ Nyankopɔn ndwuma?", ""
"JHN.6.29", "Jesus buaa hɔn dɛ,  Iyi nye Nyankopɔn edwuma, dɛ hom bɛgye nyia ɔnoara somaa no no edzi.", ""
"JHN.6.30", "Na wobisaa no dɛ, Asɛnkyerɛdze bɛn na ebɛyɛ ma yeehu na yaagye wo edzi? Ebɛn edwuma na ereyɛ?", ""
