"JHN.9.1", "Na orutwa mu no, ohun nyimpa bi a ɔyɛ onyifuranyi fi n’awoo mu.", ""
"JHN.9.2", "Na n’esuafo bisaa no dɛ, Rabae, woana na ɔyɛɛ bɔn, nyimpa yi anaa n’awofo a, dɛ wɔwoo no onyifuranyi?", ""
"JHN.9.3", "Jesus buaa dɛ,  Nnyɛ nyimpa yi na ɔyɛɛ bɔn, eso nnyɛ n’awofo a, na mbrɛ Nyankopɔn ndwuma bɛda edzi wɔ no mu ntsi a.", ""
"JHN.9.4", "Otwar dɛ, adzekyee wɔ do yi, yɛyɛ nyia ɔsomaa me no no ndwuma; na adzesaa reba a obi nnkotum ayɛ edwuma.", ""
"JHN.9.5", "Mowɔ wiadze yi, emi nye wiadze ne kan.", ""
"JHN.9.6", "Ɔkaa dɛm yi no, ɔtoo ntafi guu daadze, na ɔdze ntafi no yɛɛ dɛtse seraa n’enyiwa do,", ""
"JHN.9.7", "na ɔsee no dɛ,  Kɔ kɔhohor wɔ nsutaae Siloam mu (ne nkyerɛase nye, Nyia wɔasoma no). Na osii mu kɔree kɔhohoree, na ɔbae no nna ohu adze.", ""
"JHN.9.8", "Dɛm ntsi no sɔnmufo nye hɔn a nkan no wohun no dɛ ɔyɛ ohuafo no see no dɛ, Ana nnyɛ oyi na ɔtse hɔ serɛserɛ adze no?", ""
"JHN.9.9", "Binom see dɛ, Ɔno nye yi; binom so see dɛ, Dabi, na ɔnye no sɛ; na nankasa dze ɔsee dɛ, Emi nye no.", ""
"JHN.9.10", "Na wɔsee no dɛ, Wosii dɛn buee w’enyi no?", ""
"JHN.9.11", "Obuaa dɛ, Nyimpa a wɔfrɛ no Jesus no yɛɛ dɛtse dze seraa m’enyi do, na ɔsee me dɛ, Kɔ nsutaae Siloam mu kɔhohor; na mokɔree kɔhohoree nna muhu adze yi.", ""
"JHN.9.12", "Wobisaa no dɛ, Ɔnoara wɔ hen? Obuaa dɛ, Minnyim.", ""
"JHN.9.13", "Wɔdze nyia nkan no ɔyɛ onyifuranyi no kɛmaa Farisiifo no.", ""
"JHN.9.14", "Na da a Jesus yɛɛ dɛtse na obuee n’enyiwa no yɛ ahomgyeda.", ""
"JHN.9.15", "Dɛm ntsi Farisiifo no so bisaa no bio, mbrɛ osii hun adze. Na ɔsee hɔn dɛ, Dɛtse na ɔdze guu m’enyiwa do, na mohohoree, na muhun adze.", ""
"JHN.9.16", "Na Farisiifo no mu binom see dɛ, Nyimpa yi mmfi Nyankopɔn nkyɛn, osiandɛ onnsie ahomgyeda; binom so see dɛ, Ɔbɛyɛ dɛn na nyimpa dzebɔnyɛnyi botum ayɛ nsɛnkyerɛdze a ɔtse dɛm yi? Na mpaapaamu baa hɔn mu.", ""
"JHN.9.17", "Na wɔsee onyifuranyi no bio dɛ, Na ɔwo dze, eka dɛn wɔ no ho, dɛ obuee w’enyiwa? Ɔsee dɛ, Ɔyɛ nkɔnhyɛnyi.", ""
"JHN.9.18", "Na Jewfo no anngye no ho asɛm no enndzi, dɛ nkyɛ ɔyɛ onyifuranyi na afei ohu adze, dze kodur dɛ wɔfrɛɛ nyia ohun adze no n’awofo.", ""
