"JHN.10.1", "Mereka akyerɛ hom wɔ nokwar mu dɛ, Nyia onndua abowano nnkɔ nguambuw no mu, na ɔfow fa beebi no, ɔyɛ owifo nye odwotwafo;", ""
"JHN.10.2", "na nyia odua abowano kɔ mu no nye nguan no hwɛfo.", ""
"JHN.10.3", "Ɔno na abowanohwɛfo no bue ma no, na nguan no tse ne ndze, na ɔbɔ nankasa no nguan dzin frɛ hɔn, na ɔdze hɔn pue.", ""
"JHN.10.4", "Na sɛ ɔdze nankasa no nguan nyina pue a, odzi hɔn enyim, na nguan no dzi n’ekyir, osiandɛ wonyim ne ndze.", ""
"JHN.10.5", "Na ɔnana dze, worinndzi n’ekyir, na woboguan efi ne nkyɛn, osiandɛ wonnyim anana ndze.", ""
"JHN.10.6", "Abɛbusɛm yi na Jesus kaa kyerɛɛ hɔn, na hɔn dze, woennhu asɛm kor a Jesus reka kyerɛ hɔn no.", ""
"JHN.10.7", "Dɛm ntsi Jesus see hɔn bio dɛ,  Mereka no nokwar mu akyerɛ hom dɛ, emi nye nguan no abow no.", ""
"JHN.10.8", "Hɔn a wodzii me kan bae no nyina yɛ ewifo nye edwotwafo; naaso nguan no enntsie hɔn.", ""
"JHN.10.9", "Emi nye abow no; emi na sɛ obiara nam mo do kɔ mu a, wɔbɛgye no nkwa, na ɔbɔkɔ mu bopue, na obenya edzidzibea.", ""
"JHN.10.10", "Owifo no mmba gyedɛ orubowia, na oeku, na ɔasɛɛ; emi dze, mebae ma woeenya nkwa, na woeenya no mbordo.", ""
"JHN.10.11", "Emi nye oguanhwɛfo pa no: oguanhwɛfo pa no dze no nkwa to hɔ ma nguan no.", ""
"JHN.10.12", "Naaso ɔpaanyi no a ɔnnyɛ oguanhwɛfo a nguan no yɛ nankasa nedze no, ohu dɛ pataku reba a, ogya nguan no hɔ na oguan; na pataku no ba bɔtotɔr hɔn na ɔbɔ hɔn petse.", ""
"JHN.10.13", "Ɔpaanyi guan, osiandɛ ɔyɛ ɔpaanyi na ɔnndwen nguan no ho.", ""
"JHN.10.14", "Emi nye oguanhwɛfo pa no: minyim medze, na medze nyim me,", ""
"JHN.10.15", "dɛ mbrɛ Egya no nyim me na emi so minyim Egya no. Na medze mo nkwa to hɔ ma nguan no.", ""
"JHN.10.16", "Na mowɔ nguan bi so a wommfi ban yi mu; hɔn so otwar dɛ medze hɔn meba, na wobetsie me ndze, na wɔaayɛ kuw kor nye oguanhwɛfo kor.", ""
"JHN.10.17", "Dɛm ntsi na Egya no dɔ me, osiandɛ medze mo nkwa to hɔ na maafa no bio.", ""
"JHN.10.18", "Obi nngye no me nsamu; na mbom mankasa na medze to hɔ: mowɔ tum dɛ medze to hɔ, na mowɔ tum dɛ mefa no bio. Ahyɛdze yi na minyaa no m’Egya hɔ.", ""
"JHN.10.19", "Na mpaapaamu bi baa Jewfo no mu bio wɔ asɛm yi ntsi.", ""
"JHN.10.20", "Na hɔn mu pii see dɛ, Ɔwɔ abɔnsam, na ɔabɔ dam: ɔyɛ dɛn na hom ritsie no?", ""
"JHN.10.21", "Binom see dɛ, Iyi nnyɛ nyia ɔwɔ abɔnsam ne nsɛm a. Aso abɔnsam botum ebue onyifuranyi enyiwa anaa?", ""
