"JHN.15.1", "Emi nye nokwar wenyindua no, na m'Egya nye okuafo no.", ""
"JHN.15.2", "Mo ho abaw biara a ɔnnsow aba no, oyi no; na biara a ɔsow aba no, oyiyi ho ma ɔaasow aba pii.", ""
"JHN.15.3", "Hom ho atsew dada wɔ asɛm a maka akyerɛ hom no ntsi:", ""
"JHN.15.4", "hom ntsena mo mu, na mo so mentsena hom mu. Dɛ mbrɛ abaw nntum mmfi noara no mu nnsow aba, gyedɛ ɔtsena wenyindua no mu no, dɛmara so na hom runntum, gyedɛ hom tsena mo mu.", ""
"JHN.15.5", "Emi nye wenyindua no; hom nye abaw no: nyia ɔtse mo mu, na metse no mu no, ɔnoara na ɔsow aba pii; sɛ hom kwetsi me a, hom nnkotum ayɛ hwee.", ""
"JHN.15.6", "Sɛ obi anntsena mo mu a, wotwa no kyen dɛ abaw, na ɔkyenkyen, na wɔboaboa ano kogu gya mu, na ɔhyew.", ""
"JHN.15.7", "Sɛ hom tsena mo mu, na me nsɛm tsena hom mu a, hom mbisa biribiara a hom pɛ, na wɔbɛyɛ ama hom.", ""
"JHN.15.8", "Iyi mu na wɔahyɛ m'Egya enyimnyam, dɛ hom sow aba pii, na hom bɛyɛ m'esuafo.", ""
"JHN.15.9", "Dɛ mbrɛ Egya no dɔ me no, na mo so madɔ hom: hom ntsena mo dɔ mu.", ""
"JHN.15.10", "Sɛ hom sie me mbransɛm a, hom bɛtsena mo dɔ mu, dɛ mbrɛ mo so mesie m'Egya ne mbransɛm na metsena no dɔ mu.", ""
"JHN.15.11", "Maka yinom akyerɛ hom ama me dɛw aatsena hom mu, na hom dɛw aahyɛ ma.", ""
"JHN.15.12", "Iyi nye me mbrasɛm, dɛ hom ndodɔ homho nkorkor, dɛ mbrɛ madɔ hom.", ""
"JHN.15.13", "Obi nnyi dɔ a ɔso kyɛn iyi, dɛ obi dze no nkwa bɔto hɔ ama n'anyɛnkofo.", ""
"JHN.15.14", "Sɛ hom yɛ dza mehyɛ hom a, hom yɛ m'anyɛnkofo.", ""
"JHN.15.15", "Mennda ho mmfrɛ hom nkowaa, osiandɛ akowaa nnyim dza no wura yɛ; na mafrɛ hom anyɛnkofo, osiandɛ ndzɛmba a metsee no m'Egya hɔ nyina makyerɛ hom mu.", ""
"JHN.15.16", "Nnyɛ hom bi na hom yii me, na emi na miyii hom, na medze hom sii hɔ dɛ hom nkɔ nkɔsow aba, ma hom aba aatsena hɔ, na biribiara a hom bɛserɛ Egya no wɔ me dzin mu no, ɔdze aama hom.", ""
"JHN.15.17", "Iyi na mehyɛ hom, dɛ hom ndodɔ homho.", ""
"JHN.15.18", "Sɛ wiadze tan hom a, hom nyim dɛ ɔatan me ansaana ɔretan hom.", ""
"JHN.15.19", "Sɛ hom fi wiadze mu a, nkyɛ wiadze bɔdɔ nankasa nedze; na osiandɛ hom mmfi wiadze, na miyii hom fii wiadze mu ntsi, na wiadze tan hom.", ""
"JHN.15.20", "Hom nkaa asɛm no a mesee hom no, Akowaa nnkyɛn no wura. Sɛ wohiahiaa mo ho a, wobehiahia hom so ho; sɛ wosiee m'asɛm a, wobesie homdze bi.", "#Mat 10.24; Luk 6.40; Joh 13.16"
"JHN.15.21", "Na yinom nyina me dzin ntsi na wɔdze bɛyɛ hom, osiandɛ wonnyim nyia ɔsomaa me no.", ""
"JHN.15.22", "Sɛ mammba mammbɛkasa annkyerɛ hɔn a, nkyɛ wonnyi bɔn; na afei dze, wonnyi hɔn bɔn do nkatado.", ""
"JHN.15.23", "Nyia ɔtan me no, ɔtan m'Egya so.", ""
"JHN.15.24", "Sɛ mannyɛ wɔ hɔn mu ndwuma a obiara annyɛ bi da a, nkyɛ wonnyi bɔn; na afei woehu na wɔatan emi nye m'Egya so.", ""
"JHN.15.25", "Na iyi aba mu ma dza wɔakyerɛw no hɔn mbra mu no aahyɛ ma dɛ, Wɔatan me kwa.", "#Dwom 35.19; 69.4"
"JHN.15.26", "Na Okyigyinafo no a mibefi Egya no nkyɛn masoma no hom hɔ no, nokwar Sunsum a ofir Egya no mu no, sɛ onya ba a, ɔno na obedzi mo ho dase.", ""
"JHN.15.27", "Na hom so dzi me dase, osiandɛ hom fitsi ahyɛse ka mo ho.", ""
