"JHN.16.1", "Maka iyinom akyerɛ hom amma hom eemmfintsiw.", ""
"JHN.16.2", "Wobeyi hom edzi efi nhyiamudan mu mpo: dɔn no reba a obiara a oboku hom bɔdwen dɛ ɔdze rosom Nyankopɔn.", ""
"JHN.16.3", "Na wɔbɛyɛ iyinom osiandɛ wonnyim Egya no, anaaso emi.", ""
"JHN.16.4", "Na maka iyinom akyerɛ hom, ama sɛ dɔn no ba a, hom aakaa dɛ mekaa kyerɛɛ hom dɛm. Na ahyɛse no mannka iyinom annkyerɛ hom, osiandɛ nna menye hom wɔ hɔ.", ""
"JHN.16.5", "Na afei dze, morokɔ nyia ɔsomaa me no nkyɛn; naaso hom mu biara mmbisa me dɛ, Erokɔ hen?", ""
"JHN.16.6", "Na osiandɛ maka iyinom akyerɛ hom ntsi, awerɛhow ahyɛ hom akoma ma,", ""
"JHN.16.7", "naaso dza mereka yi yɛ nokwasɛm, dɛ oye ma hom dɛ mokɔ, osiandɛ sɛ mannkɔ a, Okyigyinafo remmba hom nkyɛn, na sɛ mokɔ a, mobɔsoma no wɔ hom nkyɛn.", ""
"JHN.16.8", "Ɔno na sɛ ɔba a, obeyi wiadze atsɛn wɔ bɔn nye tsenenee nye atsɛmbu ho:", ""
"JHN.16.9", "bɔn ho, osiandɛ wɔnngye me nndzi;", ""
"JHN.16.10", "tsenenee ho, osiandɛ morokɔ Egya no nkyɛn, na hom nnkohu me bio;", ""
"JHN.16.11", "atsɛmbu ho, osiandɛ woebu wiadze hen atsɛn.", ""
"JHN.16.12", "Mowɔ nsɛm pii ka kyerɛ hom, na hom runntum nngye no sesei.", ""
"JHN.16.13", "Na sɛ ɔno, nokwar Sunsum no, nya ba a, obegya hom kwan akɔ nokwar nyina mu: na ɔnnkɛhyɛ nankasa noho akasa, na biribiara a ɔbɛtse na ɔbɛka, na dza ɔreba so ɔbɛkyerɛ hom.", ""
"JHN.16.14", "Ɔno na ɔbɛhyɛ me enyimnyam, osiandɛ ɔbɛfa dza ɔyɛ medze no bi na ɔdze abɛkyerɛ hom.", ""
"JHN.16.15", "Dza Egya no wɔ nyina yɛ medze: iyi ntsi na mesee dɛ, Ɔbɛfa dza ɔyɛ medze no bi na ɔdze abɛkyerɛ hom.", ""
"JHN.16.16", "Aka kakra na hom nnhu me, na bio aka kakra na hom bohu me, osiandɛ morokɔ Egya no nkyɛn.", ""
"JHN.16.17", "Na n’esuafo no binom kekae wɔ hɔn mu dɛ, Ebɛn asɛm na ɔreka kyerɛ hɛn yi? Aka kakra na hom nnhu me; na bio aka kakra na hom bohu me: na, Osiandɛ morokɔ Egya no nkyɛn?", ""
"JHN.16.18", "Na esuafo no see dɛ, Ebɛn asɛm na ɔreka yi, Aka kakra? Yennyim dza ɔreka.", ""
"JHN.16.19", "Na Jesus hun dɛ wɔrepɛ ebisa no no, ɔsee hɔn dɛ,  Ana iyi ho na hom ribisabisa wɔ hom mu dɛ mesee dɛ, Aka kakra na hom nnhu me, na bio aka kakra na hom bohu me yi?", ""
"JHN.16.20", "Mese hom wɔ nokwar mu dɛ, Hom bosu na hom edzi nkɔmbɔ, na wiadze edzi dɛw; hom dze, hom werɛ bɔhow, naaso hom awerɛhow bɛdan enyigye.", ""
"JHN.16.21", "Ɔbaa roko awoo a, onya awerɛhow, osiandɛ no dɔn edu; na sɛ onya wo ba no a, ɔnnkaa n’ahoguan no bio, wɔ ne dɛw a odzi dɛ wɔawo nyimpa aba wiadze ntsi.", ""
"JHN.16.22", "Na hom so sesei dze, hom enya awerɛhow; na mubohu hom bio, na hom akoma bedzi dɛw, na hom dɛw no obi renngye no hom nsamu.", ""
"JHN.16.23", "Na da no hom nnkebisa me hwee. Ampa, meka kyerɛ hom dɛ, Biribiara a hom bɛserɛ Egya no wɔ me dzin mu no, ɔdze bɛma hom.", ""
"JHN.16.24", "Ɔdze bodu sesei hom nnserɛɛ hwee wɔ me dzin mu: hom nserɛ na hom benya, ma hom dɛw aahyɛ ma.", ""
"JHN.16.25", "Maka iyinom akyerɛ hom wɔ mbɛbu mu. Dɔn no reba a mennkɛkasa akyerɛ hom wɔ mbɛbu mu bio, na maka Egya no ho asɛm akyerɛ hom petee.", ""
"JHN.16.26", "Da no hom bɛserɛ wɔ me dzin mu. Mennka nnkyerɛ hom dɛ mibebisa Egya no ama hom;", ""
"JHN.16.27", "na Egya no ankasa dɔ hom, osiandɛ hom adɔ me na hom agye edzi dɛ mifi Nyankopɔn nkyɛn mebae.", ""
"JHN.16.28", "Mifi Egya no nkyɛn na mebaa wiadze; bio meredan wiadze egya na makɔ Egya no nkyɛn.", ""
"JHN.16.29", "N’esuafo no see no dɛ, Hwɛ, afei ekasa pefee, na nnyɛ abɛbu mu a.", ""
"JHN.16.30", "Afei yenyim dɛ inyim ndzɛmba nyina, na onnhia wo dɛ obi bisa wo: iyi mu na yɛgye dzi dɛ ifi Nyankopɔn nkyɛn bae.", ""
"JHN.16.31", "Jesus buaa hɔn dɛ,  Afei hom gye dzi?", ""
"JHN.16.32", "Hwɛ, dɔn no reba na oenya edu a hom nyina bɛpetse akɔ homankasa homdze mu, na hom adan mo nko egya, naaso ɔrennka mo nko, osiandɛ Egya no wɔ me nkyɛn.", ""
"JHN.16.33", "Maka iyinom akyerɛ hom ama hom eenya asomdwee wɔ mo mu. Wiadze mu dze, hom wɔ ahohiahia mu naaso hom mma hom akoma ntɔ hom ntɔ hom yamu: osiandɛ medzi wiadze do konyim.", ""
