"JHN.19.1", "Na afei Pilate faa Jesus na ɔkaa no mpire.", ""
"JHN.19.2", "Na nsordaafo no bɔɔ nsoɛ abɔtsir na wɔdze hyɛɛ ne tsir, na wɔdze tam memen bi furaa no,", ""
"JHN.19.3", "na wopimpiin ne nkyɛn bɛsee no dɛ, Jewfo Hen no aba oo! Na wɔbobɔɔ no asotɔr.", ""
"JHN.19.4", "Na Pilate puei bio, na ɔsee hɔn dɛ, Hwɛ, medze no pue brɛ hom, ama hom eehu dɛ munnhu afɔdzi biara wɔ no mu.", ""
"JHN.19.5", "Na Jesus puei bae, nna ɔhyɛ nsoɛ abɔtsir nye atar memen no, na Pilate see hɔn dɛ, Hwɛ, nyimpa no nye yi!", ""
"JHN.19.6", "Na asɔfompanyin no nye asomfo no hun no no, wɔtseatseaa mu dɛ, Bɔ no mbeamudua mu, bɔ no mbeamudua mu! Pilate see hɔn dɛ, Homankasa hom mfa no nkɔbɔ no mbeamudua mu, na emi dze, munnhu afɔdzi biara wɔ no mu.", ""
"JHN.19.7", "Jewfo no buaa no dɛ, Yɛwɔ mbra, na hɛn mbra ntsi otwar dɛ owu, osiandɛ ɔyɛɛ noho Nyankopɔn ne Ba.", ""
"JHN.19.8", "Na Pilate tsee asɛm yi no, osuroo dodoodow,", ""
"JHN.19.9", "na ɔkɔr aban no mu bio, na ɔsee Jesus dɛ, Ifi hen? Na Jesus emmbua no.", ""
"JHN.19.10", "Na Pilate see no dɛ, Ennkasa mo ho? Innyim dɛ mowɔ tum dɛ mobɔ wo mbeamudua mu, na mowɔ tum dɛ migyaa wo anaa?", ""
"JHN.19.11", "Jesus see no dɛ,  Sɛ woemmfi sor ammfa amma wo a, nkyɛ innyi mo do tum biara. Dɛm ntsi, nyia oyii me maa wo no, ɔayɛ bɔn kɛse no ara.", ""
"JHN.19.12", "Na ofitsi hɔ no, Pilate hwehwɛɛ dɛ nkyɛ ogyaa no, naaso Jewfo no tseaa mu dɛ, Sɛ igyaa oyi a, na ennyɛ Kaesar no dɔfo: obiara a ɔyɛ noho ɔhen no ɔnye Kaesar dzi esi.", ""
"JHN.19.13", "Na Pilate tsee nsɛm yi no, ɔdze Jesus puei, na ɔbɛtsenaa atsɛmbu egua no do, wɔ beebi mbrɛ wɔfrɛ no Abonsɛwee no, na Hebriw kasa mu dze, wɔfrɛ no Gabata.", ""
"JHN.19.14", "Nna ɔyɛ apaho ne nsiesie da, na ɔbɛyɛ ewiaber duebien: na ɔsee Jewfo no dɛ, Hwɛ, hom Hen nye yi!", ""
"JHN.19.15", "Na wɔtseaa mu dɛ, Fa no kɔ, fa no kɔ, bɔ no mbeamudua mu! Pilate see hɔn dɛ, Mombɔ hom Hen mbeamudua mu? Asɔfompanyin no buaa no dɛ, Yennyi ɔhen biara dɛ Kaesar.", ""
"JHN.19.16", "Na afei oyii no maa hɔn dɛ wɔnkɔbɔ no mbeamudua mu. Na wɔfaa Jesus dze no kɔree.", ""
"JHN.19.17", "Na ɔso ne mbeamudua puei bodur beebi a wɔfrɛ hɔ Nyitsirbea a Hebriw mu wɔfrɛ no Golgota.", ""
"JHN.19.18", "Hɔ na wɔbɔɔ no mbeamudua mu, na beenu kaa no ho, afa ha kor, afa ha kor, na Jesus wɔ finimfin.", ""
"JHN.19.19", "Na Pilate kyerɛɛw ho asɛm so, na ɔdze faam mbeamudua no etsifi, na kyerɛw no nye dɛ, JESUS NAZARƐTNYI, JEWFO HEN NO.", ""
"JHN.19.20", "Na kyerɛw yi Jewfo pii kenkanee, osiandɛ mbrɛ wɔbɔɔ Jesus mbeamudua mu no ɔbɛn kurow no, na wɔkyerɛwee wɔ Hebriw nye Griik nye Romefo kasaa mu.", ""
"JHN.19.21", "Na Jewfo asɔfompanyin no see Pilate dɛ, Mma nnkyerɛw dɛ Jewfo Hen, na dɛ ɔno kaa dɛ, Emi nye Jewfo Hen.", ""
"JHN.19.22", "Pilate buaa dɛ, Dza makyerɛw no, makyerɛw.", ""
"JHN.19.23", "Na nsordaafo no bɔɔ Jesus mbeamudua mu no, wɔfaa ne ntar no na wɔkyɛɛ mu anan, ma sordaanyi baako nyaa kor, ɔnye n'atar nhyɛase so. Na n'atar nhyɛase no, onnyi mpamee, na wɔawen fi sor pem ase.", ""
"JHN.19.24", "Na wɔsesee hɔnho dɛ, Mma hom mma yennsunsuan mu, na hom mma yɛntwe ho tonto nhwɛ nyia ɔbɛyɛ nedze; ama kyerɛw no a ɔka dɛ, Wɔkyɛɛ me tam mu maa hɔnho, Na m'atar so wɔtwee ho tonto no, aaba mu. Na nsordaafo no yɛɛ iyinom.", ""
"JHN.19.25", "Na Jesus ne na, ɔnye ne na no nua Mary a ɔyɛ Klopas yer, ɔnye Mary Magdalene gyina Jesus ne mbeamudua ho.", ""
"JHN.19.26", "Na Jesus hun ne na nye osuanyi a ɔdɔ no no dɛ ogyina hɔ no, ɔsee ne na dɛ,  Ɔbaa, hwɛ, wo ba nye yi.", ""
"JHN.19.27", "Na ɔsee osuanyi no dɛ,  Hwɛ, wo na nye yi.  Na ofitsi dɔn no ara mu na osuanyi no faa no kɔr nankasa ne fie.", ""
"JHN.19.28", "Iyi ekyir no Jesus nyim dɛ woenya ewie ndzɛmba nyina (mbrɛ ɔbɛyɛ ma kyerɛw no aaba mu) ntsi, ɔsee dɛ,  Nsukɔm dze me.", "#Dwom 69.21; 22.15"
"JHN.19.29", "Nna wenyin yerɛyerɛw ehina ma si hɔ, na wɔdze wenyin yerɛyerɛw no bi hyɛɛ sapɔw ma, na wɔdze tuaa odwon dua ano dze kaa n'ano.", ""
"JHN.19.30", "Na Jesus gyee wenyin yerɛyerɛw no, ɔsee dɛ,  Mewie!  Afei ɔbɔɔ ne tsir adze, na ogyaa no sunsum mu.", "#19.30 MEWIE: Griik no ka no dɛ Oewie!"
