"JHN.21.1", "Iyinom ekyir no, Jesus yii noho kyerɛɛ n'esuafo wɔ Tiberias po ho; na mbrɛ oyii noho kyerɛe nye yi.", ""
"JHN.21.2", "Simon Peter nye Tomas a wɔfrɛ no Ata nye Nataniel a ofi Kana a ɔwɔ Galilii, nye Zebedee ne mba no nye esuafo no mu beenu so wɔ hɔ.", ""
"JHN.21.3", "Simon Peter see hɔn dɛ, Morokɔ po. Wɔsee no dɛ, Hɛn so yɛnye wo bɔkɔ. Na wopuei kɔr hɛn mu; naaso dɛm anadwe no woennya hwee.", "#Luk 5.5"
"JHN.21.4", "Na adze rekye no Jesus begyinaa mpoano, naaso nna esuafo no nnyim dɛ Jesus a.", ""
"JHN.21.5", "Na Jesus bisaa hɔn dɛ,  Enuanom, ana hom enya nam bi?  Wobuaa no dɛ, Oho.", ""
"JHN.21.6", "Na ɔsee hɔn dɛ,  Hom ntow eboa no ngu hɛn no ne nyimfa na hom benya bi.  Na wogui, na nam no dodow ntsi woenntum anntwetwe.", ""
"JHN.21.7", "Na osuanyi a Jesus dɔɔ no no see Peter dɛ, Ewuradze a! Na Simon Peter tsee dɛ ɔyɛ Ewuradze no, ɔdze no sortar kyekyeer noho (nna odzi adagyaw) na ɔtoow no ho kyeen po no mu.", ""
"JHN.21.8", "Na esuafo nkaa no nam hɛn kakraba mu bae (nna wɔnye famu ntamu nnwar, ɔbɛyɛ basafa ahaenu) na wɔtwetwee eboa no nye nam no.", ""
"JHN.21.9", "Na wofii hɛn no mu siaan famu no, wohun ngyansenama a nam gu do nye paanoo.", ""
"JHN.21.10", "Jesus see hɔn dɛ,  Hom mfa nam a hom nyaa no sesei no bi mbra.", ""
"JHN.21.11", "Na Simon Peter kɔree kɔtwetwee eboa no baa daadze, nam akɛse ma, ɔha eduonum ebiasa, naaso wɔdɔɔ so dɛm mpo a, eboa no anntsetsew.", ""
"JHN.21.12", "Jesus see hɔn dɛ,  Hom mbɛka hom ano.  Esuafo no mu biara enntum emmbisa no dɛ, Woana nye wo; osiandɛ nna wonyim dɛ Ewuradze a.", ""
"JHN.21.13", "Jesus bae bɛfaa paanoo no maa hɔn, ɔnye nam no so dɛmara.", ""
"JHN.21.14", "Iyi nye ne mpɛn ebiasa a Jesus soɛree fii ewufo mu ekyir no, oyii noho kyerɛɛ n'esuafo.", ""
"JHN.21.15", "Na wɔkaa hɔn ano wiei no, Jesus bisaa Simon Peter dɛ,  Simon, John ne ba, ana edɔ me sen iyinom?  Ɔsee no dɛ, Nyew, Ewuradze, woara inyim dɛ modɔ wo. Jesus see no dɛ,  Nyɛn mo nguambaa.", ""
"JHN.21.16", "Ɔsee no mpɛn ebien dɛ,  Simon, John ne ba, ana edɔ me?  Ɔsee no dɛ, Nyew, Ewuradze, woara inyim dɛ modɔ wo. Ɔsee no dɛ,  Hwɛ mo nguan.", ""
"JHN.21.17", "Ɔsee no bio ne mpɛn ebiasa dɛ,  Simon, John ne ba, ana edɔ me?  Ɔyɛɛ Peter awerɛhow dɛ ɔsee no mpɛn ebiasa dɛ, Ana edɔ me? Na ɔsee no dɛ, Ewuradze, woara inyim adze nyina: inyim dɛ modɔ wo. Jesus see no dɛ,  Nyɛn mo nguan.", ""
"JHN.21.18", "Meka no nokwar mu kyerɛ wo dɛ, eyɛ aberantsɛ no, ebɔɔ woho do, na enantseew mbrɛ woara epɛ; na sɛ inya yɛ akɔdaa a, ebɛtsen wo nsa na obi abɔ wo do na ɔdze wo akɔ mbrɛ emmpɛ.", ""
"JHN.21.19", "Na ɔkaa yi no, ɔdze kyerɛɛ owu kor a ɔdze rebɛhyɛ Nyankopɔn enyimnyam. Na ɔkaa yi no, ɔsee no dɛ,  Ka mo do.", ""
"JHN.21.20", "Na Peter daan noho no, ohun osuanyi a Jesus dɔ no no dɛ odzi n'ekyir, ɔno so na ɔtweer no bo mu wɔ edzidziase na obisaa dɛ, Ewuradze, nyia oriyi wo ama no nye woana no?", "#Joh 13.25"
"JHN.21.21", "Ɔno na Peter hun no no ɔsee Jesus dɛ, Ewuradze, na oyi ɛ?", ""
"JHN.21.22", "Jesus see no dɛ,  Sɛ mepɛ dɛ ɔtsena hɔ kodu dɛ mebɛba a, ɔfa wo ho bɛn? Ɔwo dze, ka mo do.", ""
"JHN.21.23", "Na asɛm yi tahyee wɔ enuanom no mu dɛ osuanyi yi runnwu: naaso Jesus annse no dɛ orunnwu, na ɔsee no dɛ, Sɛ mepɛ dɛ ɔtsena hɔ kodu dɛ mebɛba a, ɔfa wo ho bɛn?", ""
"JHN.21.24", "Oyi nye osuanyi a odzi yinom ho dase, na ɔkyerɛɛw iyinom no, na yenyim dɛ ne dasee yɛ nokwar.", ""
"JHN.21.25", "Na ndzɛmba pii so wɔ hɔ a Jesus yɛe a, sɛ wɔrekyerɛw ne nyina nkorkor a, nkyɛ mohwɛ a nwoma a wɔbɛkyerɛw no ronnkɔ wiadze mu mpo.", ""
