"JOB.42.1", "Nna Job buaa EWURADZE dɛ,", ""
"JOB.42.2", "Minyim dɛ ɔwo itum adze nyinara yɛ, Na dɛ wo tsirmpɔw biara worunntum nnsiw no kwan.", ""
"JOB.42.3", "Woana nye nyia onnyi nyimdzee ntsi ɔpow afotu yi? Dɛm ntsi na meka dza menntse ase yi, Ndzɛmba a ɔyɛ nwanwa dodow ma me a minnyim.", ""
"JOB.42.4", "Meserɛ wo, tsie, na menkasa; Mibebisa wo, na aka akyerɛ me.", ""
"JOB.42.5", "Ɔnam asowa ne ntsee nko do na metsee wo nka; Na afei dze m'enyiwa tua wo.", ""
"JOB.42.6", "Dɛm ntsi mopow moho, na munu moho Wɔ dɛtse na nso mu.", ""
"JOB.42.7", "Na ɔbaa dɛ EWURADZE kaa nsɛm yi kyerɛɛ Job n'ekyir no, EWURADZE see Temannyi Elifaz dɛ, Mo bo efuw ɔwo na w'anyɛnkofo beenu no: osiandɛ hom annka mo ho asɛm a ɔtsen, dɛ mbrɛ m'akowaa Job ayɛ.", ""
"JOB.42.8", "Dɛm ntsi hom mfa anantwinyin esuon na nguannyin esuon, na hom nkɔ m'akowaa Job nkyɛn, na hom nkɔbɔ hyew afɔr mma homho: na m'akowaa Job mbɔ hom tsir do mpaa; na ɔno na mebɛpen no, ama menye hom eenndzi dɛ mbrɛ hom nkwaseasɛm tse; osiandɛ hom annka mo ho asɛm a ɔtsen, dɛ mbrɛ m'akowaa Job ayɛ.", ""
"JOB.42.9", "Nna Temannyi Elifaz na Suhinyi Bildad na Naamatnyi Zofar sii mu kɔree kɛyɛɛ dɛ mbrɛ EWURADZE hyɛɛ hɔn no: na EWURADZE tsiee Job.", ""
"JOB.42.10", "Na aber a Job bɔɔ n'anyɛnkofo no hɔn tsir mpaa no, EWURADZE daan no ndɔmmumyɛ no: na EWURADZE maa Job adze dodow a nkyɛ ɔwɔ no mbɔho ebien.", ""
"JOB.42.11", "Nna no nuanom nyinara, na ne nkyerɛbaa nyinara, na hɔn a nkyɛ wɔyɛ n'anyɛnkofo no nyinara, baa ne nkyɛn, na wɔnye no bedzidzii wɔ ne fie: na wogyaam no, na wɔkyekyee no werɛ wɔ mbusu a EWURADZE maa ɔbaa no do no nyinara ho: nyimpa biara so maa no sika, na sika nkaba so kor.", ""
"JOB.42.12", "Nna EWURADZE hyiraa Job n'ewiei ma ɔseen n'ahyɛse: na onyaa nguan mpemduanan, efumpɔnkɔ mpemesia, anantwi mpamho apem, na nsoasopɔnkɔber apem.", ""
"JOB.42.13", "Onyaa mbabanyin beesuon na mbabaa baasa so.", ""
"JOB.42.14", "Na ne mbabaa no, ɔfrɛɛ nyia odzi kan no Jemima; nyia otsia ebien no Kezia; na nyia otsia ebiasa no so Keren-hapuk.", ""
"JOB.42.15", "Na woennhu mbaa a hɔn ho yɛ fɛw dɛ Job ne mbabaa no wɔ asaase no nyinara do: na hɔn egya memaa hɔn egyapadze wɔ hɔn nuanom mu.", ""
"JOB.42.16", "Na yi ekyir no Job dzii mfe ɔha eduanan, na ohun ne mba, na ne mba so hɔn mba, mekyerɛ mbasantsen anan.", ""
"JOB.42.17", "Nna Job wui, nna ɔayɛ akɔdaa a oedzi mfe pii.", ""
