"JOL.1.1", "Iyi nye EWURADZE n'asɛm a ɔbaa Petuel ba Joel hɔ no.", ""
"JOL.1.2", "Hom nkɔdaa, hom ntsie iyi, na hom asaase do atsefo nyina, hom nyɛ aso. Aso iyi bi aba da wɔ hom nda mu, anaaso hom egyanom nda mu?", ""
"JOL.1.3", "Hom nka ho asɛm nkyerɛ hom mba, na hom mba nka nkyerɛ hɔn mba, na hɔn so hɔn mba nka nkyerɛ mbasantsen a odzi do.", ""
"JOL.1.4", "Ekuadze a efuse gyae no, abɛbɛw edzi; na dza abɛbɛw gyae no, konyinko edzi; na konyinko ndzikaase no, esa edzi.", ""
"JOL.1.5", "Asabokwafo, hom nnyan na hom nsu; na hom nsanomfo nyina, hom ntwa ewuo, wɔ nsa fenemfenem ntsi, osiandɛ woetwa efi hom anomu.", ""
"JOL.1.6", "Na ɔman bi etu aba m'asaase do, hɔn ho yɛ dzen, na hɔn dodow nnyi ano; hɔn se tse dɛ gyata se, na wɔwɔ gyata kɛse ne nyepi se.", "#Nyi 9.8"
"JOL.1.7", "Ɔasɛɛ mo wenyindua, na ɔawaawaa m'adɔmbadua ho: ɔapɔr ho ahon egu, na ɔatow akyen; n'abaw ho ayɛ sakosako.", ""
"JOL.1.8", "Twa ewuo dɛ ɔbaabun a ofura eyitam ma ne nkataasiaber mu kun.", ""
"JOL.1.9", "Woetwa edziban afɔr na ɔnom afɔr efi EWURADZE fie; asɔfo, na EWURADZE asomfo no, robɔ mbubuw.", ""
"JOL.1.10", "Kwaa asɛɛ, asaase ridzi nkɔmbɔ; na eburow asɛɛ, nsa fofor awew, ngo akɔ atwee.", ""
"JOL.1.11", "Ao ekuafo, hom enyi nwu, ao wenyin turehwɛfo, hom nka mbɔɔ, wɔ ewifua na atoko no ntsi; na haban mu ndɔbaa no ahera.", ""
"JOL.1.12", "Wenyindua akyenkyen, na adɔmbadua enyinyam; pɔmegranate  ekutudua, abɛdua so, na aperdua, mekyerɛ haban mu ndua nyinara akyenkyen; osiandɛ enyigye ho ato wɔ adasamba mu.", ""
"JOL.1.13", "Asɔfo, hom mfa eyitam mbɔ hom ho do, na hom nka mbɔɔ; afɔrmbukyia ho asomfo, hom ntwa ewuo; hom me Nyankopɔn n'asomfo, hom mbra mbɛda eyitam mu anadwe yi nyina: na edziban afɔr na ɔnom afɔr egyaa wɔ hom Nyankopɔn fie ba.", ""
"JOL.1.14", "Hom ntu mbuadadzi nsi nkyɛn, hom mfrɛ baguabɔ krɔnkrɔn, hom mboa mpanyimfo na asaase no do atsefo nyina ano mbra EWURADZE hom Nyankopɔn fie, na hom nsu ntɔ EWURADZE do.", ""
"JOL.1.15", "Ao da no a! Na EWURADZE ne da no abɛn, na ɔbɛba dɛ ɔsɛɛ a ofi otumfo no ne nkyɛn.", "#Isa 13.6"
"JOL.1.16", "Ana wonntwaa edziban mmfii hɛn enyim, ana enyigye na ahosɛpɛw mmfii hɛn Nyankopɔn fie?", ""
"JOL.1.17", "Aba aprɔw n'akɔfi ase; mputu adeda apanapan, asan ebubu; osiandɛ eburow akyenkyen.", ""
"JOL.1.18", "Mbrɛ mbowa dua si apen a! Anyɛmbowakuw reberɛ, osiandɛ wonnyi edzidzibea; ɛhɛɛ, nguankuw ruhu amandze.", ""
"JOL.1.19", "Ao EWURADZE, ɔwo na musu frɛ wo: na ogya ahyew sar do edzidzimbea, na ogyaframee ahyew hamu ndua nyinara.", ""
"JOL.1.20", "Nyew, hambowa rehaahaw kyerɛ wo: osiandɛ nsu nwora nyina awewew, na ogya ahyew sar do edzidzimbea.", ""
