"JON.1.1", "Afei EWURADZE n’asɛm baa Amittai ba Jona hɔ, dɛ,", "#2 Ahe 14.25"
"JON.1.2", "Soɛr, kɔ Ninive, kurow kɛse no mu, na kɔbɔ no dawur kyerɛ hɔn dɛ: hɔn emumuyɛ afow aba m’enyim.", ""
"JON.1.3", "Na Jona soɛɛr dɛ oruguan efi EWURADZE enyim akɔ Tarsis; na ɔkɔr Jopa, na ohun hɛn bi a ɔrokɔ Tarsis: nna otuaa kaw na ɔfowee, dɛ oruguan efi EWURADZE enyim nye hɔn akɔ Tarsis.", ""
"JON.1.4", "Na EWURADZE maa aahow kɛsenara bɔe wɔ po no do, na ehum dzendzen tui wɔ po no do, na hɛn no yɛɛ dɛ ɔrobobɔ.", ""
"JON.1.5", "Nna asarfo no suroi, na obiara tseatseaa mu frɛfrɛɛ no bosom; na wɔtotoow hɛn no mu eguadze guguu po mu, ama aayɛ har ama hɔn. Nna Jona dze, oesian akɔ hɛn no n’ase noho beebi; na ɔakɛda heii.", ""
"JON.1.6", "Nna hɛnwura no baa ne nkyɛn, na obisaa no dɛ, Ɔdafo a ada, wo nda yi ase nye dɛn? Soɛr, su frɛ wo nyame, bi a wo nyame no bɔdwen hɛn do, amma yaanntɔr wɔ po yi do.", ""
"JON.1.7", "Nna wɔsesee hɔnho, dɛ, Hom mbra ma yɛntwe tonto, na yenhu nyia osian ne ntsi ma mbusu yi aba hɛn do. Na wɔtwee tonto, na tonto no bɔɔ Jona.", ""
"JON.1.8", "Nna wɔsee no dɛ, Yɛserɛ wo ara, kyerɛ hɛn nyia osian ne ntsi ma mbusu yi aba hɛn do; eyɛ ebɛn edwuma na ifi hen bae? Ifi ɔman bɛn mu na wo nkyir nye hen?", ""
"JON.1.9", "Na obuaa hɔn dɛ, Meyɛ Hebriwnyi; na mosɔr EWURADZE, ɔsor Nyankopɔn no a ɔyɛɛ po na asaase wewew no.", ""
"JON.1.10", "Nna suro kɛsenara kaa nyimpa no, na wɔsee no dɛ, Ebɛnadze na ayɛ yi? Nna nyimpa no nyim dɛ ofi EWURADZE enyim guanee, osiandɛ nna ɔaka akyerɛ hɔn.", ""
"JON.1.11", "Na wobisaa no dɛ, Ebɛnadze na yɛnyɛ wo, ma po yi n’ano ndwe mma hɛn? Osiandɛ nna po no da ho ara hur tutuutu.", ""
"JON.1.12", "Na ɔsee hɔn dɛ, Hom mma mo do, na hom ntow me nkyen po no mu; nna po no ano bɔdwe ama hom: na minyim dɛ emi ntsi na ehum kɛse yi aba hom do.", ""
"JON.1.13", "Naaso nyimpa no kwaan dzendzen dɛ wɔresan ebodwir asaase wewew do; na woenntum: osiandɛ po no kɔr do araa huur tutuutu hyiaa hɔn.", ""
"JON.1.14", "Dɛm ntsi wɔkekaa mu frɛɛ EWURADZE, na wɔsee dɛ, Yɛserɛ wo, EWURADZE, yɛserɛ wo, mma mma yɛnntɔr wɔ nyimpa yi no nkwa ntsi, na afei so mma mmfa bɔgya a onndzi fɔ ho so nnto hɛn do: osiandɛ ɔwo, EWURADZE, na ayɛ dɛ mbrɛ epɛ.", ""
"JON.1.15", "Nna wɔmaa Jona do na wɔtoow no kyeen po no mu: na po no gyaa ne begyabegya yɛ.", ""
"JON.1.16", "Nna nyimpa no suroo EWURADZE papaara; na wɔbɔɔ okum afɔr maa EWURADZE, na wɔbobɔɔ anohoba.", ""
"JON.1.17", "Nna EWURADZE esiesie nam kɛse bi dɛ ɔmmen Jona; na Jona dzii nam no ne yamu ndaansa, adzekyee nye adzesaa.", "#Mat 12.40"
