"JON.4.1", "Na dɛm asɛm yi annyɛ Jona dɛw koraa, na no bo fuwii.", ""
"JON.4.2", "Na obisaa EWURADZE dɛ, Ao EWURADZE, meserɛ wo, nnyɛ m’asɛm a mowɔ mo kurow mu no mekae ara nye yi? Dɛm yi ara ntsi na meyɛɛ har muguaan dɛ morokɔ Tarsis no: osiandɛ minyim dɛ ɔwo eyɛ Nyame ɔdomfo, na mbɔbɔrhufo a efa ebufuw nyaa, na w’adɔyɛ so, na esesa w’adwen wɔ mbusu ho.", ""
"JON.4.3", "Dɛm ntsi afei, ao EWURADZE, mototɔ serɛ wo, gye mo nkwa fi me nsamu, na oye ma me dɛ mubowu kyɛn dɛ mebɛtsena ase.", "#1 Ahe 19.4"
"JON.4.4", "Na EWURADZE bisaa no dɛ, Aso oye dɛ wo bo efuw?", ""
"JON.4.5", "Nna Jona fii kurow no mu kɔree, na ɔkɛtsenaa kurow no no boka afamu, na ɔbɔɔ asese maa noho wɔ hɔ, na ɔtsenaa no nwin ase hɔ, ma eekodu dɛ obohu dza ɔbɛba kurow no do.", ""
"JON.4.6", "Na EWURADZE siesiee gyedua, na ɔmaa onyinii bɛkataa Jona do, ama ɔaagye nwin wɔ n’etsifi, na oeeyi no efi n’atseetsee asetsena no mu. Na Jona n’enyi gyee kɛse wɔ gyedua no ntsi.", ""
"JON.4.7", "Na n’adzekyee a wi rupue no, Nyankopɔn siesiee abowaba na ɔtoow gyedua no mu ma ɔkyenkyenee.", ""
"JON.4.8", "Na ɔbaa dɛ, wipuei no, Nyankopɔn siesiee boka mframa a n’ano yɛ hyew; na ewia sii Jona n’etsifi, ma ɔtɔɔ akɔtɔmborɔnsa, na ɔserɛɛ dɛ nkyɛ onwu, na ɔsee dɛ, Oye ma me dɛ mubowu kyɛn dɛ mebɛtsena ase.", ""
"JON.4.9", "Nna Nyankopɔn bisaa Jona dɛ, Aso oye dɛ wo bo efuw wɔ efer no ntsi? Na ɔsee dɛ, oye dɛ mo bo fuw dze kɔ owu mu mpo.", ""
"JON.4.10", "Na EWURADZE see dɛ, Ɔwo edzi yaw wɔ gyedua a ennyɛɛ ho edwuma bi, eso nnyɛ ɔwo na emaa onyinii ho; ɔbaa anadwe da kor, na ɔsɛɛ anadwe da kor:", ""
"JON.4.11", "na emi na Ninive, kurow kɛse a no mu nyimpa bɔbor mpem ɔha eduonu a wonntum nnhu hɔn nsa nyimfa anaa hɔn bankum; na anyɛmbowa pii so no, mma munnhu no mbɔbɔr anaa?", ""
