"JOS.6.1", "Na ɔnam Israelmba no ntsi, wɔtoow Jeriko mu twitwiitwi a obi mmfi mu mmpue, na obi nntum mmba mu.", ""
"JOS.6.2", "Na EWURADZE see Josua dɛ, Hwɛ, medze Jeriko, nye ne hen, nye ne mbarimba akatakyi a wɔyɛ ndam no nyinara ahyɛ wo nsa.", ""
"JOS.6.3", "Na hom nkyin kurow no ho, mbarimba akofo nyinara mbɔ kurow no ho aprɔw prɛko. Yɛ no dɛm nda esia.", ""
"JOS.6.4", "Na asɔfo beesuon mfa nguannyin mmbɛn mbɛn esuon ndzi adaka no enyim: Na da a otsia esuon no hom nkyin kurow no ho mpɛn esuon, na asɔfo no nhɛn mbɛn no.", ""
"JOS.6.5", "Na ɔbɛba dɛ, sɛ wɔhɛn oguannyin abɛn no ma ɔkyɛr a, na sɛ hom tse abɛn no ne ndze a, ɔman no nyinara mfa huro kɛse mbɔ ose; na kurow no ho fasu no bodwuruw egu famu dɛfɛɛ, na ɔman no mu obiara ndua n’enyim tsentsendo mfow nkɔ.", ""
"JOS.6.6", "Na Josua, Nun ne babanyin no, frɛɛ asɔfo no, na ɔsee hɔn dɛ, Hom mma ahyɛmudaka no do, na wɔmma asɔfo beesuon mfa nguannyin mmbɛn mbɛn esuon ndzi EWURADZE n’adakaa no enyim.", ""
"JOS.6.7", "Na wɔsee ɔman no dɛ, Hom ntwa mu nkɔbɔ kurow no ho aprɔw, na wɔmma mbarimba a woemia no ntwa mu nkedzi EWURADZE n’adakaa no enyim.", ""
"JOS.6.8", "Na wɔyɛɛ dɛm, aber a Josua kasaa kyerɛɛ ɔman no, asɔfo beesuon no a wɔdze nguannyin mmbɛn mbɛn esuon dzi EWURADZE enyim no twaa mu, na wɔhɛɛn mbɛn no: na EWURADZE n’ahyɛmudaka no toaa hɔn do.", ""
"JOS.6.9", "Na mbarimba a woemia no dzii asɔfo a wɔhɛn mbɛn no enyim, na nkyidɔm no dzii adaka no ekyir. Wɔnam rokɔ no nna asɔfo no rehɛn mbɛn no.", ""
"JOS.6.10", "Na Josua hyɛɛ ɔman no dɛ, Mma hom mmbɔ ose, mma wɔnntse hom ndze so, mma asɛm bi mmfi hom anomu mmpue, kyerɛ da a mebɛse hom dɛ wɔmbɔ ose no; nna hom mbɔ ose.", ""
"JOS.6.11", "Nna ɔmaa EWURADZE n’adakaa no kekyiin kurow no ho, kɔbɔɔ ho aprɔw prɛko: na wɔbaa nseraban no mu, na wɔbɛdaa nseraban no mu.", ""
