"JOS.12.1", "Woyinom nye asaase no do ahemfo a Israelmba no kunkum hɔn, na wɔfaa hɔn asaase wɔ Jordan egya a ɔdze kɔ wipuei no, ofi Arnon ɔbɔnmu dze kodu bepɔw Hermon ho, nye Araba nyinara boka afamu no.", ""
"JOS.12.2", "Amorifo hen Sihon a ɔtsenaa Hesbon, na odzii hen fi Aroer a ɔda Arnon ɔbɔn ano, nye kurow a ɔwɔ ɔbɔn no ne finimfin, nye Gilead ɔfa no araa dze kodu esutsen Jabbok ho, Ammonmba he no do;", ""
"JOS.12.3", "nye Araba dze kodu Kinnerot po no ho, mekyerɛ Nkyen Epo no ho, boka afamu, Bɛt-jesimot kwan do; nye pomu afamu, wɔ Pisga no nkokonyiadze ase no:", ""
"JOS.12.4", "nye Basanhen Ɔge a ofi Refafo nkaa no mu a ɔtsenaa Astarot nye Edrei no ne he do,", ""
"JOS.12.5", "na odzii hen wɔ bepɔw Hermon do, nye Saleka, nye Basan nyinara, dze kodu Gersurfo nye Maakatfo he do, nye Gilead ɔfa, wɔ Hesbon hen Sihon he do.", ""
"JOS.12.6", "EWURADZE n’akowaa Moses nye Israelmba no kaa hɔn gui: na EWURADZE n’akowaa Moses dze maa Reubenfo, nye Gadfo, nye Manaasɛ ebusuakuw ɔfa no dɛ enyadze.", ""
"JOS.12.7", "Na woyinom nye asaase no do ahemfo a Josua nye Israelmba no kunkum hɔn wɔ Jordan egya anee afamu, ofi Baal-gad wɔ Lebanon ɔbɔn no araa dze kodu bepɔw Halak a ɔfow kɔ Seir ho no; na Josua dze maa Israel ebusuakuw ebusuakuw dɛ enyadze dɛ mbrɛ hɔn nkyekyɛmu no tsetsee;", ""
"JOS.12.8", "wɔ nkokodo nkurow mu, nye ɔbɔnmu nkurow mu, nye Araba, nye nkokonyiadze, nye sar no mu, nye Pomu afamu; Hitifo, Amorifo, nye Keenanfo, Perizfo, Hivifo, nye Jebusfo:", ""
"JOS.12.9", "Woyinom nye Jeriko, Ai a ɔwɔ Bɛtɛl ne nkyɛn no,", ""
"JOS.12.10", "Jerusalɛm, Hebron,", ""
"JOS.12.11", "Jarmut, Lakis,", ""
"JOS.12.12", "Eglon, Gezer,", ""
"JOS.12.13", "Debir, nye Geder ahemfo.", ""
"JOS.12.14", "Binom so nye Horma, Arad,", ""
"JOS.12.15", "Libna, Adullam,", ""
"JOS.12.16", "Makeda, Bɛtɛl,", ""
"JOS.12.17", "Tappua, Hefer,", ""
"JOS.12.18", "Afekhen, Lasaron,", ""
"JOS.12.19", "Madon nye Hazor ahemfo.", ""
"JOS.12.20", "Nkaa no nye Simronmeron, Aksaf,", ""
"JOS.12.21", "Taanak, Megiddo,", ""
"JOS.12.22", "Kedes, Jokmeam a ɔwɔ Karmel,", ""
"JOS.12.23", "Dor a ɔwɔ Dor koko do, Goiim a ɔwɔ Gilgal,", ""
"JOS.12.24", "nye Tirza ahemfo. Ahemfo no nyinara wɔyɛ eduasa biako.", ""
