"JOS.21.1", "Nna Levifo egyanom efiefi mu etsitsir no baa ɔsɔfo Eleazar, nye Nun ne babanyin Josua, nye Israelmba ebusuakuw ebusuakuw mu egyanom efiefi mu etsitsir no hɔ;", ""
"JOS.21.2", "na wɔkaa kyerɛɛ hɔn wɔ Siloh wɔ Keenan asaase do, dɛ, EWURADZE nam Moses nsa do hyɛɛ dɛ wɔmma hɛn nkurow ma yɛntsena mu, ɔnye no ho mfikyisaase mma hɛn fiembowa.", ""
"JOS.21.3", "Na Israelmba no dze hɔn egyapadze no mu nkurow bi nye no ho mfikyisaase maa Levifo no, dɛ mbrɛ EWURADZE mbrasɛm no tse.", ""
"JOS.21.4", "Na kyɛfa no bae maa Kohatfo ebusua ebusua, na ɔsɔfo Aaronmba no a wofi Levifo mu no, nam tontotwe do nyae fii Juda, Simeon nye Benjamin ebusuakuw mu nkurow duebiasa.", ""
"JOS.21.5", "Na Kohatmba nkaa no nam tontotwe do nyae fii Efraim, Dan, nye Manaasɛ ebusuakuw fa no mu nkurow du.", ""
"JOS.21.6", "Na Gersonmba no nam tontotwe do nyae fii Isakar, Aser, Naftali, nye Manaasɛ ebusuakuw fa no a ɔwɔ Basan no mu, nkurow duebiasa.", ""
"JOS.21.7", "Merarimba dɛ mbrɛ hɔn ebusua ebusua tsetsee nyaa Reuben, Gad, nye Zebulun ebusuakuw mu nkurow duebien.", ""
"JOS.21.8", "Na Israelmba no nam tontotwe do dze nkurow yi nye no ho mfikyisaase maa Levifo no dɛ mbrɛ EWURADZE nam Moses nsa do hyɛe no.", ""
"JOS.21.9", "Na wɔdze Judamba, nye Simeonmba ebusuakuw mu nkurow a wɔabobɔ edzin yi mae:", ""
"JOS.21.10", "na ɔwɔ hɔ ma Aaronmba a wofi Kohat ebusua ebusua mu a wɔwɔ Levimba mu no: na hɔndze nye kyɛfa a odzi kan no.", ""
"JOS.21.11", "Na wɔdze Kiriat-arba maa hɔn, Arba no a ɔyɛ Anak n’egya no, a ɔnoara nye Hebron no, wɔ Juda nkokodo nkurow no mu, ɔnye no ho mfikyisaase a etwa ho ehyia no.", ""
"JOS.21.12", "Na kurow no ho haban, nye no nkuraase no dze, wɔdze maa Jefune babanyin Kaleb dɛ n’enyadze.", ""
"JOS.21.13", "Na ɔsɔfo Aaronmba no, wɔdze onyimpakumfo guansumabew kurow Hebron, nye Libna;", ""
"JOS.21.14", "Jattir, Estemoa;", ""
"JOS.21.15", "Holon, Debir;", ""
"JOS.21.16", "Ain, Juta, na Bɛt-semes nye hɔn ho mfikyisaase; ebusuakuw ebien no mu nkurow akron.", ""
"JOS.21.17", "Na Benjamin ebusuakuw mu dze nye Gibeon, Geba;", ""
"JOS.21.18", "Anathot, na Almon nye hɔn ho mfikyisaase; nkurow anan.", ""
"JOS.21.19", "Aaronmba, asɔfo no, hɔn nkurow nyinara yɛ nkurow duebiasa nye hɔn ho mfikyisaase.", ""
"JOS.21.20", "Na Kohatmba, Levifo no, ebusua ebusua no, mekyerɛ Kohatmba nkaa no, wonyaa hɔn kyɛfa nkurow fi Efraim ebusuakuw mu.", ""
"JOS.21.21", "Na wɔdze onyimpakumfo guansumabew kurow Sekem nye hɔn ho mfikyisaase wɔ Efraim nkokodo nkurow no mu maa hɔn, nye Gezer;", ""
"JOS.21.22", "Kibzaim, Bɛt-horon nye hɔn ho mfikyisaase; nkurow anan.", ""
"JOS.21.23", "Na Dan ebusuakuw mu dze, Elteke, Gibeton;", ""
"JOS.21.24", "Aijalon, nye Gat-rimmon nye hɔn ho mfikyisaase; nkurow anan.", ""
"JOS.21.25", "Na Manaasɛ ebusuakuw fa no mu dze, Taanak nye Gat-rimmon nye hɔn ho mfikyisaase; nkurow ebien.", ""
"JOS.21.26", "Nkurow a ɔyɛ Kohatmba nkaa no hɔn ebusua ebusua no dze nyinara yɛ du nye hɔn ho mfikyisaase.", ""
"JOS.21.27", "Na Gersonmba a wofi Levi ebusua ebusua no mu no, wɔmaa hɔn Manaasɛ ebusuakuw fa no mu onyimpakumfo guansumabew kurow Golan wɔ Basan; nye Be-estera nye hɔn ho mfikyisaase; nkurow ebien.", ""
