"LEV.1.1", "Na EWURADZE frɛɛ Moses, na ofii ehyiadzibuw no mu kasaa kyerɛɛ no dɛ,", ""
"LEV.1.2", "Kasa kyerɛ Israelmba, na se hɔn dɛ, Sɛ hom mu nyimpa biara dze ayɛyɛdze rebrɛ EWURADZE a, hom mfa hom fiembowa, a wɔyɛ anantwi nye nguan mu bi, nyɛ hom ayɛyɛdze mbra.", ""
"LEV.1.3", "Sɛ n’ayɛyɛdze yɛ ɔhyew afɔr a ofi anantwi mu a, ɔmfa onyin a onndzii dzɛm mbra ehyiadzibuw no n’abowano, ama aayɛ enyisɔ wɔ EWURADZE enyim ama no.", ""
"LEV.1.4", "Na ɔmfa ne nsa nto ɔhyew afɔr no n’etsifi; na ɔbɔsɔ enyi dɛ mpata ama no.", ""
"LEV.1.5", "Na onku nantwisaa no wɔ EWURADZE enyim: na Aaron mbabanyin, asɔfo no, mfa bɔgya no mbɛkyerɛ, na wɔmfa bɔgya no mpetse afɔrmbukyia no a ɔwɔ ehyiadzibuw no n’abowano no do nhyia.", ""
"LEV.1.6", "Na ɔnyer abowa no, na ontwitwa no esinesin.", ""
"LEV.1.7", "Na ɔsɔfo Aaron ne mbabanyin no mfa nyena ngu afɔrmbukyia no do, na wɔnsɔ gya wɔ do.", ""
"LEV.1.8", "Na Aaron mbabanyin asɔfo no, mfa esinesin no, tsir no, nye seradze no, ngu yie wɔ nyena a ɔsɛw gya no afɔrmbukyia no do no do;", ""
"LEV.1.9", "n’ayamudze nye ne ntwɛr dze ɔmfa nsu nhohor ho ana: na ɔsɔfo no nhyew ne nyinara wɔ afɔrmbukyia no do, ma ɔnyɛ ɔhyew afɔr, mekyerɛ ogya afɔr a oyi nka huanhuam ma EWURADZE.", ""
"LEV.1.10", "Na sɛ n’ayɛyɛdze fi nguankuw, nkɔsɔw anaa mpɔnkye mu a, ɔmfa onyin a onndzii dzɛm mbra.", ""
"LEV.1.11", "Na onku no wɔ afɔrmbukyia no ne nkyɛn mu kwaamu afamu wɔ EWURADZE enyim: na Aaron mbabanyin, asɔfo no, mfa no bɔgyaa mpetse afɔrmbukyia no do nhyia.", ""
"LEV.1.12", "Na ontwitwa no esinesin, nka ne tsir nye ne seradze ho; na ɔsɔfo no nsiesie no yie ngu nyena no a ɔwɔ gya no a ɔwɔ afɔrmbukyia no do no do:", ""
"LEV.1.13", "ayamudze nye ntwɛr no dze ɔmfa nsu nhohor ho ana: na ɔsɔfo no mfa ne nyinara mbra, na ɔmbɛhyew no wɔ afɔrmbukyia no do: ɔyɛ ɔhyew afɔr, mekyerɛ ogya afɔr a oyi nka huanhuam ma EWURADZE.", ""
"LEV.1.14", "Na sɛ n’ayɛyɛdze fi nnoma mu na ɔdze robɔbɔ EWURADZE ɔhyew afɔr a, ɔno ɔmfa ntamram, anaa mborɔnomamba bi nyɛ n’ayɛyɛdze mbra.", ""
"LEV.1.15", "Na ɔsɔfo no mfa mbra afɔrmbukyia no ho, na ɔntsew ne tsir, na ɔnhyew no wɔ afɔrmbukyia no do; na no bɔgyaa no nkyi ngu afɔrmbukyia no ho:", ""
"LEV.1.16", "na onyi no totuaa nka no mu ifi no ho, na ɔntow nkyen afɔrmbukyia no nkyɛn wɔ boka afamu, wɔ mbrɛ nso no gu no:", ""
"LEV.1.17", "na onsuan mu wɔ n’atsaban ho, na mbom mma ɔnntsew mu: na ɔsɔfo no nhyew no wɔ afɔrmbukyia no do, wɔ nyena no a ɔwɔ gya no do no do: ɔyɛ ɔhyew afɔr, mekyerɛ ogya afɔr a oyi nka huanhuam ma EWURADZE.", ""
