"LEV.5.1", "Sɛ obi tse ntanka bi na ɔyɛ ho dasefo, sɛ ohunii o, ɔtsee o, na sɛ ɔannka a, ɔno ɔnsoa no mbusu.", ""
"LEV.5.2", "Anaa sɛ obi ka adze fi biara, dɛ abowa bi a no ho nntsew no fun o, fiebowa bi a no ho nntsew no fun o, anaa aweaweabowa bi a no ho nntsew no fun o, na sɛ oennhu mpo na no ho gu fi a, ɔno odzi so:", ""
"LEV.5.3", "anaa sɛ ɔka nyimpa bi ne fi, wɔ adze fi biara a nyimpa dze gu no ho fi no mu, ber a onnyim mpo na sɛ ekyir yi ohu a, ɔno odzi so:", ""
"LEV.5.4", "anaa sɛ obi ka ntanhun dɛ ɔbɛyɛ bɔn, anaa ɔbɛyɛ papa, wɔ asɛnhun biara mu, na n’adwen annkɔ do na sɛ ekyir yi n’enyi ba noho do a, ɔno odzi ndzɛmba iyinom mu biara ho so:", ""
"LEV.5.5", "Na sɛ ɔba dɛ, odzi ndzɛmba iyinom mu biara ho so a, ɔnka dza ɔayɛ mu bɔn no:", ""
"LEV.5.6", "na no bɔn a ɔayɛ no ntsi ɔmfa n’asodzii ho afɔr mbrɛ EWURADZE, nguan mu ɔber, eguambaa anaa apɔnkye, mfa nyɛ bɔn ho afɔr; na ɔsɔfo no mpata mma no wɔ no bɔn ho.", ""
"LEV.5.7", "Na sɛ ne nsa annso eguambaa do a, ɔno ɔmfa ntamram ebien, anaa mborɔnomamba ebien, mbrɛ EWURADZE mbɛyɛ dza ɔayɛ mu bɔn ho n’asodzii ho afɔr; kor nyɛ bɔn ho afɔr, na kor so nyɛ ɔhyew afɔr.", ""
"LEV.5.8", "Na ɔmfa mbrɛ ɔsɔfo no, ma ondzi kan mfa dza ɔyɛ bɔn ho afɔr no, na ɔntsew ne tsir wɔ no kɔn do, na mbom mma ɔmmpaa mu koraa:", ""
"LEV.5.9", "na ɔmfa bɔn ho afɔr bɔgyaa no bi mpetse afɔrmbukyia no nkyɛn; na bɔgya no ne nkaa no ɔnsɔn ngu afɔrmbukyia no ase: ɔyɛ bɔn ho afɔr.", ""
"LEV.5.10", "Na ɔmfa dza otsia ebien no nyɛ ɔhyew afɔr, dɛ mbrɛ mbra no tse: na ɔsɔfo no mpata mma no wɔ no bɔn a ɔayɛ no ho, na wɔdze bɛkyɛ no.", ""
"LEV.5.11", "Na sɛ ne nsa annso ntamram ebien, anaa mborɔnomamba ebien do a, ɔno ɔmfa isiam pa efa ebupɛn du mu kor nyɛ no bɔn a ɔayɛ no ho ayɛyɛdze mbra mbɛyɛ bɔn ho afɔr; mma ɔmmfa ngo nngu do, nkyii so mma ɔmmfa krɔbɔw bi nnto do: na ɔyɛ bɔn ho afɔr.", ""
"LEV.5.12", "Na ɔmfa mbrɛ ɔsɔfo no, na ɔsɔfo no mfa mu ne nsapuw dɛ ne nkaadze, na ɔnhyew no wɔ afɔrmbukyia no do, wɔ EWURADZE ogya afɔr no do; ɔyɛ bɔn ho afɔr.", ""
"LEV.5.13", "Na ɔsɔfo no mpata mma no wɔ no bɔn a ɔayɛ no wɔ ndzɛmba iyinom mu biara mu no ho, na wɔdze bɛkyɛ no: na nkaa no nyɛ ɔsɔfo no dze, dɛ edziban afɔr no.", ""
"LEV.5.14", "Na EWURADZE kasaa kyerɛɛ Moses dɛ,", ""
"LEV.5.15", "Sɛ obiara to mbra, dɛ ɔannyɛ dza ɔfata, wɔ EWURADZE ndzɛmba krɔnkrɔn no mu wɔ ber a ɔnndze enyidaho a; ɔno ɔmfa n’asodzii ho afɔr mbrɛ EWURADZE, nguan mu oguannyin a onndzii dzɛm, dɛ mbrɛ ebo a etwa wɔ dwetɛbona mu wɔ dwɛɛtɛɛ mu tse, dɛ krɔnkrɔnbea dwetɛbona nyɛ asodzi ho afɔr:", ""
"LEV.5.16", "na ɔnyɛ ahyɛnanmu mma dza ɔayɛ no bɔn wɔ krɔnkrɔndze mu no, na ɔmfa ebupɛn a otsia enum no nka ho, na ɔmfa mma ɔsɔfo no; na ɔsɔfo no mfa asodzi ho afɔr oguannyin no mpata mma no, na wɔdze bɛkyɛ no.", ""
"LEV.5.17", "Na sɛ obiara yɛ bɔn, na ɔyɛ ndzɛmba a EWURADZE ahyɛ ho mbra dɛ mma wɔnnyɛ no mu biara a; kaansa oennhu mpo a, odzi so, na ɔbɔsoa no mbusu.", ""
"LEV.5.18", "Na ɔmfa nguan mu oguannyin a onndzii dzɛm dɛ mbrɛ ebo a etwa tse, nyɛ asodzi ho afɔr mbrɛ ɔsɔfo no: na ɔsɔfo no mpata mma no wɔ adze a ɔafom wɔ mu na oennhu no no ho, na wɔdze bɛkyɛ no.", ""
"LEV.5.19", "Ɔyɛ asodzi ho afɔr: osiandɛ ampaara odzi EWURADZE enyim so.", ""
